dataset_id,global_index,dataset_name,family,subgroup,metadata_class,dataset_rel,basename,formula_identity,feature_count,target_name,train_samples,valid_samples,id_test_samples,ood_test_samples,formula_char_count,formula_operator_count,formula_return_expr,expected_probe_methods,expected_total_runs,observed_methods,completed_methods,valid_methods,finished_runs,valid_runs,invalid_runs,timeout_runs,valid_extreme_error_runs,wrong_dataset_runs,not_finished_runs,completion_rate,dataset_valid_rate,dataset_invalid_rate,dataset_timeout_rate,dataset_extreme_error_rate,mean_median_log_id_nmse,mean_median_log_ood_nmse,median_log_id_nmse_across_probes,median_log_ood_nmse_across_probes,mean_iqr_log_id_nmse,mean_iqr_log_ood_nmse,max_iqr_log_ood_nmse,id_probe_variance,ood_probe_variance,ood_id_gap_variance,pairwise_gap_mean,pairwise_gap_max,valid_pattern_entropy,rank_entropy,winner_probe,winner_margin,worst_probe,semantic_duplicate_group,formula_hash,operator_group,difficulty_score,instability_raw,norm_id_probe_variance,norm_ood_probe_variance,norm_ood_id_gap_variance,norm_pairwise_gap_mean,norm_valid_pattern_entropy,discrimination_score,stability_score,info_score,difficulty_bin,mean_ood_minus_id_log_nmse,failure_mode,eligible_class,feature_count_bin,total_samples,sample_count_bin,complexity_bin,compatibility_score,selection_info_score,selection_disc_score,selection_stability_score,selection_score_simple,selected_core50,selected_core60,selected_core70,selected_core80,first_core_size
g0001,1,BPG0,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG0,BPG0,llm-srbench/bio_pop_growth/BPG0,2,dP_dt,3500,500,500,500,99,7,0.9539969835279999 * (1 - P / 96.90688297671034) * P + 0.9539969835279999 * P ** 0.3333333333333333,4,12,4,4,4,12,12,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,-4.454457694817353,-1.1342601063070883,-4.152334271965311,-1.4050089638043843,0.3697950790414109,0.5970385220197086,1.3198519440956198,8.511931180784297,6.817243475915724,0.4965715149135088,3.861539362023072,6.786406081509888,0.0,0.5502500147798738,udsr,1.4466963619559676,pyoperon,llm-srbench/bio_pop_growth/BPG0,cf517619898b2acc,rational,-2.7943589005622207,0.5767448134352897,0.2488189776744761,0.1908463147871247,0.0863488461861187,0.4643403249905623,0.0,0.2132692117885343,0.7661103832261598,0.163387757573655,medium,3.3201975885102644,ood_failure,eligible,low,5000,small,moderate,0.0,0.16719221457807687,0.21823515023254933,0.7661103832261598,0.38702216073580037,False,False,False,False,
g0002,2,BPG1,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG1,BPG1,llm-srbench/bio_pop_growth/BPG1,2,dP_dt,3500,500,500,500,117,10,0.3156057016002752 * P * np.exp(-0.05405074842498068 * t) + 0.3156057016002752 * P ** 2 / (9.870854086995406 * P + 1),4,12,4,4,4,12,12,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,-5.498491834382749,-4.118985654678744,-4.331417121382355,-3.4568516928204183,0.9017789937475836,0.958074123817168,1.9253184071011284,7.725881287626826,1.7485051114343275,2.1849864459421457,1.678182311009969,3.2056618494346965,0.0,0.5277593921301849,udsr,2.7010446895561397,dso,llm-srbench/bio_pop_growth/BPG1,9e7d07a66e12e879,exponential_log,-4.808738744530747,0.9486491296966096,0.2258282027458278,0.0489327741685541,0.3799891841809426,0.1994081409274272,0.0,0.1731055336399178,0.6085082343389532,0.1053361426295286,medium,1.379506179704005,ood_failure,eligible,low,5000,small,complex,0.007977341232720097,0.10778887734843821,0.17713626745829267,0.6085082343389532,0.29691013031708935,False,False,False,False,
g0003,3,BPG10,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG10,BPG10,llm-srbench/bio_pop_growth/BPG10,2,dP_dt,3500,500,500,500,70,4,0.10100810033209855 * P ** 0.333333333333333 + 0.10100810033209855 * P,4,12,4,4,4,12,12,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,-6.694672343076053,-6.122618298429442,-5.751415928185487,-5.752619692133592,1.665110017249973,1.5697315405292425,4.6039533069340495,7.88154288761335,1.525033722783952,2.4778266739248016,1.751301694590752,3.072549202587316,0.0,0.736720551915154,udsr,1.6311905339940749,pyoperon,llm-srbench/bio_pop_growth/BPG10,030594c39d1fde6f,polynomial,-6.408645320752747,1.881705281048501,0.2303810699893407,0.0426760661457938,0.4309184326393891,0.2082805688156732,0.0,0.1810358194247728,0.2131063848423787,0.038579889004591,medium,0.5720540446466105,all_good,eligible,low,5000,small,simple,0.07166199813258636,0.039478215361063385,0.1852512086405244,0.2131063848423787,0.12940267333541594,False,False,False,False,
g0004,4,BPG11,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG11,BPG11,llm-srbench/bio_pop_growth/BPG11,2,dP_dt,3500,500,500,500,158,12,0.7124493718672418 * (1 - P / 68.90600928530216) * P + 0.7124493718672418 * P ** 0.333333333333333 + 0.7124493718672418 * P * np.exp(-0.03459335742983884 * t),4,12,4,4,4,12,12,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,-3.224616867600446,-0.5605296342183002,-2.543474739191636,-0.4422813664434327,0.1488329366265615,0.2670700480308007,0.4451876903483576,6.496838500654966,1.4068081172266675,1.9501182946502016,1.756786659879126,3.21871907546263,0.0,0.8360706120765042,udsr,1.4035747068376172,pyoperon,llm-srbench/bio_pop_growth/BPG11,860c542e2f7bd8ff,exponential_log,-1.892573250909373,0.2256321446073041,0.1898805531895828,0.039366008875137,0.3391421376036128,0.2089461236467921,0.0,0.1520022297278731,0.9149016413247364,0.1390670894630507,hard,2.664087233382146,ood_failure,eligible,low,5000,small,complex,0.04047995780590719,0.14230524371921496,0.15554157659304602,0.9149016413247364,0.4153612494559137,False,False,False,False,
g0005,5,BPG12,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG12,BPG12,llm-srbench/bio_pop_growth/BPG12,2,dP_dt,3500,500,500,500,109,8,0.8770002846146427 * P * np.sin(0.5671736066225963 * t) + 0.7013915186995147 * (1 - P / 65.7541311408653) * P,4,12,4,4,4,12,12,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,-0.601632234967235,-0.3817144041410238,-0.6182295660970937,-0.2846338859997106,0.0982580934743685,0.2237322081296276,0.2695918439936691,0.1371785689948342,0.118224023849692,0.0281575189664987,0.4856543659810359,0.8280274662760287,0.0,1.3239654270202716,imcts,0.3932528708915762,dso,llm-srbench/bio_pop_growth/BPG12,fef217b482765ab8,trigonometric,-0.4916733195541293,0.1630628707454586,0.0038700831363172,0.0032884846617508,0.0048847217202274,0.0547048122225605,0.0,0.0087086882096139,0.941416665710767,0.0081985042170094,hard,0.2199178308262111,all_good,eligible,low,5000,small,moderate,0.05843756476986673,0.008389405036369276,0.00891146857914958,0.941416665710767,0.33505335898096456,False,False,False,False,
g0006,6,BPG13,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG13,BPG13,llm-srbench/bio_pop_growth/BPG13,2,dP_dt,3500,500,500,500,200,18,0.20107390997009728 * (-1 + P / 5.636576533003584) * (1 - P / 10.232561336048414) * P + 0.20107390997009728 * P + 0.20107390997009728 * P / (1 + np.exp(-5.636576533003584 * (-0.6341847122108325 + P))),4,12,4,4,4,12,11,0,0,0,0,0,1.0,0.9166666666666666,0.0,0.0,0.0,-1.3685309806155703,1.8950495422482412,-1.0646121136666022,1.025618929267948,0.203192088110743,0.3359844257839982,1.1381913321335753,17.88158907336464,24.948985691632203,2.303479726243878,7.221862657637084,13.759979362428869,0.0,0.0969085690330763,udsr,4.1155095259859,imcts,llm-srbench/bio_pop_growth/BPG13,ee71187e8214c8e2,exponential_log,0.2632592808163354,0.4026704543624629,0.5228673525192933,0.6984952700866356,0.4005969188310492,0.8720875550884348,0.0,0.574775211245576,0.8398779945618771,0.4827410517448136,extreme,3.263580522863812,ood_failure,limited_quota,low,5000,small,complex,0.7237039755790163,0.4939815975660304,0.5881587573010724,0.8398779945618771,0.633880768461585,False,True,True,True,60
g0007,7,BPG14,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG14,BPG14,llm-srbench/bio_pop_growth/BPG14,2,dP_dt,3500,500,500,500,181,15,0.11423898258902421 * (1 - P / 40.69810220267985) * P + 0.11423898258902421 * (1 - np.exp(-0.08368363514073095 * P)) * P + 0.11423898258902421 * P * np.exp(-0.08368363514073095 * t),4,12,4,4,4,12,12,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,-3.252500974637755,0.5117771553230225,-2.610330747551081,0.8190445294467906,0.1300334745441861,0.7059542634062587,1.143787104851734,5.845428633871521,1.7959861595005862,1.3190328212060087,1.9281836035725897,3.319676810643833,0.0,0.7287567973490449,udsr,1.4693375588174338,dso,llm-srbench/bio_pop_growth/BPG14,c611faf2ed54f718,exponential_log,-1.3703619096573665,0.5371458212416875,0.1708277961522905,0.0502621392213216,0.2293870363425275,0.2297437145004665,0.0,0.13476390428219,0.7828912754895726,0.1055054849134384,hard,3.764278129960777,ood_failure,eligible,low,5000,small,complex,0.007977341232720097,0.10796216273951671,0.13790185958069814,0.7828912754895726,0.35017529157027255,False,False,False,False,
g0008,8,BPG15,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG15,BPG15,llm-srbench/bio_pop_growth/BPG15,2,dP_dt,3500,500,500,500,103,7,0.4866911314650416 * P ** 0.333333333333333 + 0.4866911314650416 * P * np.exp(-0.08577402101126279 * t),4,12,4,4,4,12,12,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,-4.233356547997174,-2.6177474278582338,-3.433805162823189,-2.466923769017512,0.21428111156045,0.4234846800352391,0.7172788863575299,8.795275524775729,3.2831133241229296,1.63061681424443,2.592363608669911,4.231551413255058,0.0,0.7055470400803169,udsr,0.987659318181827,pyoperon,llm-srbench/bio_pop_growth/BPG15,573f57e2e60abbce,exponential_log,-3.425551987927704,0.3557058715976917,0.2571063727835134,0.0918984333256841,0.283576102873607,0.3103364234574595,0.0,0.1957217399150061,0.8597802082272817,0.1682776782987298,medium,1.6156091201389406,ood_failure,eligible,low,5000,small,moderate,0.07312508506873554,0.17219599630124507,0.2002790883687396,0.8597802082272817,0.4184670888888568,False,False,False,False,
g0009,9,BPG16,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG16,BPG16,llm-srbench/bio_pop_growth/BPG16,2,dP_dt,3500,500,500,500,155,13,0.8677806610632854 * (-1 + P / 6.057935627201261) * (1 - P / 14.185052779605893) * P + 0.8677806610632854 * P ** 0.333333333333333 + 0.8677806610632854 * P,4,12,4,4,4,12,12,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,-1.3609444107762103,0.7963553011624529,-1.2192875887995371,0.0861507161749636,1.2399206006523598,1.3903234911549722,4.512872241515823,19.25280610690233,28.414400852981224,1.5763038692044216,7.499500004196179,14.941565995955386,0.0,0.0331829051174552,udsr,5.964222809347259,imcts,llm-srbench/bio_pop_growth/BPG16,b7edb3acdeb61dde,rational,-0.2822945548068788,1.7066879648956257,0.56297338455469,0.7955192827495248,0.2741302781264129,0.905776533520645,0.0,0.6071696286275016,0.2872735937509827,0.1744238012322719,hard,2.157299711938663,ood_failure,eligible,low,5000,small,complex,0.2087180518188144,0.17848523069424893,0.621307473352268,0.2872735937509827,0.3051256062957096,False,False,False,False,
g0010,10,BPG17,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG17,BPG17,llm-srbench/bio_pop_growth/BPG17,2,dP_dt,3500,500,500,500,127,11,0.768873878858443 * (-1 + P / 8.670374869520632) * (1 - P / 14.33285523805181) * P + 0.768873878858443 * P ** 0.333333333333333,4,12,4,4,4,12,12,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,-3.6294392815087897,1.8985394261515585,-2.7284033220604558,2.6452761577463075,0.828322422402931,1.653388610631255,5.011540666767303,14.61421240712861,14.933229117495516,0.0901340997679924,5.364852564250182,10.72402052108295,0.0,0.0167790752934623,udsr,6.846956812604855,imcts,llm-srbench/bio_pop_growth/BPG17,0aada151cd75526b,rational,-0.8654499276786154,1.829328062086549,0.4273015084240754,0.4180760858238296,0.0156633661161442,0.6467548548596778,0.0,0.3629071483901562,0.2353023150862729,0.0853928921775613,hard,5.527978707660348,ood_failure,eligible,low,5000,small,complex,0.11622271014570192,0.08738125159687894,0.3713573815235982,0.2353023150862729,0.19594884980351068,False,False,False,False,
