x0,x1,y
-4.001091675078397719e-02,2.934217811514123198e-01,-1.225566190255893230e+09
5.200234855014090538e-03,5.588414003489604598e-01,8.363441123855632544e+07
-3.516751350835301600e-03,6.641445880295032689e-01,-4.759152740148614347e+07
1.663502427467250262e-03,1.216405548439070672e-01,1.229123903802442998e+08
1.328220732227732188e-02,1.639307129657425685e-02,7.282165511324076653e+09
-1.812171468166438870e-02,6.751150290996308367e-01,-2.412526711347630024e+08
3.261250010809643371e-03,1.362721542497644794e-02,2.150936505290773392e+09
-4.955177651583030779e-02,7.626203643747077043e-01,-5.839846737297620773e+08
2.072499059308096844e-03,1.071650748957979210e-01,1.738167753453829288e+08
-6.401929926403790265e-03,5.797856122809693646e-01,-9.924167841661144793e+07
-1.651745411986322090e-02,8.010743616168446157e-02,-1.853194041324519873e+09
-1.029442419620175183e-03,1.859275702010189726e-02,-4.976326701995923519e+08
5.034932047570122096e-03,1.693794250879369218e-02,2.671674697965176105e+09
-1.773170034046567993e-03,9.076933005361611517e-01,-1.755746743460122496e+07
3.096636921633108552e-02,2.813566619774058794e-02,9.891990784934068680e+09
-9.144301572904769276e-03,2.803052678469869496e-01,-2.932040055609038472e+08
1.574074536364851104e-02,9.048546922355123201e-02,1.563497060073903322e+09
-3.795616997345705596e-02,2.022910099872447798e-02,-1.686383787769136810e+10
3.235491195972642342e-02,2.169238210118164256e-02,1.340551784222744179e+10
-1.364072138172399331e-03,1.356081116087695659e-01,-9.040704792128799856e+07
1.587581557556220829e-03,1.760243248471523789e-02,8.106137689211714268e+08
-4.295960549234097148e-03,1.790095649119766152e-02,-2.156923120798624992e+09
1.450738790540455174e-03,3.722599697436979743e-02,3.502623879530599117e+08
5.493131796966085195e-02,2.742122686425441797e-02,1.800461154180271149e+10
-2.288500949149952814e-03,1.154650988455275737e-02,-1.781357077221091986e+09
-3.935889429158880015e-02,7.210443301154561002e-01,-4.906045159250633121e+08
