x0,x1,x2,x3,x4,x5,y
2.461146354675292969e+00,7.558253407478332520e-01,-4.266607830079285232e+21,4.355557441711425781e+00,4.398783683776855469e+00,-9.598869788885952496e+21,-7.707030773162841797e+00
1.598313152790069580e-01,9.834748268127441406e+00,-6.962116352801910030e+21,3.126651048660278320e+00,2.327420234680175781e+00,-3.442229266313673441e+21,3.573823690414428711e+00
1.705487370491027832e-01,1.006835922598838806e-01,4.714828864468310557e+21,1.009343117475509644e-01,4.187406063079833984e+00,4.723321808940601180e+21,-1.499785110354423523e-03
3.695222139358520508e+00,4.074305593967437744e-01,-2.283442808354594882e+21,2.574004828929901123e-01,5.459773063659667969e+00,-2.310513242027277156e+21,-2.842402458190917969e-01
1.172728687524795532e-01,1.749111771583557129e+00,-7.602400430174567924e+21,1.566980183124542236e-01,2.991254329681396484e+00,-1.599488760917706513e+22,4.814058076590299606e-03
9.638505578041076660e-01,6.054565429687500000e+00,-1.268965474730325836e+21,4.817726016044616699e-01,2.765889167785644531e-01,1.142776358316260144e+22,7.677468061447143555e-01
1.518058896064758301e+00,7.755165100097656250e+00,-2.637457686475772527e+22,4.321685791015625000e+00,2.420074224472045898e+00,-3.028725355552140427e+21,3.360643005371093750e+01
3.276467621326446533e-01,3.997774839401245117e+00,2.440457403515649026e+22,4.830629825592041016e+00,1.053009629249572754e+00,-5.325615096116631149e+22,5.498018264770507812e+00
5.605347156524658203e-01,4.461938738822937012e-01,1.952410418376837641e+22,7.033726572990417480e-01,8.217158317565917969e-01,-1.460431452993359761e+22,1.288278400897979736e-01
1.741486787796020508e-01,7.794683933258056641e+00,8.882691838722781793e+22,2.730556726455688477e+00,5.023298263549804688e+00,1.511866416945111761e+21,-3.528842449188232422e+00
9.422107338905334473e-01,2.086844921112060547e+00,4.835146975818145386e+22,4.829262793064117432e-01,2.568295955657958984e+00,-1.153650412206536891e+22,5.150417089462280273e-01
1.053443029522895813e-01,1.347011446952819824e+00,1.428393323751706460e+21,1.387590408325195312e+00,1.472045063972473145e+00,1.020556911646242505e+21,1.959397792816162109e-01
2.554417252540588379e-01,1.933690011501312256e-01,-7.748035583124661338e+21,2.877296209335327148e-01,1.298457622528076172e+00,-6.579931093094060209e+22,1.368846371769905090e-02
2.484146118164062500e+00,1.443860381841659546e-01,-6.287391560228889690e+21,1.792775988578796387e+00,5.699144840240478516e+00,1.734356933058663914e+22,-3.545638322830200195e-01
7.348829269409179688e+00,1.202526465058326721e-01,2.672363510927651661e+22,4.550969898700714111e-01,3.426877498626708984e+00,-2.871144967540400194e+22,-1.131848990917205811e-01
6.606982350349426270e-01,1.068108797073364258e+00,-2.040433498273775354e+22,9.499539375305175781e+00,1.747095733880996704e-01,-1.849975847819812012e+21,1.165269136428833008e+00
2.597686052322387695e+00,2.309401750564575195e+00,-2.150521514185052075e+22,1.449455320835113525e-01,3.291092157363891602e+00,-1.322972697756748166e+22,-1.295124590396881104e-01
3.552811145782470703e+00,5.101122856140136719e+00,-3.303947196770183178e+22,7.173797130584716797e+00,4.679775238037109375e-01,-3.439302658390822067e+22,5.864657974243164062e+01
1.288974136114120483e-01,7.283313870429992676e-01,-3.121657471632902665e+22,9.209133148193359375e+00,2.569440364837646484e+00,4.103609611715818291e+21,4.681064188480377197e-01
7.439010143280029297e+00,1.468036532402038574e+00,7.881229992464106494e+22,8.908090591430664062e+00,1.663756728172302246e+00,4.166833057314686947e+22,9.686289215087890625e+01
1.041467487812042236e-01,4.213176727294921875e+00,6.603220107487118518e+22,4.832305908203125000e+00,6.162403225898742676e-01,2.450429386400563462e+21,1.225507378578186035e+00
2.929936945438385010e-01,1.222022771835327148e+00,-1.850496154314261660e+21,1.410533547401428223e+00,2.940057754516601562e+00,-6.958497372731345784e+22,1.010944023728370667e-01
5.671634674072265625e+00,4.529082775115966797e+00,-1.867908055636094484e+21,4.426270961761474609e+00,1.618461847305297852e+00,-4.382519225488733372e+21,1.135698394775390625e+02
1.187468692660331726e-01,2.802249789237976074e-01,5.013560227576166744e+22,9.890097618103027344e+00,5.282678127288818359e+00,-9.615762565908237858e+22,-2.770193815231323242e-01
4.364142119884490967e-01,1.065621897578239441e-01,-2.064453728361332605e+21,3.059726357460021973e-01,3.841156482696533203e+00,4.632430499030981883e+22,-9.162040427327156067e-03
1.401317864656448364e-01,4.458260059356689453e+00,-8.056031132140995346e+21,1.769910901784896851e-01,1.289156913757324219e+00,-5.097980652951189429e+22,1.062176078557968140e-01
2.775459587574005127e-01,1.318384528160095215e+00,-2.039867170620633514e+22,8.432120084762573242e-01,3.017674207687377930e+00,-4.092235883446884788e+22,3.813622146844863892e-02
2.312738448381423950e-01,9.743523001670837402e-01,-1.021440377155644241e+22,2.941408395767211914e+00,4.966888427734375000e+00,3.212141318366235617e+22,-6.414735317230224609e-01
1.955253928899765015e-01,5.043902873992919922e+00,-3.981092448962933791e+22,1.247080788016319275e-01,2.206416368484497070e+00,-2.174985996228351754e+21,9.896929562091827393e-02
2.678585052490234375e-01,2.947432994842529297e-01,-2.523527874902367404e+22,8.661052584648132324e-01,2.754386425018310547e+00,-1.509714118535693730e+21,2.581994608044624329e-02
1.071161255240440369e-01,1.829694062471389771e-01,-4.949855009407160130e+22,2.261296033859252930e+00,3.715796947479248047e+00,-7.699775459877721840e+22,-2.407266013324260712e-02
4.085352420806884766e+00,2.753130197525024414e+00,-3.645165124697685230e+22,3.937478065490722656e-01,4.198542594909667969e+00,4.491633112800609855e+22,-3.856762886047363281e+00
2.031800270080566406e+00,2.080690622329711914e+00,3.033977340847589215e+22,2.042426466941833496e-01,2.217844247817993164e+00,-1.033755273304205165e+21,6.889147162437438965e-01
1.367183923721313477e-01,6.674592971801757812e+00,4.574184994690236521e+22,9.464983940124511719e-01,7.152974009513854980e-01,7.236959891651253659e+22,5.664620995521545410e-01
7.278491854667663574e-01,2.999323368072509766e+00,5.008166716662427838e+22,4.361075460910797119e-01,2.199021816253662109e+00,1.132844795238001358e+22,7.702740430831909180e-01
1.220526456832885742e+00,1.316324621438980103e-01,-6.224621514522506559e+21,3.248855829238891602e+00,5.481799125671386719e+00,3.416789557918564352e+21,-3.749377727508544922e-01
8.202804327011108398e-01,1.450470685958862305e-01,-1.079057474537134227e+21,1.662537455558776855e+00,5.852322578430175781e+00,6.955485365300560396e+21,-8.261523395776748657e-02
1.726512670516967773e+00,3.341133356094360352e+00,1.954280763302084608e+21,1.793426513671875000e+00,4.184927463531494141e+00,1.150182119764754694e+21,-8.939328193664550781e+00
1.768890261650085449e+00,4.629704475402832031e+00,8.348141584551668141e+22,2.193180024623870850e-01,1.116500020027160645e+00,-2.383857289298763475e+22,1.613913893699645996e+00
2.639369368553161621e-01,1.742366909980773926e+00,-2.120410672256434307e+21,3.539888620376586914e+00,5.000308990478515625e+00,-6.102656718263919051e+21,-1.560896039009094238e+00
