x0,x1,x2,x3,y
9.070499492756624038e-01,5.981474165362273832e-01,6.185414100098930668e+00,1.985216877546585712e+00,8.054345820933270783e-01
5.223877346434642632e+00,8.933735578669512734e+00,5.062863016874868727e+00,3.577366494688269061e+00,1.072625485093151987e+01
1.694912120955139045e-01,3.422532773558651931e-01,4.471141162833328409e+00,5.618507772568611003e+00,4.399262585216207055e-01
5.600630730783930922e-01,5.598976952061117451e+00,2.571355366705230239e-01,3.962900667200223381e+00,5.134447209895848907e+00
5.787286732407471490e+00,6.865031599973895338e-01,1.249047804399214395e-01,3.061492754407872940e+00,5.117067680491206083e+00
8.101483397908550543e+00,7.019609000673928456e+00,2.252588191818958308e+00,1.688486745864932193e+00,1.452672908723229206e+01
4.326357119099404791e+00,2.386098751510810079e+00,5.415842423993788124e+00,6.196770213940689054e+00,6.251003131984709249e+00
7.951920215208861942e-01,9.223960870420958580e-01,5.923250828372112586e+00,6.107257458711277565e+00,1.710363805349734534e+00
9.647910838082836449e+00,1.249720350753493747e-01,2.837137971437778017e+00,4.676944799487487536e+00,9.615450856930289447e+00
2.247708742450571229e-01,4.489077969351684128e-01,3.836366878379960266e+00,9.017254076111136385e-02,2.932767096645835236e-01
3.972553173235773283e-01,2.617454485517111684e-01,3.126834074745608039e+00,4.521531552167519230e+00,5.125962540671038514e-01
2.443758608568087354e+00,8.333873067296888593e+00,1.601598470369743454e+00,3.919892590503033070e+00,6.909094168457777130e+00
2.851135944403025424e-01,8.722080074854241527e-01,4.270638329327681504e+00,5.426298232593074200e-01,6.540439791929356650e-01
2.318951550532918127e+00,2.806361386462269958e-01,7.582877380394748013e-01,1.272043276942588896e+00,2.567066581806581649e+00
1.562770617158220743e+00,4.995801308738930580e+00,1.385612722996501178e+00,5.774004811653528968e+00,4.735953425965531594e+00
1.028212496140694932e-01,3.547263151653012869e-01,6.604150469648384369e-01,6.256217463540834522e+00,4.390720098472808974e-01
8.354102512316484708e-01,6.483738898515809979e+00,5.808770642922024940e+00,5.116808126474323259e+00,7.146906032625707006e+00
4.349548702117738586e+00,2.968292450204248478e+00,1.110524514291657994e+00,1.552470115783633364e+00,7.146321071155679050e+00
1.611649145677553907e+00,3.812803908942488107e-01,1.019863169546779247e+00,1.344807794000510759e+00,1.976728012087201725e+00
1.092910366751455448e-01,5.178237788500515970e-01,3.028104380564545783e-01,2.244120487056544544e+00,4.889801899302608224e-01
8.793870386272459427e+00,2.089135713639740821e+00,1.481822909616536954e+00,3.037236634327211249e+00,9.069830637193668110e+00
3.816012160188825053e+00,8.847218329562527295e-01,2.749023330080608396e+00,8.768443339404715653e-01,3.652444019463434000e+00
1.561741606756788803e-01,2.100508658241774462e+00,3.260032456610172158e+00,4.059183007174658186e+00,2.212245278380505997e+00
1.863371532373407080e-01,9.149563126682263459e+00,5.314887904559518539e+00,4.562459445987996354e+00,9.286468280586328561e+00
3.389658069399210105e-01,7.493606287984760916e-01,4.764045858529316391e+00,5.994065919146279064e+00,9.199062078477391324e-01
5.095562184241083648e-01,4.614494172899605839e-01,2.710703999370861261e+00,4.099240345655135620e+00,7.468738487301042062e-01
6.933160816540829829e-01,1.858273727143273379e-01,2.200588137636515729e+00,9.178093525378274720e-01,7.670800956331377263e-01
6.927196259028879588e+00,1.193229190092754521e+00,5.616124120324787583e+00,3.275613654553566345e+00,6.156711889317021402e+00
1.224056936406543034e-01,6.580580396780956187e-01,2.286018743719303359e+00,5.501821525933785040e+00,5.360660714273223215e-01
7.315037454301384301e+00,2.367678129150386779e-01,3.983339661394770914e+00,4.100862918821324143e+00,7.550223102644660678e+00
2.755605344994473516e+00,3.771661179242292161e-01,5.696896602640278751e+00,1.007868678859613176e+00,2.772554822269424957e+00
9.099701688071921701e-01,7.757235767461761355e+00,5.468522409067545276e+00,3.610722392785236323e+00,7.550252691217615109e+00
