x0,x1,x2,x3,x4,x5,y
6.925106525421142578e+00,-4.085263600499399066e+19,3.272015052800000000e+10,3.143348224000000000e+10,2.838729813538749543e-32,2.501525402069091797e+00,4.446211800188648437e-29
1.582383990287780762e+00,-9.505769503821135872e+18,6.564938956800000000e+10,1.024001600000000000e+09,-1.493438389412853513e-32,3.520614385604858398e+00,6.561027935065530298e-24
2.610427284240722656e+01,-1.152234309839486976e+19,7.817555148800000000e+10,5.101450752000000000e+09,1.543612014789001211e-32,5.142497062683105469e+00,8.531366754808376434e-26
2.320474624633789062e+00,-9.705632130448490496e+18,2.218373376000000000e+09,2.668841728000000000e+09,-4.594182808077220034e-32,3.961892127990722656e+00,2.584317521819519124e-29
5.294649600982666016e+00,2.118104972183732224e+18,3.878490880000000000e+09,3.985492377600000000e+10,-1.030252472886593455e-32,3.842271804809570312e+00,2.352430515995519601e-30
2.293986558914184570e+00,2.110791708030533632e+18,7.189433856000000000e+09,3.252693401600000000e+10,-1.411203651529707177e-33,1.964758634567260742e+00,4.744076652009047502e-30
5.622578811645507812e+01,3.214101186407825408e+19,2.687448320000000000e+09,2.326971648000000000e+09,-1.311264095279055568e-32,1.385684728622436523e+00,3.509239359080412932e-29
1.304906368255615234e+00,2.121042812277568307e+19,7.718655590400000000e+10,1.113308979200000000e+10,2.267981755808434595e-32,8.661372065544128418e-01,7.790475988195788593e-27
7.413017749786376953e+00,-4.476691059401608397e+19,2.588401459200000000e+10,2.965496627200000000e+10,-5.581423134514859799e-33,3.568803071975708008e+00,3.509983550447986312e-29
6.275501251220703125e+01,-2.874461824685493453e+19,7.551285248000000000e+09,1.723643520000000000e+09,-1.534209529350361439e-32,3.228459835052490234e+00,2.203294671258108012e-27
4.772786617279052734e+00,8.402002546143317197e+19,2.016767180800000000e+10,2.114539648000000000e+09,-5.092430782352631873e-32,3.886325836181640625e+00,2.083880543581486248e-26
6.084107875823974609e+00,-6.192190882499579085e+19,6.102048768000000000e+09,3.729745100800000000e+10,3.039911961527939268e-33,5.821022987365722656e+00,4.057811765253228161e-30
9.758920669555664062e+00,-1.217033615305605120e+18,1.139786496000000000e+09,2.885076736000000000e+09,1.278501304480112182e-32,2.391564846038818359e+00,9.584341467678085016e-30
1.049497485160827637e+00,-3.538989280229588992e+18,1.301381632000000000e+09,3.526471936000000000e+09,2.143348828502349203e-33,6.138783454895019531e+00,1.038930796205903508e-29
4.369926452636718750e+01,9.102621031064508826e+19,2.656746496000000000e+09,1.537528832000000000e+10,2.776819795424602885e-33,6.027487292885780334e-02,4.436533475596633409e-30
2.272935104370117188e+01,-3.467665335325294592e+18,1.532312064000000000e+09,3.793309696000000000e+09,1.509153720325790528e-32,1.727233648300170898e+00,7.749557662541744152e-30
1.382859134674072266e+01,3.064479369222160384e+18,9.335560192000000000e+09,6.313614131200000000e+10,-1.473782103486189391e-33,1.473372697830200195e+00,3.229033328827445051e-30
2.472414779663085938e+01,9.264572936570798080e+19,3.856950272000000000e+09,1.521445504000000000e+09,-3.954334710833358516e-33,4.412161827087402344e+00,3.233569932043087638e-28
1.454880475997924805e+00,1.682800897043726336e+18,3.162452992000000000e+10,2.110865817600000000e+10,1.881235628788057006e-33,2.733696699142456055e+00,1.124501624055368188e-28
3.102287769317626953e+00,4.670457113955270656e+18,7.534830592000000000e+09,1.705939840000000000e+09,1.683710076382290787e-32,8.512009382247924805e-01,1.984403873800754476e-27
1.540255641937255859e+01,-1.112059364423342490e+19,2.596670208000000000e+09,6.702261452800000000e+10,-2.577192018309184857e-33,1.954454630613327026e-01,9.665337730427143914e-31
6.954144954681396484e+00,1.980017031973437440e+18,1.374001792000000000e+09,1.126159616000000000e+09,-8.489140433983064678e-32,5.177645087242126465e-01,6.664672748461630596e-29
1.676118659973144531e+01,-1.930160226967748608e+18,5.425361715200000000e+10,9.339094630400000000e+10,-2.240147812822489060e-32,4.872727870941162109e+00,1.117850289575477655e-29
2.786425113677978516e+00,4.615533429515301683e+19,1.015411302400000000e+10,3.656536064000000000e+10,1.399349764457923682e-32,1.868322730064392090e+00,5.703296969398685950e-30
8.615664672851562500e+01,2.217225258232971264e+18,9.798487244800000000e+10,1.600230272000000000e+09,-8.118784481835591487e-32,2.738023757934570312e+00,5.714192853058921114e-24
5.275032043457031250e+00,-6.299527406626327757e+19,2.217082470400000000e+10,1.218325606400000000e+10,6.518345396707994578e-32,4.999203383922576904e-01,1.767487419351765210e-28
6.504255676269531250e+01,5.353030633943728128e+18,1.438484377600000000e+10,1.087175168000000000e+09,2.883965554489077443e-33,3.646529197692871094e+00,5.709384499322566165e-26
6.462086486816406250e+01,-6.825035360733495296e+18,7.257753600000000000e+09,1.322651443200000000e+10,9.191602486786223089e-33,1.988403439521789551e+00,1.153454565252844530e-29
1.047582626342773438e+01,-1.320429682172939469e+19,4.330629529600000000e+10,2.370365440000000000e+09,6.209182300918071060e-33,1.659368038177490234e+00,1.443229900787024834e-25
1.986340880393981934e+00,1.530363175603745587e+19,1.805396480000000000e+09,1.029120614400000000e+10,-9.859066252408761829e-32,2.639743328094482422e+00,4.333360054306317037e-30
5.876359176635742188e+01,2.214893331509411840e+18,3.439132672000000000e+10,1.941803622400000000e+10,1.936210928182122969e-33,3.618978738784790039e+00,1.662542292975889486e-28
1.777673721313476562e+01,-4.795777250265923584e+18,5.273201049600000000e+10,2.800381747200000000e+10,6.636482578965634472e-33,2.923133611679077148e+00,2.093816146534387783e-28
3.312353610992431641e+00,-8.122456552632431411e+19,8.382837248000000000e+09,5.873911296000000000e+09,1.269962513515739085e-32,9.123750925064086914e-01,7.632474814081198590e-29
3.336034011840820312e+01,-1.962428584268555878e+19,1.452361318400000000e+10,3.976150016000000000e+09,6.832483772337773427e-33,1.014297723770141602e+00,1.066889018661228147e-27
9.450225830078125000e+00,-4.255932983946510336e+18,9.410155315200000000e+10,2.710701056000000000e+10,-9.599818614048186664e-33,8.600551486015319824e-01,9.575612942521534395e-28
2.847443819046020508e+00,-6.329190031320468685e+19,6.529881702400000000e+10,5.998317158400000000e+10,-4.206448641320777850e-32,2.886511325836181641e+00,5.745806757169619403e-29
2.181834030151367188e+01,7.598096818518150349e+19,1.768633600000000000e+09,4.737588428800000000e+10,6.045159549739289320e-32,4.982951164245605469e+00,9.003043524473292660e-31
2.587673377990722656e+01,-1.256107702192229581e+19,1.289241216000000000e+09,2.711628544000000000e+09,-2.145994535678264003e-32,4.403519630432128906e+00,9.423715148734266914e-30
2.984403610229492188e+00,-2.010642966292463616e+18,3.359025920000000000e+09,1.927482880000000000e+09,3.407970593637722614e-32,4.773002147674560547e+00,1.000200480441225410e-28
8.231184005737304688e+00,-2.782325609008096870e+19,4.858836992000000000e+10,2.648458649600000000e+10,1.463122243168352866e-32,6.231794357299804688e+00,1.995802682769604770e-28
6.290225982666015625e+00,-8.058688506609795072e+18,2.933981440000000000e+09,8.198890291200000000e+10,-8.682581841469494249e-33,1.509724497795104980e+00,8.620188775992396250e-31
2.315302276611328125e+01,-5.612176068810532454e+19,3.075071744000000000e+09,1.676810624000000000e+09,-9.200556815003611864e-33,1.995827794075012207e+00,1.299737415611544859e-28
2.411016702651977539e+00,-1.481639472306061312e+18,1.602183270400000000e+10,8.804093952000000000e+10,-2.669939698083414163e-32,2.226899862289428711e+00,4.171387089034196923e-30
1.682035636901855469e+01,-1.989507741466492928e+18,8.180093747200000000e+10,1.443197644800000000e+10,6.133262263586244357e-32,4.101164817810058594e+00,4.146465155321509523e-27
1.582426667213439941e+00,2.456265545742286848e+18,8.309505228800000000e+10,4.649470464000000000e+09,2.529037010606986732e-32,3.587128400802612305e+00,1.413691373969573370e-25
9.415966033935546875e+00,4.717131382554361856e+18,5.493473689600000000e+10,3.216552550400000000e+10,-1.552436157007036418e-32,4.719967365264892578e+00,9.411716304254180624e-29
4.480270385742187500e+01,3.770728673091518464e+18,1.193725440000000000e+09,1.602420633600000000e+10,-1.255651163668065440e-32,3.432562351226806641e+00,1.857289349779444051e-30
3.310675048828125000e+01,-5.904134668989707059e+19,1.164007833600000000e+10,4.172464128000000000e+10,-7.915090559558083777e-33,2.766371250152587891e+00,7.240199597449083528e-30
1.158122062683105469e+00,-5.859110547441582080e+19,1.725278208000000000e+10,2.660792320000000000e+10,3.457676666135830747e-32,1.276963353157043457e+00,1.336750208116677187e-29
3.339937973022460938e+01,6.017340386185524019e+19,5.854921523200000000e+10,2.785819443200000000e+10,2.590034881839093759e-32,5.586207389831542969e+00,2.386106348991774923e-28
6.948501110076904297e+00,-1.560560492802473984e+18,7.500260147200000000e+10,1.857307648000000000e+10,-1.933094398784505379e-33,3.083551645278930664e+00,1.742158286872789124e-27
8.082964897155761719e+00,1.623234304853147648e+18,1.229063577600000000e+10,4.397200998400000000e+10,3.618993576255813434e-32,2.316559076309204102e+00,6.465832067375970199e-30
1.008739757537841797e+01,-2.109437247144067072e+19,2.454360473600000000e+10,4.370344960000000000e+09,-1.940273914203144816e-32,4.003088951110839844e+00,4.105541069933225148e-27
1.031754374504089355e+00,-7.639334661824865894e+19,1.346955904000000000e+09,3.225297715200000000e+10,1.008808664128511728e-32,3.805620908737182617e+00,1.027100132053578065e-30
9.625041961669921875e+01,-3.095220339945242624e+18,5.942328934400000000e+10,9.924007936000000000e+09,-4.055065246212418903e-32,3.675024509429931641e+00,5.273768959297712530e-27
4.398921012878417969e+00,3.996989089561077350e+19,1.257118592000000000e+09,1.306246528000000000e+09,-6.702617654384422601e-32,4.058894157409667969e+00,3.167910406155308848e-29
1.124936461448669434e+00,3.276289564074835968e+19,1.488886067200000000e+10,4.710231040000000000e+09,-5.337286549502502066e-33,1.298879027366638184e+00,6.354631370077447828e-28
2.860095739364624023e+00,-2.407266909562077184e+18,2.410586624000000000e+09,1.410987520000000000e+09,1.824700411656251404e-33,1.105638742446899414e+00,1.088524771211728526e-28
9.742432403564453125e+01,-1.586145578625007616e+19,2.404539392000000000e+09,1.099024128000000000e+09,5.755402910592281726e-33,9.933087229728698730e-01,2.320177674394268017e-28
1.451351642608642578e+01,2.582602730308632576e+18,7.441401344000000000e+09,1.104464896000000000e+09,-1.459357869446638343e-33,4.274433612823486328e+00,6.869108791685001697e-27
2.784345436096191406e+01,2.371315078357057536e+18,1.061448089600000000e+10,6.196067942400000000e+10,-2.702073415733675310e-33,3.138671875000000000e+00,4.398940602020048259e-30
1.040663480758666992e+00,3.049977745436678554e+19,1.118980403200000000e+10,6.881462784000000000e+09,5.622082675957436534e-32,3.923440694808959961e+00,1.150760354770251383e-28
1.388496398925781250e+01,7.668736812214386688e+18,2.188908544000000000e+09,8.446742528000000000e+09,1.254473171391747655e-32,9.623556584119796753e-02,6.883276630505519044e-30
1.486503720283508301e+00,2.217831776334643200e+18,5.134136320000000000e+09,1.509480448000000000e+10,-3.216856958839508878e-32,5.127174377441406250e+00,7.049191733632556781e-30
6.906956672668457031e+00,-7.652223576930307277e+19,7.972786176000000000e+09,2.638559232000000000e+09,1.992179152960649133e-33,4.407780647277832031e+00,5.563302867115189877e-28
7.549250793457031250e+01,7.485800617340829696e+19,5.101629952000000000e+09,2.057441792000000000e+09,-4.212287615634899857e-32,2.967161178588867188e+00,4.375562611112137654e-28
6.337991237640380859e+00,-4.195618064142067302e+19,2.975242752000000000e+09,1.399371673600000000e+10,-2.640472699570588766e-32,4.544332504272460938e+00,4.447513909386986495e-30
7.613043212890625000e+01,-8.272584749898268672e+19,7.279060582400000000e+10,1.280449536000000000e+09,-5.858100341893855506e-33,5.765193462371826172e+00,4.564580333854004063e-24
