x0,x1,x2,x3,x4,y
5.601451008000000000e+09,1.292678803110902663e-06,-1.095380443129362284e-17,-1.507434000000000000e+06,-2.815845727920532227e+00,1.292647880291042384e-06
1.703325491200000000e+10,1.087175860448041931e-05,3.049526397885354541e-17,-5.567638500000000000e+06,-6.197989940643310547e+00,1.087325017579132691e-05
4.072898304000000000e+09,3.544343144312733784e-06,2.971166585841471166e-18,-1.847007750000000000e+06,6.147642898559570312e+01,3.545673735061427578e-06
4.467148800000000000e+10,1.906588749989168718e-06,1.630831741709739456e-17,-8.213570625000000000e+05,3.208559989929199219e+00,1.906625243464077357e-06
1.895557939200000000e+10,4.817033641302259639e-06,5.944109542048399959e-18,-7.055015500000000000e+06,4.381871700286865234e+00,4.818712113774381578e-06
2.155516672000000000e+09,4.888898547505959868e-05,4.089225674389077299e-18,-5.340506000000000000e+06,-5.223401260375976562e+01,4.889363844995386899e-05
1.706619494400000000e+10,1.370292284263996407e-05,-7.905592092529370040e-17,-2.148347656250000000e+05,-8.449879646301269531e+00,1.370290556224063039e-05
4.105429811200000000e+10,2.295129206686397083e-06,-5.984193804634045872e-17,9.886592500000000000e+05,1.045780277252197266e+01,2.295026661158772185e-06
4.536616960000000000e+09,2.946656422864180058e-06,1.665914622157705998e-17,-1.558482187500000000e+05,-3.210737228393554688e+00,2.946651193269644864e-06
4.351141376000000000e+09,4.824516054213745520e-06,5.052875785172022309e-17,7.657606500000000000e+06,-2.472287559509277344e+01,4.828198143513873219e-06
1.768153344000000000e+09,3.507555675241746940e-06,-5.043652390469811030e-17,-4.680299375000000000e+05,-3.939659881591796875e+01,3.507354904286330566e-06
1.386395904000000000e+09,6.792360181862022728e-06,1.906221178016201216e-18,4.728907000000000000e+06,1.424227714538574219e+01,6.792455678805708885e-06
3.050257664000000000e+09,3.976439256803132594e-05,1.877998933568749486e-17,5.530177000000000000e+06,3.658588790893554688e+01,3.976891093770973384e-05
3.435916032000000000e+09,1.987725408980622888e-05,8.144188038881105597e-17,-4.579418000000000000e+06,-4.526329421997070312e+01,1.987726682273205370e-05
3.734119936000000000e+09,1.124225491366814822e-06,6.234628359912640361e-17,8.266255000000000000e+06,-4.729194641113281250e+00,1.125088147091446444e-06
6.894308352000000000e+09,5.360026989364996552e-06,6.906021084619881015e-17,3.195921562500000000e+05,6.777403354644775391e+00,5.360006070986855775e-06
2.420430080000000000e+09,1.345986788692243863e-06,-1.288552386528207741e-18,-1.455086000000000000e+06,-1.681371569633483887e+00,1.345975420008471701e-06
1.573538713600000000e+10,5.241943199507659301e-06,2.156954841804294880e-17,-1.035985375000000000e+06,1.101558804512023926e+00,5.241987310000695288e-06
1.679665971200000000e+10,2.304650251971906982e-06,2.297006776549118123e-17,-1.746863625000000000e+06,4.779628372192382812e+01,2.305618409081944264e-06
1.459595008000000000e+09,2.961718200822360814e-05,-7.566209482493968400e-18,5.414570000000000000e+05,-1.931236028671264648e+00,2.961724203487392515e-05
6.607753728000000000e+09,3.575954178813844919e-05,4.436354913579099299e-18,1.270073750000000000e+05,8.887119293212890625e+01,3.575942173483781517e-05
9.565840179200000000e+10,1.601886197022395208e-06,-1.553733710972244469e-17,-5.072449687500000000e+05,-2.086207866668701172e+00,1.601876647328026593e-06
1.649161932800000000e+10,3.418988399062072858e-06,2.463366198059455348e-18,-5.211436250000000000e+05,-2.984052467346191406e+01,3.418820597289595753e-06
4.970718208000000000e+09,3.395672820261097513e-06,-4.647764411046422027e-17,-1.014613281250000000e+05,-2.804369211196899414e+00,3.395669864403316751e-06
3.194074624000000000e+09,4.545478532236302271e-06,2.441032983265013643e-17,-1.985718906250000000e+05,1.400304985046386719e+01,4.545510364550864324e-06
4.347337932800000000e+10,7.128729066607775167e-06,-2.047596105432741772e-17,3.784052187500000000e+05,-1.154183197021484375e+01,7.128783636289881542e-06
1.289430528000000000e+10,2.336498255317565054e-06,-2.110206067741370479e-17,-3.778275000000000000e+05,9.864738464355468750e+00,2.336541456315899268e-06
8.434018816000000000e+09,5.899672032683156431e-06,5.069386310198580742e-17,-2.459508500000000000e+06,-1.744347763061523438e+01,5.899393272557063028e-06
7.258164736000000000e+09,4.430711851455271244e-05,6.195768076479389163e-17,-7.409770000000000000e+05,6.183657455444335938e+01,4.430776243680156767e-05
2.867140096000000000e+09,1.211728772432252299e-06,-7.577304456050142160e-18,-2.082292250000000000e+06,-7.487925529479980469e+00,1.211584503835183568e-06
4.798679040000000000e+09,7.683484909648541361e-06,4.632782515791861590e-17,3.755228437500000000e+05,4.366196060180664062e+01,7.683308467676397413e-06
1.861117824000000000e+09,5.403660452429903671e-06,-1.354886357313580807e-17,-2.440342812500000000e+05,8.609600067138671875e+00,5.403685463534202427e-06
6.920544256000000000e+10,1.604471322025347035e-06,-8.969279524079069345e-17,-1.713211875000000000e+06,-1.080471515655517578e+00,1.604476892680395395e-06
5.655847936000000000e+09,7.113695573934819549e-06,-1.563448616394434758e-17,-7.797213125000000000e+05,1.686137318611145020e+00,7.113734227459644899e-06
4.233801216000000000e+09,7.866220585128758103e-06,-2.734831985848333076e-17,1.882317500000000000e+05,1.372915267944335938e+01,7.866193300287704915e-06
1.661265536000000000e+09,6.318654050119221210e-05,-2.402493976781678041e-18,-1.235409875000000000e+06,-3.142893791198730469e+00,6.318702799035236239e-05
4.408225280000000000e+09,1.888444330688798800e-06,-4.194126982593765908e-17,2.451029843750000000e+05,-1.127290129661560059e+00,1.888447968667605892e-06
1.664987955200000000e+10,4.044452452944824472e-06,-1.350943311410632407e-18,-2.262948500000000000e+06,4.993337249755859375e+01,4.045824880449799821e-06
4.187143372800000000e+10,1.125491689890623093e-05,1.545142778566391235e-18,-7.321597500000000000e+06,5.158857345581054688e+00,1.125869493989739567e-05
1.136246400000000000e+09,3.122572525171563029e-05,-1.195006903285861490e-17,3.606211750000000000e+06,-7.067622184753417969e+00,3.122826819890178740e-05
8.327718912000000000e+09,3.256338459323160350e-06,9.313081760127341812e-18,-2.682228500000000000e+06,-1.537805557250976562e+01,3.256009904362144880e-06
2.752928000000000000e+09,7.252120212797308341e-06,4.541615714478003453e-18,8.398086000000000000e+06,6.842097473144531250e+01,7.248571364470990375e-06
1.412281600000000000e+09,1.155935569840949029e-05,2.871083687422965199e-17,4.770575500000000000e+06,-2.137639236450195312e+01,1.156195412477245554e-05
4.961481523200000000e+10,7.932593871373683214e-05,-1.189750315249694196e-18,-1.089452109375000000e+05,1.092503643035888672e+01,7.932596054160967469e-05
1.216505753600000000e+10,9.182589565170928836e-06,2.062951638169992411e-18,9.409056250000000000e+05,2.321038961410522461e+00,9.182610483549069613e-06
2.195663052800000000e+10,1.454065568395890296e-06,-1.909222023842421090e-17,2.014310000000000000e+05,2.054050636291503906e+01,1.454019866287126206e-06
4.508194816000000000e+10,5.402798251452622935e-06,-3.517419705168933305e-18,-4.792546875000000000e+05,1.940830421447753906e+01,5.402908755058888346e-06
3.119360768000000000e+09,3.393025326658971608e-05,4.344047761072775558e-18,-5.758108000000000000e+06,9.127162170410156250e+01,3.394236409803852439e-05
2.812964864000000000e+10,2.950237285404000431e-05,-8.820937585235239659e-17,1.581707812500000000e+05,-1.883935570716857910e+00,2.950238012999761850e-05
1.352353152000000000e+09,5.557895565289072692e-05,2.730620809349825612e-18,5.087472000000000000e+06,4.379028320312500000e+00,5.558671182370744646e-05
5.430035251200000000e+10,4.159128366154618561e-06,1.151728027815505157e-18,6.153836875000000000e+05,-8.020704650878906250e+01,4.159686341154156253e-06
6.093433856000000000e+09,2.287639745190972462e-06,-5.141628625304266946e-17,8.523570000000000000e+06,-8.855281829833984375e+01,2.296966385983978398e-06
1.485582208000000000e+09,6.042622771929018199e-06,-4.695890688983430985e-18,-9.487859000000000000e+06,-2.388161277770996094e+01,6.043128905730554834e-06
1.374383923200000000e+10,2.850491910066921264e-05,-1.909156014829539358e-18,-1.288605546875000000e+05,-1.109985470771789551e+00,2.850491910066921264e-05
4.740480512000000000e+09,5.012184556107968092e-05,2.068537506128501752e-17,-1.930092000000000000e+06,-2.050929260253906250e+01,5.012244218960404396e-05
4.511941017600000000e+10,6.981947808526456356e-05,-7.543064968954734685e-18,3.712405500000000000e+06,2.040332794189453125e+00,6.982474587857723236e-05
8.117166899200000000e+10,1.767805952113121748e-05,3.133463764722591099e-18,8.824106250000000000e+05,8.234558105468750000e+01,1.767732646840158850e-05
2.919264256000000000e+10,7.005611405475065112e-05,-1.387141975786871727e-18,-3.320278250000000000e+06,4.114334869384765625e+01,7.006193482084199786e-05
4.092283648000000000e+09,3.231478103771223687e-06,-1.867850585505581411e-17,7.261017500000000000e+05,1.147531867027282715e+00,3.231478331144899130e-06
2.110306099200000000e+10,2.056099219771567732e-05,-2.980163663928087937e-17,1.311553125000000000e+06,-3.411572694778442383e+00,2.056123776128515601e-05
1.236245248000000000e+09,6.847050372016383335e-06,2.888503449378841919e-17,5.467108750000000000e+05,-2.170581102371215820e+00,6.847074928373331204e-06
1.088887168000000000e+09,1.168898415926378220e-05,-1.915268052375693680e-17,1.235630875000000000e+06,-4.626685714721679688e+01,1.168971994047751650e-05
9.913183232000000000e+09,1.258011479876586236e-06,-3.400470015034042317e-18,6.433140625000000000e+05,-1.657590985298156738e+00,1.258026259165490046e-06
1.007728256000000000e+09,3.650059079518541694e-05,4.176252519455168788e-18,-1.485064218750000000e+05,-2.332682609558105469e+00,3.650059079518541694e-05
1.054738022400000000e+10,5.045789293944835663e-05,-1.391582591507786087e-18,4.734991000000000000e+06,-6.209520721435546875e+01,5.046746082371100783e-05
1.083449036800000000e+10,8.021260327950585634e-06,1.232212577339822867e-17,-2.980060250000000000e+06,-3.479853820800781250e+01,8.020502718864008784e-06
3.667576576000000000e+09,1.404364979862293694e-06,-5.160262853835494021e-18,2.316631500000000000e+06,-2.656079530715942383e+00,1.404475369781721383e-06
1.052310272000000000e+09,4.297292616683989763e-05,-2.018738420838726806e-17,-5.362799375000000000e+05,1.901093602180480957e+00,4.297300620237365365e-05
8.783278080000000000e+09,5.830724330735392869e-05,2.277089425451698791e-17,3.664934000000000000e+06,1.576201081275939941e+00,5.831153612234629691e-05
1.130362368000000000e+10,1.425258005838259123e-06,1.722178661601981015e-18,-1.664785625000000000e+06,2.187125205993652344e+01,1.425685127287579235e-06
9.690169344000000000e+09,3.580991233320673928e-06,-1.118943965007884735e-18,-2.347430468750000000e+05,2.100363349914550781e+01,3.581047167244832963e-06
5.834295705600000000e+10,1.413785753356933128e-06,4.865261709667951273e-18,-1.711845937500000000e+05,-5.295782089233398438e+00,1.413775976288889069e-06
1.400235008000000000e+10,2.062174280581530184e-05,5.790963751797168564e-17,-1.108590625000000000e+06,-2.866118431091308594e+01,2.062152998405508697e-05
1.937146675200000000e+10,1.917992449307348579e-05,-3.017807578270579908e-18,6.388692000000000000e+06,-2.525070571899414062e+01,1.918607631523627788e-05
2.669230899200000000e+10,4.352733867563074455e-06,4.063047475953305356e-18,7.370633750000000000e+05,6.797021484375000000e+01,4.352189534984063357e-06
7.556069785600000000e+10,2.010788421102915891e-06,1.291129095495341050e-17,-3.349262500000000000e+06,-2.815106201171875000e+01,2.009864829233265482e-06
1.213659392000000000e+09,4.614196313923457637e-06,-4.727016916407372630e-17,5.498189000000000000e+06,4.527379608154296875e+01,4.612202246789820492e-06
5.863197491200000000e+10,2.418013309579691850e-06,4.150686021082379808e-18,3.967616875000000000e+05,2.567716598510742188e+00,2.418003987258998677e-06
3.128279040000000000e+10,8.862850336299743503e-06,-3.164360904475886182e-17,1.389358125000000000e+05,-3.575262308120727539e+00,8.862856702762655914e-06
3.019265433600000000e+10,4.494541644817218184e-05,2.189584097760276003e-18,-3.106081875000000000e+05,4.205271720886230469e+00,4.494545282796025276e-05
1.458904678400000000e+10,1.358841927867615595e-05,3.087109390375731981e-18,-4.293830625000000000e+05,-9.966829299926757812e+00,1.358838562737219036e-05
4.758969548800000000e+10,3.500665116007439792e-06,3.949078696591871713e-17,3.691549687500000000e+05,-2.393931961059570312e+01,3.500766069919336587e-06
1.185363148800000000e+10,9.263746505894232541e-06,7.820932307504160295e-18,9.379053125000000000e+05,-5.371329879760742188e+01,9.264352229365613312e-06
1.216658560000000000e+09,8.630660886410623789e-06,1.140543098367716255e-18,-5.842905000000000000e+05,-1.760987877845764160e+00,8.630666343378834426e-06
1.372710912000000000e+09,6.498361472040414810e-05,-1.919134294558766531e-18,3.241976250000000000e+06,5.988942146301269531e+00,6.498720176750794053e-05
1.191413760000000000e+09,5.218206570134498179e-05,-2.367755203468533559e-17,-1.695240000000000000e+06,-1.541991424560546875e+01,5.218260776018723845e-05
1.511496192000000000e+10,7.786023161315824836e-06,-1.555840539992417031e-17,2.676002500000000000e+06,-1.137473583221435547e+01,7.786671631038188934e-06
9.735098368000000000e+09,3.114613355137407780e-05,-2.203161316257629517e-17,-6.496190500000000000e+06,-1.642434310913085938e+01,3.115225990768522024e-05
9.489399808000000000e+10,2.149625834135804325e-05,3.401521775182903492e-18,2.248819687500000000e+05,4.748999786376953125e+01,2.149614556401502341e-05
2.843610368000000000e+09,1.545757186249829829e-06,2.695400451484052757e-17,-2.729992500000000000e+06,7.249536991119384766e+00,1.546041517030971590e-06
8.853964390400000000e+10,2.322083901162841357e-06,-2.120103201052506200e-18,7.894879000000000000e+06,-3.493301010131835938e+01,2.325959258087095805e-06
1.268207488000000000e+09,2.583154673629906029e-05,6.311733835275648325e-18,-7.495985500000000000e+06,-6.940824890136718750e+01,2.583383502496872097e-05
2.736272998400000000e+10,5.786765996163012460e-06,-3.551162470306502687e-18,6.815699500000000000e+06,3.710761642456054688e+01,5.785447228845441714e-06
1.108025856000000000e+09,9.713624422147404402e-06,2.862524270598450235e-18,-1.519119000000000000e+06,-2.921382522583007812e+01,9.713255167298484594e-06
