x0,x1,x2,x3,x4,y
8.358989733728092160e+17,3.020522836960819859e+23,2.604141210937500000e+04,4.456826477050781250e+02,1.179095197585411370e-04,1.576312200000000000e+07
-1.390227742020075520e+17,9.035418737948501490e+24,-1.153611230468750000e+04,6.530139160156250000e+01,1.915586472023278475e-05,4.252577600000000000e+08
-3.285153697968947200e+16,2.910210514766502323e+24,1.673915405273437500e+03,1.415658473968505859e+01,5.193538963794708252e-04,1.095223625000000000e+06
-1.049888434631475200e+16,1.579327937818620496e+24,-4.767979003906250000e+03,1.299167327880859375e+02,4.321633969084359705e-05,6.555000000000000000e+07
-3.225701171519815680e+17,4.308058952042404022e+24,-1.124328906250000000e+04,1.842083740234375000e+02,2.141008299076929688e-04,5.117477600000000000e+07
-4.385373952399114240e+17,4.400044217826709005e+24,6.926785156250000000e+04,7.361081695556640625e+01,2.484292417648248374e-05,1.800028000000000000e+08
1.733797229887488000e+16,8.475788189654140678e+23,-1.487761840820312500e+03,6.076712646484375000e+02,2.205461205448955297e-04,3.224279200000000000e+07
6.964575085789184000e+16,1.169090796363393777e+24,-1.020005615234375000e+03,6.368850708007812500e+02,1.124225091189146042e-04,9.144065600000000000e+07
1.036350268217753600e+16,4.535164816726780522e+23,-3.994489746093750000e+03,1.702751922607421875e+02,1.305115802097134292e-05,8.169184000000000000e+07
1.297964972554321920e+17,5.092967912378745443e+24,-5.506161718750000000e+04,5.129129638671875000e+02,7.473987061530351639e-04,4.825536400000000000e+07
5.407466475382374400e+16,1.256069932859507754e+24,2.215191406250000000e+03,9.415505981445312500e+02,7.774283294565975666e-04,2.100295400000000000e+07
6.843303248212787200e+16,6.960376778899043020e+24,-2.272563476562500000e+03,1.927988586425781250e+02,1.752683419908862561e-05,1.057102336000000000e+09
-1.092563487382568960e+17,3.688118791611682893e+23,5.091848632812500000e+03,6.066906356811523438e+01,4.971820817445404828e-05,6.213553500000000000e+06
-2.381615887401615360e+17,1.173195701322952418e+24,-2.185578369140625000e+03,6.831405639648437500e+01,1.177590020233765244e-04,9.396578000000000000e+06
-8.686361761755955200e+17,8.110621776232945201e+24,-8.743963281250000000e+04,2.323527336120605469e+01,1.406922820024192333e-04,1.849332200000000000e+07
7.337870020837376000e+16,4.496459080089307531e+23,5.824229296875000000e+04,6.122815551757812500e+02,5.597427370958030224e-04,6.790733000000000000e+06
-1.589840556169625600e+16,4.705597239585138624e+23,-1.618564819335937500e+03,8.084606933593750000e+02,2.582534216344356537e-05,2.033812320000000000e+08
-1.091280108204851200e+16,1.243906466870717443e+24,-2.224609375000000000e+03,1.744936828613281250e+02,2.034499339060857892e-04,1.472967600000000000e+07
-2.048440155966013440e+17,1.439726851764466148e+23,-1.584212402343750000e+04,7.302500610351562500e+02,3.385727177374064922e-05,4.287292000000000000e+07
-3.330805120106496000e+16,7.021074060891327390e+24,5.064853027343750000e+03,7.786376953125000000e+01,1.116035273298621178e-04,6.763077600000000000e+07
1.780988591074181120e+17,3.554375429506458293e+24,7.428924218750000000e+04,2.521775207519531250e+02,3.854733367916196585e-04,3.210396000000000000e+07
-8.006397657738117120e+17,1.491465195075616427e+23,-6.983643750000000000e+04,1.648386192321777344e+01,2.622502215672284365e-04,1.294313515625000000e+05
-2.337294573685964800e+16,3.919205694251466836e+23,-5.673919921875000000e+04,1.661345825195312500e+02,9.833286458160728216e-05,9.142032000000000000e+06
