x0,x1,x2,x3,x4,x5,y
-4.917678050664125652e-15,2.449866656206722837e-07,5.562680776335713244e-25,-2.832465991377830505e-02,-1.186929061077535152e-03,-7.897884398698806763e-02,4.667799677162359150e-26
2.359462790619583361e-15,8.857519787852652371e-06,-5.636672280763757505e-24,3.769053844735026360e-03,1.629863865673542023e-02,-2.447392791509628296e-03,-9.529829851439357688e-26
-1.149524167531629920e-14,2.897595550166442990e-07,-7.770002237388328487e-24,1.378838322125375271e-03,2.778580412268638611e-03,4.120915755629539490e-02,-3.211010490009749530e-25
-1.477238843132066409e-14,1.797470758901908994e-06,2.665132795181683610e-25,-3.050793195143342018e-03,-8.221752941608428955e-02,1.342025212943553925e-02,2.221693465202828153e-26
1.480981309978743766e-15,3.652744737792090746e-07,-5.128367981547561800e-25,-1.350579084828495979e-03,-8.841543458402156830e-03,1.155428006313741207e-03,-4.624979783374017755e-27
2.781038711764573929e-15,3.862617461436457234e-07,2.917633020750442087e-24,1.070060417987406254e-03,1.196429366245865822e-03,-9.239870123565196991e-03,2.736230609897957470e-26
-1.843549210248855534e-15,2.325895366084296256e-06,1.933042708739161106e-24,-2.580050379037857056e-03,-6.450082361698150635e-02,-9.261009097099304199e-02,2.182167990140157789e-25
-2.151178235922698162e-15,2.120934823324205354e-07,-1.395793229365756579e-24,-6.236230488866567612e-03,1.987234689295291901e-03,-6.730314344167709351e-02,-9.438444629652578898e-26
3.722707262083808227e-15,1.555787662255170289e-06,5.980005451529930199e-25,-3.391679376363754272e-03,1.782941631972789764e-02,-1.298359245993196964e-03,1.088093719201225497e-26
9.123396618260573576e-14,1.454835796721454244e-06,4.508180329004775213e-25,-6.041474174708127975e-03,1.266172714531421661e-02,-1.838241331279277802e-02,1.042483846258246977e-26
-5.840738727088193305e-14,2.222728653578087687e-06,2.908496137923332870e-25,-4.198620561510324478e-03,1.363733224570751190e-02,2.798669412732124329e-02,9.136846619626262130e-27
-1.835282888661658729e-14,9.995115988203906454e-07,1.336762644568551825e-25,-1.927765668369829655e-03,-2.646677009761333466e-02,-3.506975993514060974e-02,5.878860325527216432e-27
5.817521808113837109e-15,3.044448476430261508e-06,1.111282556681133308e-24,8.115150034427642822e-03,1.157884206622838974e-02,-1.943490840494632721e-02,2.670874408346769948e-26
-1.327975628903155583e-14,9.841032806434668601e-06,-1.251216349335089370e-25,-3.470683470368385315e-03,-7.467109709978103638e-03,-7.730230689048767090e-02,-9.726909184127734676e-27
-1.366393401148937453e-14,3.124965587630867958e-06,-1.682320205872221467e-25,-4.500310495495796204e-02,-1.240850077010691166e-03,-1.033490616828203201e-02,-7.770843828714682866e-27
3.949422406679999747e-15,2.060340733578414074e-07,-1.640692262422741556e-25,-1.839882507920265198e-02,-4.817422479391098022e-03,-2.527435310184955597e-02,-5.189665909742255205e-27
