x0,x1,x2,x3,y
1.410294547815216758e-02,1.447513146982127609e-02,2.470213927950162119e-02,7.788453905494119311e-02,3.766345681121150496e-13
1.025535074624189802e-02,5.042733387108431359e-02,4.055722330862813196e-01,5.166428695081377587e-01,1.829628244050975435e-14
1.114600012164569144e-02,4.795752714633471081e-01,7.614478497529560130e-02,1.226348632891406144e-02,-2.440625636867762046e-11
3.522929517803702892e-01,5.755538870325771494e-01,1.486170614551608760e-02,3.173060581731836083e-02,4.841003434959276690e-10
8.596870780702327297e-02,6.069230506122377800e-02,3.235459885859277851e-02,6.859890012612085419e-02,5.686778516659609863e-12
4.161296104135466661e-02,2.013654107280097791e-02,7.483608200031836022e-01,5.350891721266528567e-01,-2.978620233979541119e-14
9.229289025909034327e-01,5.486567923226112059e-02,1.493234065477006267e-01,6.773216704880067329e-01,1.764348469801822565e-11
6.299337923772183601e-01,1.178235126130112581e-01,2.898572647069717900e-02,1.624480672063574049e-01,1.404082399638538373e-10
8.032072033953654988e-02,1.266271615906334157e-02,2.527717337007206327e-02,1.327091984434560501e-01,2.174024426563033488e-12
7.522405504212311689e-01,3.297007798074434032e-02,3.562161985118577068e-01,1.659235448180168271e-01,-5.329454751967490679e-12
2.130118986639209164e-02,5.352506566911157532e-02,1.009284544426071739e-01,4.435832771285382337e-01,5.824180912130376333e-13
1.537771627497222515e-02,1.803840011650515163e-01,2.906983131731758485e-01,5.426414578149114237e-02,-2.774919175285685871e-12
2.240841923365646249e-01,2.228333201405152328e-02,1.223615075652895352e-02,1.641323757329536948e-01,2.520606092294600337e-11
3.542201813871568294e-01,9.090756079849576787e-01,3.365640289997567924e-02,1.737079163808459004e-01,5.148485895744336289e-10
1.897051401477800256e-02,3.871494282563196498e-01,5.862684901311334684e-01,4.575319587098484742e-01,-2.352595489077014297e-13
2.932161320898497500e-02,1.088380441309097328e-02,1.366360308170557793e-02,4.666899146341832449e-01,1.513227015073210552e-12
8.497884522019560904e-01,3.171773372105610167e-02,1.439159855055469062e-01,1.420076429887698333e-02,-1.141796961738491754e-10
3.995621494891046094e-02,7.288400842257046763e-01,4.414067750822774361e-01,7.997006910147926861e-01,1.972855521447772600e-12
2.837651552392192467e-02,3.421784055871743835e-01,2.132336444620881455e-01,3.533342980533667188e-02,-1.530214572801588611e-11
3.495392703122033873e-01,4.644519230232773688e-01,2.114642324420834898e-02,2.144643572024816994e-02,7.167863628141338522e-12
1.344553487522127597e-02,1.002891017258925738e-01,1.678134303435125096e-01,1.465347669597602265e-01,-7.787794801124137719e-14
7.381447984768997328e-01,1.642844460128401740e-01,5.901299589392650785e-02,1.046867061961223450e-01,5.983714024639209563e-11
2.220855952889967955e-01,7.708360321910560087e-01,4.599027383368767263e-01,7.079115713325592196e-01,8.703827268272725592e-12
4.830746673932677648e-01,5.977494304293922561e-02,4.178765249169756890e-01,1.488653412939188077e-02,-1.248509484316037330e-10
2.730381045981412069e-01,6.593961732649109564e-01,1.170882158364251399e-02,1.112652919732437344e-02,-5.370857352371261378e-11
2.098571059038737696e-01,1.543889978335872409e-02,7.573739482595998052e-02,4.807987814787659242e-02,-1.642423738072582781e-12
1.446774151240500655e-02,6.971767569846315515e-02,5.760179832282183443e-02,1.491586517245412254e-02,-3.344642106839471985e-12
2.016787885486563403e-01,7.144336065390823054e-02,5.696454812952175817e-02,1.246559315468481755e-02,-6.026428797493649281e-11
5.202484963677087709e-02,1.144036907862983760e-01,9.029507150919374725e-01,1.515801342826573195e-01,-2.180742792444695314e-12
6.201405851172173689e-01,1.591260555955356648e-01,9.194163419383637181e-02,3.450508096644536171e-02,-1.192422813556371650e-10
3.571175196331538015e-01,2.359048903604961042e-02,4.696791994164088990e-01,6.365612917496206169e-01,3.138499089153945094e-13
9.786363850690439348e-01,3.475252689294808239e-02,3.533378734417279288e-02,4.041711930841838663e-01,5.862635341025651336e-11
1.293190413444895992e-01,6.310913915160361320e-02,6.438664420722342019e-01,4.785124418273697944e-02,-1.053728594500453543e-11
1.170524549157318274e-02,5.021354287312152637e-02,4.681759961924921581e-02,3.049571946242211201e-02,-4.484657412119682224e-13
6.681017172970369344e-01,8.470789760889876896e-02,3.138582034836190360e-02,5.787828945566871885e-01,1.138218170959759017e-10
1.206076963174354706e-02,8.635107569289872387e-02,2.060145761722955923e-02,1.755426058423496249e-01,2.978069151206831438e-12
2.982278592987144816e-01,5.039803273709202863e-02,6.538047023104606170e-01,4.805313242108519289e-02,-1.934159675054489598e-11
5.339529371797059332e-01,4.832738438098183043e-02,9.665903002775988462e-02,2.633015075659580345e-02,-4.759265273509090506e-11
7.011094076671616770e-01,1.464142611456365102e-02,2.497432566922972580e-02,3.217967646433321782e-01,2.530440814077855757e-11
3.714352687274620479e-02,1.251091580071688955e-02,3.528271548972176652e-01,7.520916212214880103e-02,-3.244836514229910564e-13
3.831142067439271548e-01,7.467545972556209888e-01,5.995092119514905393e-01,1.094613881705589348e-01,-1.425914673365359724e-10
9.673857569217744756e-02,3.386486646927827082e-01,1.572178263899346173e-01,5.823090955537450764e-02,-2.364161910359998320e-11
1.188191299079841175e-02,1.662414921567715032e-01,5.694640663411607712e-02,3.055117294360633062e-01,1.883553006881606424e-12
2.843175607278512415e-02,2.279870480602642913e-02,3.523828776715151045e-01,2.886016657140746400e-01,-2.713305653644095837e-14
2.769109412264509837e-02,3.503860622864164442e-01,1.312684878550880729e-01,3.033437812095926556e-02,-1.641477900926500193e-11
2.291288153624138069e-02,6.794057163999991933e-02,1.354546157819560281e-01,4.556294701622692206e-02,-1.513311936210335809e-12
9.162054237789346578e-02,3.851607197215036610e-02,1.936134401208742736e-02,2.670958977703996248e-02,3.346736538274728108e-12
1.559774660445151402e-02,6.851423735928857672e-02,1.382580724417513951e-01,5.003373165166482561e-01,3.733349507122481634e-13
2.247564357917542638e-02,1.824348115525304542e-02,7.938183795209970972e-01,3.823182749889788012e-01,-3.710644207268482572e-14
2.656392394373834065e-02,8.522085405636063704e-02,6.780907879837032581e-01,8.799061017551940145e-02,-1.494326181945348876e-12
6.850636804891717391e-02,9.332161065603426786e-02,1.427745877103781327e-02,1.488082516034892888e-02,1.211775250432260230e-12
3.777499698874419581e-02,3.834042965028126027e-01,4.134372106312315664e-01,3.640021235584974674e-02,-2.421796389537861842e-11
2.409646358614562361e-02,6.787902304408123533e-02,3.120359690490175919e-01,6.143189453178920373e-02,-1.427197829334385994e-12
9.668012408218488174e-01,2.446624217792792849e-02,3.946761091927192822e-01,2.604589115484898798e-01,-2.061286222017960008e-12
4.390794045482535046e-01,4.846946535225481190e-02,4.683872407791911385e-01,2.434366451586943841e-02,-5.531610608315229591e-11
8.000341323114246173e-01,1.555752271786305964e-02,4.503887772625067565e-02,1.733068231408436272e-02,-2.948897679010448074e-11
5.189977168565151205e-02,1.459914998001692055e-02,3.145793059785378237e-02,2.887352648848880987e-01,1.432419710811768097e-12
7.237732756459119843e-02,7.658824025943758440e-02,1.189337055587529404e-02,8.102033162652531040e-01,3.065087883251562540e-11
1.928522155709238850e-01,1.231089888334523236e-01,6.267747547810635922e-01,3.862913583581521759e-02,-3.849271094239253988e-11
3.669074597688417455e-02,9.218995269730867470e-02,8.880266913416270946e-02,3.861231263078992310e-02,-3.304565044393990894e-12
1.405319765271482169e-01,7.972952034098409468e-01,4.799393500741038210e-01,7.248668157288638003e-01,5.264934115694012749e-12
3.183664203845258944e-01,3.887525741144109426e-01,1.848203144204072779e-01,1.456485130672730277e-01,-1.202054169551027544e-11
2.041142246197108490e-01,3.957375534809766393e-02,3.574568528647825011e-02,1.187023517393057462e-02,-3.033575980025005761e-11
6.955581185256052290e-01,2.539119965798478096e-01,9.142991951068445422e-01,2.061255846032543360e-02,-5.589685770621115792e-10
4.146668310361076859e-01,2.286815807109358056e-01,3.418355771184809072e-02,2.578502701973093073e-02,-6.030518708585578040e-11
6.288615757028785946e-01,7.675436566231701174e-02,9.938545199256629825e-01,9.961222442456610926e-01,7.379359563657756470e-15
3.491679053057005211e-01,4.221816905030576494e-01,4.386813952752364743e-01,1.933997869500498901e-01,-2.844455956355291274e-11
3.311552576233995487e-02,4.533142393247374669e-01,4.084908547997926492e-02,1.566479341749317869e-02,-3.943296893209232445e-11
