x0,x1,y
1.140747940130818359e+13,2.659578616996295182e+02,4.188763190787193815e-08
3.946324098436000625e+14,1.614375339244294878e+02,8.795905341699228378e-07
1.689050750074266016e+13,3.856095112813928836e+02,8.992360700947771191e-08
2.325804378397762891e+13,3.333954389064556949e+02,1.070572591493074011e-07
2.317427360524167812e+14,1.448565440267947224e+01,4.634763012430542717e-08
4.221527800346565000e+14,2.107632811745499168e+02,1.228422853303408853e-06
3.185253278652325625e+14,1.716035966382468558e+01,7.546640119686142307e-08
8.382523874360767188e+13,3.552523486942756392e+01,4.111450250636487337e-08
1.463846524907880312e+14,2.140281903444135736e+01,4.325634378521407451e-08
1.473266423372170000e+14,1.192575315084704890e+01,2.425774294077077320e-08
1.990930942908768438e+14,1.858061739923396942e+02,5.107397032275875495e-07
2.440965334735154375e+14,3.722415022438115102e+02,1.254497172278526802e-06
1.777752682167858984e+13,5.611605804203274062e+01,1.377341968685174258e-08
2.615907078001725000e+13,1.634651481976170828e+01,5.903788193390882104e-09
1.422424984401795938e+14,3.543531048150265406e+02,6.959033016536776538e-07
2.031358672666355859e+13,8.341642448193728114e+02,2.339491468851748934e-07
4.765441680867607031e+13,3.921038522619777211e+01,2.579808983979694567e-08
5.733152699168191406e+13,2.757514692047832341e+02,2.182702906866677743e-07
8.794855068615467188e+13,3.109433840060626721e+02,3.775663577287843210e-07
9.835846218314390000e+14,9.614331782509925972e+01,1.305611954310748433e-06
7.534831747240700000e+14,3.414932525132682031e+02,3.552539934833660512e-06
2.916158535751217969e+13,7.683187440328329103e+02,3.093398293734890709e-07
4.434747980899057812e+13,5.286594893743445027e+02,3.236892374329084745e-07
1.185619451566200195e+13,2.697755403975734794e+02,4.416021403701976200e-08
2.453758990112860312e+14,2.006288967259765599e+01,6.796865428729522577e-08
3.885834005477486719e+13,6.046542430566497615e+02,3.243953587858053451e-07
8.679112301442634375e+13,1.014126219262976747e+01,1.215207948911150967e-08
5.956234157464966406e+13,1.551802177822446183e+01,1.276119668954294392e-08
4.726309372642713125e+14,7.016777674063698669e+02,4.578710076650906294e-06
1.544787839677570117e+13,3.682474212554464543e+02,7.854017037460792613e-08
1.480992198277522070e+13,7.856226241657341802e+01,1.606386460642267096e-08
2.353289577879601562e+14,1.306247509456927958e+01,4.244085549331859874e-08
6.886482475383660000e+14,3.062842639672072096e+02,2.912094163057794473e-06
2.565886273449188750e+14,1.142440918276367938e+02,4.047197850578496517e-07
1.020531067428123594e+14,8.577735670047242422e+01,1.208598836635297020e-07
5.425916310513071094e+13,4.533314373253247709e+02,3.396035417242967390e-07
8.312752541375427500e+14,3.162224217571824880e+01,3.629282673842963549e-07
1.450970625762996289e+13,1.952419459648848488e+01,3.911245087695628626e-09
1.005140223852784688e+14,8.154767907537461724e+01,1.131674527998939180e-07
9.078899709042496250e+14,7.891400950101865419e+02,9.891692590927375823e-06
2.102664028674836250e+14,6.744495213455969918e+01,1.957954605157931313e-07
2.628709278465144375e+14,2.286408736110353246e+01,8.298120012592804873e-08
1.650552012351610547e+13,1.986372843874029925e+01,4.526611957726767045e-09
2.899646112031777500e+14,1.586404008381964843e+02,6.350999503352165644e-07
4.259852114852737500e+13,2.603145996350050240e+01,1.531004020141324042e-08
1.764483656421372656e+13,1.297214037200006054e+01,3.160185399693240695e-09
7.699063459638946875e+13,3.374979886731915713e+02,3.587503810130224023e-07
3.685437389911263281e+13,8.660608725926916804e+02,4.406773594789390582e-07
1.296036770050093594e+14,1.121595945721604437e+02,2.006952235377974969e-07
5.127383136262180469e+13,6.232843349173109573e+02,4.412302356987525703e-07
4.451827545390115625e+13,3.988613447150567595e+02,2.451565855834342886e-07
7.265573711702051250e+14,7.378929296743032751e+01,7.401956780052809488e-07
4.142599524942861719e+13,7.925877832782553014e+02,4.533186718367582609e-07
2.762126380290758203e+13,1.077926955802288056e+01,4.110703576736194806e-09
3.789241896790660000e+14,8.303590601895679413e+01,4.344117283484861414e-07
1.757114194572239258e+13,3.052392480119972333e+02,7.404975820827715669e-08
1.180931717037020938e+14,4.468681907047888302e+01,7.285972220507718768e-08
1.390824778305225000e+13,5.548204200336881797e+01,1.065388829049753915e-08
2.241873435611181875e+14,6.706491679138254369e+01,2.075820343091482883e-07
2.508849850500085547e+13,1.908179923475845214e+02,6.609631925379017308e-08
6.173747503151517188e+13,1.217401334334613381e+02,1.037685909605354045e-07
8.389672927742976562e+13,2.984581858931181841e+01,3.457098930204969787e-08
3.429597454989194531e+13,1.763253428704223680e+01,8.349128935694326314e-09
2.165826031941211562e+14,9.814809760172749975e+02,2.934869116208295399e-06
2.081471006368606250e+14,2.509729757961774865e+01,7.212413350916285737e-08
2.072399018181186719e+13,5.888811606900266042e+02,1.684939537634150870e-07
9.666115623689330000e+14,2.128486892976595257e+01,2.840574922327301093e-07
2.944726265712743125e+14,2.028466105020346433e+01,8.246999494659429974e-08
1.916719150891747812e+14,1.237127864070482275e+02,3.273831729556949686e-07
9.862878860922057500e+14,3.458716305139963652e+02,4.709794117806592142e-06
2.681315867342478750e+14,4.132558597174978559e+02,1.529855038728805057e-06
5.080046136687375000e+13,4.813132140978925122e+02,3.375815666237769253e-07
1.969969026820308125e+14,1.782420830988766909e+02,4.847891927809461356e-07
3.199641694907062891e+13,1.385484883271383580e+02,6.120493229071334358e-08
9.655912080209334375e+13,4.228359907955523056e+01,5.637006449809982409e-08
2.771808996378052344e+13,6.735555313567973599e+02,2.577626510063071476e-07
2.907496835784911328e+13,2.781453742854425286e+02,1.116540228670284459e-07
8.685314484350343750e+13,1.992163203451922016e+01,2.388876758204850822e-08
3.688821314437120625e+14,2.541681747480124187e+01,1.294470243093944694e-07
8.529874560430706250e+14,1.520813089074100048e+02,1.791025498576212418e-06
2.873018034989021250e+14,2.207711379272722922e+02,8.757173033708456553e-07
4.219683971820156250e+14,2.790668347515940582e+02,1.625816157970116805e-06
4.206719353547414062e+13,2.046892573688554506e+01,1.188835794001824058e-08
3.429857602426430000e+14,6.253456440460344083e+02,2.961280191084132563e-06
3.739975952455086875e+14,7.084323411635713228e+02,3.658057027880647281e-06
1.639980995669954492e+13,1.565415950003525722e+02,3.544474470300688798e-08
1.096672313555663672e+13,2.549072884297978590e+02,3.859601045253882691e-08
7.380015579690103125e+13,5.821723283221029988e+01,5.931876767366233476e-08
2.074127805165873438e+13,3.395956055636329438e+02,9.724804021386292628e-08
2.722377367132679375e+14,3.438590802398749133e+02,1.292445103089987437e-06
2.941311384084640625e+14,1.839034758017069748e+01,7.468170493727764228e-08
2.788264820880176172e+13,1.652610610385353311e+02,6.361914655521979588e-08
4.737515091646835000e+14,6.476346952732836826e+01,4.236078465232800019e-07
1.858779996448919141e+13,3.613884022712892374e+01,9.274392759198762412e-09
4.301326775958435938e+13,8.723183904606298711e+02,5.180369631134078582e-07
5.913294903868605469e+13,5.949432126636649087e+01,4.857226271657897171e-08
2.839810845707087500e+14,6.862632163808032146e+02,2.690688469008940770e-06
6.243487133895859375e+13,5.756334509719467860e+02,4.961997342146317936e-07
2.978507667637514375e+14,2.431369702705088400e+02,9.998457520061974147e-07
1.203951709868658594e+13,2.817131481231568912e+01,4.682733770961109076e-09
4.276235107357084375e+14,1.497523252417507820e+02,8.841346919595850835e-07
2.847207907184435000e+14,1.764319138229482746e+02,6.935529269433415855e-07
1.058741830398259766e+13,2.033259624768988871e+01,2.972118983551766183e-09
6.075983530774893750e+14,3.253606382424445087e+01,2.729385512678242398e-07
7.500368607081633750e+14,1.535429756197890327e+01,1.589995308728962216e-07
1.790113240268263281e+13,7.354444962256266081e+02,1.817664350918449778e-07
3.392987347689652734e+13,3.682647883808143519e+01,1.725145456285637053e-08
2.405886974775932812e+14,2.418151259638493045e+01,8.032337844974599239e-08
6.276726804485241250e+14,4.001774474970960682e+02,3.467920386660406513e-06
2.956654633205355469e+13,2.171321181462282368e+02,8.863555107852935052e-08
6.268650257149627500e+14,4.064059956766776622e+02,3.517364931506942799e-06
2.471512912613720625e+14,6.739100845495444503e+01,2.299577876530490832e-07
1.025505630055943945e+13,8.957802764626101180e+02,1.268302438579764669e-07
1.105249502999368164e+13,1.125386908136573965e+02,1.717297230667187050e-08
1.192142194862666094e+14,3.572003891243716822e+01,5.879268111798839737e-08
2.775864469745844375e+14,1.972685412892927843e+02,7.560306003605452718e-07
9.546905342959867500e+14,1.080891891652076175e+01,1.424715529729533115e-07
5.984387831302790000e+14,2.170973829227242220e+02,1.793732189981031715e-06
5.263025997195386719e+13,8.648897997503194119e+02,6.284627958535176512e-07
2.930719382626562500e+14,8.667439717836641648e+02,3.507101612875203756e-06
1.332261340941575625e+14,4.834800326526230378e+02,8.893060591560058515e-07
1.300817798649500781e+13,2.022404927018863248e+02,3.632184225127781151e-08
3.830177243988740625e+14,3.125301729288885966e+01,1.652700302674402768e-07
1.551547548745820117e+13,1.477170227508088551e+01,3.164309229887038031e-09
3.505896915872358750e+14,4.625963043734791427e+02,2.239157198286726629e-06
4.341669011689070312e+13,5.303858555318623758e+01,3.179303060948965954e-08
3.269417181260348125e+14,8.324643948704808736e+02,3.757675651653927980e-06
2.480181177178205078e+13,3.688014636833299278e+02,1.262871975410544160e-07
1.744390693053308398e+13,8.388197929220055471e+01,2.020206262998938475e-08
1.047261017028091992e+13,8.745153210162197865e+01,1.264461594128967324e-08
1.959664017330666562e+14,1.237131792405160446e+01,3.347193879780833921e-08
2.774685618398166875e+14,2.985934179496855734e+01,1.143871648653801075e-07
7.846144960877972500e+14,2.693096014899658144e+02,2.917369562622286866e-06
2.157585715668756250e+13,1.022036018375764321e+01,3.044510963096078304e-09
1.838207902726123750e+14,2.805369171960573027e+01,7.119802255914284692e-08
2.130123288236791250e+14,1.410962496398319921e+01,4.149573805044349770e-08
4.771089363552206875e+14,2.438017508550483683e+02,1.605970834402766318e-06
5.749639919792045000e+14,3.853359819607491659e+02,3.058887426791755547e-06
1.011914417609591602e+13,2.670831529314674526e+02,3.731415067249872539e-08
3.913106708538393750e+14,8.845411861494588379e+01,4.778845974638064838e-07
1.009940166343010625e+14,2.193262859614357012e+02,3.058226251739532120e-07
3.884792804534896250e+14,1.173547827042471070e+01,6.294365197505696347e-08
1.741120094806245312e+13,5.102525676184399828e+01,1.226583757229879328e-08
8.983699003841473750e+14,5.711621330236969385e+01,7.084315301455076503e-07
1.125715772326992188e+13,1.058332579416260444e+01,1.644879920991006696e-09
5.977890318532677500e+14,2.339598338168201153e+01,1.930956673649083653e-07
8.362412328080459375e+13,1.427815344496380234e+01,1.648492232930852624e-08
1.247024463866089375e+14,2.649266406666817488e+02,4.561250129481985989e-07
2.902778856713858750e+14,1.210092250167819472e+01,4.849709370874213360e-08
4.519112469493510000e+14,1.470482227468197145e+01,9.174791690237906777e-08
1.681481148879890000e+14,5.425646607604822975e+02,1.259582994431362872e-06
1.724939248222188750e+14,6.409164433975256259e+01,1.526365357416669186e-07
8.886838080069720312e+13,7.400068880873116939e+01,9.079591554327910782e-08
3.626804210080263125e+14,5.375057993823808289e+01,2.691476227640951878e-07
3.145164161805111875e+14,2.127305888067535022e+01,9.237544493008857851e-08
1.978139512485886328e+13,1.493309926712657898e+02,4.078403141191843172e-08
2.213831444532343125e+14,9.928356217061541145e+01,3.034626074643526461e-07
8.875545987644189062e+13,6.655152546967455010e+02,8.155233043485088546e-07
9.113887010941401250e+14,1.240749414055267437e+02,1.561244788108582663e-06
4.425360441775192188e+13,2.239923594507112981e+01,1.368564078202308946e-08
3.160083511035492188e+13,3.581246651163905312e+02,1.562485787596675499e-07
3.156526147718804375e+14,4.056146817849844410e+01,1.767690957898535514e-07
3.518522166275859375e+13,1.318443151951106813e+02,6.404791300532490661e-08
1.126452010833879688e+14,5.320821028087686955e+01,8.275126252555259870e-08
8.995010654470554688e+13,1.061373884363187159e+02,1.318115181758810855e-07
3.142677943774378906e+13,1.097467778979717821e+02,4.761841533614776465e-08
3.559354694236765000e+14,4.753598155769674349e+02,2.336022474865030443e-06
4.232408668229105000e+14,2.002691238270831064e+01,1.170266776300270627e-07
1.328855417152904375e+14,9.648670550680753877e+02,1.770225089443833687e-06
1.119287407229879375e+14,5.093137874346341221e+01,7.870645163357995466e-08
7.046370435446901562e+13,9.271425649672702320e+02,9.019766054220638656e-07
4.416381095767022656e+13,2.980737669463081261e+02,1.817496490660138240e-07
2.655540209740638281e+13,3.768585675274586606e+02,1.381702544885671157e-07
4.845748079532570625e+14,3.719940005642575329e+02,2.488742995487783611e-06
5.677613659277446250e+14,5.259251546907447619e+02,4.122617695898568605e-06
9.349806698846493750e+14,2.035973261594267569e+02,2.628197422282798739e-06
1.475138513149051953e+13,3.070988820793301670e+02,6.254524815433369923e-08
1.121945774170870000e+14,7.850013904655288854e+01,1.215977603112754538e-07
8.477988861728209375e+13,1.690502630431553825e+02,1.978754771924293419e-07
2.614228295219251953e+13,4.889819406786857030e+02,1.764898010205287503e-07
7.435381157262104688e+13,2.444209574660144924e+01,2.509140383159265058e-08
2.861043976261645000e+14,2.578463986358611351e+02,1.018518415868453416e-06
5.613703298806272656e+13,1.426059708407606763e+02,1.105275255732985071e-07
1.022832384396757812e+13,2.878434720839034640e+02,4.064846380813265453e-08
2.492386008282457188e+14,3.817976105145936003e+02,1.313807670947867669e-06
8.355217951993491250e+14,3.007859640126792300e+01,3.469753577846201118e-07
1.066753424286774531e+14,1.981843019318878518e+01,2.918882277064900866e-08
2.631877270801501953e+13,4.680748213264844537e+01,1.700842880080086324e-08
2.781963932348441875e+14,2.840044142843286750e+02,1.090837019724232154e-06
2.114581223825847656e+13,5.105120214762199282e+01,1.490437014427082832e-08
1.295273469294212344e+14,1.279624173227135309e+01,2.288374967947356232e-08
2.256181663867253516e+13,9.661491095330205781e+02,3.009549604906967720e-07
2.254098959817166562e+14,7.417034779144351830e+01,2.308269838124091230e-07
1.020283512419492812e+14,1.320178896374545019e+01,1.859674505691010801e-08
5.383151117504189844e+13,5.475530631356899391e+01,4.069546986535718363e-08
2.860610155677459766e+13,4.764664202246881786e+01,1.881803436194624202e-08
2.292337823493019688e+14,9.052811341840673549e+02,2.865136866412945931e-06
4.727867568087403125e+13,1.221110655479985674e+01,7.970831100726732563e-09
3.078813978575968125e+14,1.692880814377486232e+01,7.196032489468368687e-08
7.998442577786067188e+13,4.897187768349889581e+01,5.407984896671778590e-08
2.690097495775721250e+14,2.075921416978472394e+02,7.710139082954948106e-07
4.256167544515861719e+13,6.515500077066032247e+01,3.828686020864951244e-08
1.435620243921100391e+13,1.221703918512682634e+02,2.421524253909961490e-08
5.600321785840711250e+14,4.692246036470822901e+01,3.628081550846871830e-07
2.429719406242371250e+14,8.122146232207371952e+01,2.724646783668315679e-07
3.828332959741532812e+13,6.793665274360221247e+02,3.590848896828698723e-07
9.332204974289037500e+13,5.241212376901303287e+02,6.753039806900413760e-07
4.806269442679588750e+14,1.081490697260742877e+02,7.176524713548760876e-07
1.036650727881998633e+13,7.041667771313652224e+01,1.007839256624039551e-08
7.552802093500228750e+14,1.592657187272657104e+01,1.660786069972566372e-07
1.802642777133629375e+14,2.062302276128917811e+01,5.132692855917663899e-08
4.908278656405053750e+14,4.407968313349843470e+02,2.987108223430130561e-06
1.115710550224973633e+13,4.964211181375605406e+02,7.646894014465455504e-08
1.091557474453053750e+14,3.765143048579365370e+01,5.674287956799287017e-08
2.531848471975259766e+13,2.107999350724815812e+01,7.368710010952154085e-09
1.327467978190312695e+13,5.646273804995905721e+02,1.034830620341231334e-07
2.187230207716740625e+14,3.077797733705197629e+02,9.294324975497428954e-07
4.744665381407066406e+13,2.560250878510339589e+01,1.677148027053777972e-08
1.445827371879131836e+13,1.103073576019922371e+02,2.201933538006700647e-08
5.699750181625259375e+13,2.144211890757190986e+02,1.687356325242699821e-07
8.191505764808248750e+14,1.554675820442832901e+01,1.758275270810900732e-07
6.729804333465211250e+14,2.687729214741486317e+02,2.497302961056070030e-06
1.563034181451698633e+13,1.517361196071506129e+02,3.274467857926491123e-08
2.881864373793793125e+14,4.828047491294972815e+02,1.921004376496455859e-06
2.686009349423642188e+14,7.671971559030779986e+01,2.845101645855626749e-07
5.820952733610899219e+13,4.957264886682235527e+01,3.984001388582657208e-08
1.327932285963975586e+13,1.263469751525019547e+01,2.316456033713486303e-09
2.757495232644282422e+13,1.177889074418158941e+02,4.484380407318999092e-08
9.720708647590117500e+14,3.090542576132635872e+02,4.147782167417064327e-06
7.841071082030728750e+14,1.506501401936557727e+01,1.630903308470459101e-07
1.947379660099975000e+13,1.046280750848617629e+02,2.813080418378853322e-08
2.418124931328455469e+13,3.199187316942022790e+02,1.068074844976306193e-07
4.247138190638775000e+14,6.074090923109613414e+02,3.561729745526549918e-06
1.296995844877750977e+13,6.316680237513950260e+02,1.131125413714419777e-07
1.523286202547500625e+14,4.891520606396196058e+01,1.028747229151228260e-07
2.108972631180022188e+14,4.042659934120918024e+02,1.177121892094977727e-06
1.191078533220546094e+13,3.923249787147384637e+01,6.451632781860645552e-09
1.443024002932180938e+14,1.974628133600193891e+01,3.934070679067428690e-08
3.113042329128499375e+14,2.965873830078724041e+02,1.274738141684111055e-06
3.215152741256098047e+13,1.378802106644414209e+02,6.120498990034875876e-08
1.238595140816262305e+13,4.334989925717631820e+01,7.413115165374111465e-09
9.061573698611676562e+13,6.564710481138244802e+01,8.213012562062299761e-08
2.115412915463029688e+13,5.192928364137798098e+02,1.516668845502567498e-07
1.540002667435035000e+14,2.475981979652472376e+02,5.264440666632240715e-07
1.472559507028777188e+14,6.517111374620994866e+02,1.324985969749684983e-06
5.583127009923836250e+14,5.630811897962169610e+01,4.340420539569101904e-07
2.889487467778590625e+13,9.179779578161757172e+02,3.662151873920736220e-07
1.026631229733624062e+14,1.802789475703778166e+01,2.555305136606474043e-08
2.550167430619799375e+14,2.994181286626736096e+02,1.054217131164241377e-06
7.561643866616393750e+14,6.771461897072963154e+01,7.069389998017517020e-07
1.628017509253743555e+13,1.325285796652006240e+02,2.978872379691005448e-08
4.224747865055069531e+13,2.754712320086645505e+01,1.606794472979573645e-08
1.229903298763297344e+14,3.553325088604614166e+02,6.033776112128404371e-07
1.362741766899811133e+13,6.030981981383659019e+01,1.134709995470923706e-08
1.920259467149307422e+13,1.299701375270984443e+02,3.445773891808739703e-08
5.321613796203906875e+14,5.347517648431218049e+02,3.928971356477989009e-06
1.696542823104591562e+14,9.015124832127635557e+01,2.111639871992795389e-07
8.992712653212113750e+14,1.520299074516101179e+01,1.887569843587122284e-07
2.305190418092757812e+14,1.127590613378843365e+01,3.588736239828590845e-08
1.124897703801622461e+13,1.705953814359412135e+01,2.649497915689078589e-09
5.962785835372801562e+13,8.360448759067376159e+02,6.882751397030856952e-07
4.563232944785196094e+13,9.080381376518872116e+01,5.720842761513802308e-08
2.152942019411060547e+13,2.472240161785498174e+02,7.348628183141788226e-08
1.873102885459340312e+14,1.670777037753275707e+01,4.320792530418774068e-08
2.205226780184512812e+14,8.356344825006185602e+02,2.544209637710244587e-06
2.229885893640389453e+13,1.696481869876752668e+01,5.222941308510486775e-09
1.233574313853379219e+14,8.772037962219470728e+02,1.493994858377114731e-06
1.156384964835217578e+13,6.036651123784908179e+01,9.637886254046451072e-09
3.940656502369377344e+13,2.277248490392145186e+02,1.238974264951321806e-07
3.332080506887283125e+14,1.235308395826347017e+01,5.682954274923193533e-08
4.143875289355596875e+13,8.067374267477555350e+01,4.615536236541432963e-08
3.458666284422758750e+14,2.507211072155870681e+02,1.197244470896746060e-06
9.160284834927139062e+13,2.251788000927850319e+01,2.847867381303116020e-08
1.835481536217371562e+14,2.255815500330472787e+02,5.716587815455238903e-07
1.467161288070492500e+14,1.436184710697801670e+01,2.909185679257182948e-08
6.670728845924163281e+13,1.243371331935142194e+02,1.145136928524974182e-07
1.792906949761767578e+13,8.117883126588865252e+02,2.009480646481033431e-07
1.272164319899072656e+14,3.968948021821644261e+02,6.971109505021313800e-07
8.573592693804109375e+13,3.057379997406462024e+01,3.619058057726104146e-08
2.475560442902089062e+13,5.706920612035237355e+02,1.950557010642282026e-07
1.076880249232700156e+14,3.325004786524660716e+01,4.943595966990490167e-08
1.914163356146873438e+13,7.158682755450830371e+01,1.891887890254250999e-08
3.604662926008121250e+14,1.104636364882077437e+01,5.497525831967445337e-08
6.745285228910900000e+14,5.237897160699463939e+01,4.877986217171246565e-07
2.982571496277218750e+14,9.008314445795106451e+01,3.709519711012269746e-07
