core50_index,dataset_name,dataset_dir,family,subgroup,basename,target_name,feature_count,train_samples,valid_samples,id_test_samples,ood_test_samples,metadata_yaml,train_csv,valid_csv,id_test_csv,ood_test_csv,formula_py,core50_standalone_dataset_dir,original_dataset_dir
1,II.34.2_1_0,core-50/llm-srbench/lsrtransform/II.34.2_1_0,llm-srbench,lsrtransform,II.34.2_1_0,v,3,75000,5000,20000,20000,core-50/llm-srbench/lsrtransform/II.34.2_1_0/metadata.yaml,core-50/llm-srbench/lsrtransform/II.34.2_1_0/train.csv,core-50/llm-srbench/lsrtransform/II.34.2_1_0/valid.csv,core-50/llm-srbench/lsrtransform/II.34.2_1_0/id_test.csv,core-50/llm-srbench/lsrtransform/II.34.2_1_0/ood_test.csv,core-50/llm-srbench/lsrtransform/II.34.2_1_0/formula.py,core-50/llm-srbench/lsrtransform/II.34.2_1_0,sim-datasets-data/llm-srbench/lsrtransform/II.34.2_1_0
2,first_principles_hubble,core-50/srbench2025/firstprinciples/first_principles_hubble,srbench2025,firstprinciples,first_principles_hubble,target,1,22,3,3,4,core-50/srbench2025/firstprinciples/first_principles_hubble/metadata.yaml,core-50/srbench2025/firstprinciples/first_principles_hubble/train.csv,core-50/srbench2025/firstprinciples/first_principles_hubble/valid.csv,core-50/srbench2025/firstprinciples/first_principles_hubble/id_test.csv,core-50/srbench2025/firstprinciples/first_principles_hubble/ood_test.csv,core-50/srbench2025/firstprinciples/first_principles_hubble/formula.py,core-50/srbench2025/firstprinciples/first_principles_hubble,sim-datasets-data/srbench2025/firstprinciples/first_principles_hubble
3,feynman-ii.27.18,core-50/srsd/srsd-feynman_easy_dummy/feynman-ii.27.18,srsd,srsd-feynman_easy_dummy,feynman-ii.27.18,y,3,8000,1000,1000,1000,core-50/srsd/srsd-feynman_easy_dummy/feynman-ii.27.18/metadata.yaml,core-50/srsd/srsd-feynman_easy_dummy/feynman-ii.27.18/train.csv,core-50/srsd/srsd-feynman_easy_dummy/feynman-ii.27.18/valid.csv,core-50/srsd/srsd-feynman_easy_dummy/feynman-ii.27.18/id_test.csv,core-50/srsd/srsd-feynman_easy_dummy/feynman-ii.27.18/ood_test.csv,core-50/srsd/srsd-feynman_easy_dummy/feynman-ii.27.18/formula.py,core-50/srsd/srsd-feynman_easy_dummy/feynman-ii.27.18,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.27.18
4,Korns-4,core-50/korns/Korns-4,korns,Korns-4,Korns-4,target,5,90,10,100,1000,core-50/korns/Korns-4/metadata.yaml,core-50/korns/Korns-4/train.csv,core-50/korns/Korns-4/valid.csv,core-50/korns/Korns-4/id_test.csv,core-50/korns/Korns-4/ood_test.csv,core-50/korns/Korns-4/formula.py,core-50/korns/Korns-4,sim-datasets-data/korns/Korns-4
5,Keijzer-11,core-50/keijzer/Keijzer-11,keijzer,Keijzer-11,Keijzer-11,target,2,18,2,361201,200,core-50/keijzer/Keijzer-11/metadata.yaml,core-50/keijzer/Keijzer-11/train.csv,core-50/keijzer/Keijzer-11/valid.csv,core-50/keijzer/Keijzer-11/id_test.csv,core-50/keijzer/Keijzer-11/ood_test.csv,core-50/keijzer/Keijzer-11/formula.py,core-50/keijzer/Keijzer-11,sim-datasets-data/keijzer/Keijzer-11
6,Keijzer-2,core-50/keijzer/Keijzer-2,keijzer,Keijzer-2,Keijzer-2,target,1,37,4,4001,410,core-50/keijzer/Keijzer-2/metadata.yaml,core-50/keijzer/Keijzer-2/train.csv,core-50/keijzer/Keijzer-2/valid.csv,core-50/keijzer/Keijzer-2/id_test.csv,core-50/keijzer/Keijzer-2/ood_test.csv,core-50/keijzer/Keijzer-2/formula.py,core-50/keijzer/Keijzer-2,sim-datasets-data/keijzer/Keijzer-2
7,Korns-2,core-50/korns/Korns-2,korns,Korns-2,Korns-2,target,5,90,10,100,1000,core-50/korns/Korns-2/metadata.yaml,core-50/korns/Korns-2/train.csv,core-50/korns/Korns-2/valid.csv,core-50/korns/Korns-2/id_test.csv,core-50/korns/Korns-2/ood_test.csv,core-50/korns/Korns-2/formula.py,core-50/korns/Korns-2,sim-datasets-data/korns/Korns-2
8,Nguyen-12,core-50/nguyen/Nguyen-12,nguyen,Nguyen-12,Nguyen-12,target,2,16,2,2,200,core-50/nguyen/Nguyen-12/metadata.yaml,core-50/nguyen/Nguyen-12/train.csv,core-50/nguyen/Nguyen-12/valid.csv,core-50/nguyen/Nguyen-12/id_test.csv,core-50/nguyen/Nguyen-12/ood_test.csv,core-50/nguyen/Nguyen-12/formula.py,core-50/nguyen/Nguyen-12,sim-datasets-data/nguyen/Nguyen-12
9,Nguyen-6,core-50/nguyen/Nguyen-6,nguyen,Nguyen-6,Nguyen-6,target,1,16,2,2,200,core-50/nguyen/Nguyen-6/metadata.yaml,core-50/nguyen/Nguyen-6/train.csv,core-50/nguyen/Nguyen-6/valid.csv,core-50/nguyen/Nguyen-6/id_test.csv,core-50/nguyen/Nguyen-6/ood_test.csv,core-50/nguyen/Nguyen-6/formula.py,core-50/nguyen/Nguyen-6,sim-datasets-data/nguyen/Nguyen-6
10,Nguyen-9,core-50/nguyen/Nguyen-9,nguyen,Nguyen-9,Nguyen-9,target,2,16,2,2,200,core-50/nguyen/Nguyen-9/metadata.yaml,core-50/nguyen/Nguyen-9/train.csv,core-50/nguyen/Nguyen-9/valid.csv,core-50/nguyen/Nguyen-9/id_test.csv,core-50/nguyen/Nguyen-9/ood_test.csv,core-50/nguyen/Nguyen-9/formula.py,core-50/nguyen/Nguyen-9,sim-datasets-data/nguyen/Nguyen-9
