group,inventory,reviewed,non_applicable,pass,fail,pass_rate_reviewed,semantic_fail,protected_operator_semantics,extreme_scale_decimal_amplification,clear_algebraic_mismatch,equivalent_but_more_complex
drsr,450,448,2,447,1,0.997767857143,0,0,0,0,1
dso,450,449,1,434,15,0.966592427617,0,0,0,0,15
e2esr,450,450,0,436,14,0.968888888889,2,0,1,1,12
fepysr,450,450,0,450,0,1.000000000000,0,0,0,0,0
gplearn,450,358,92,317,41,0.885474860335,41,41,0,0,0
ground_truth,50,50,0,50,0,1.000000000000,0,0,0,0,0
imcts,450,450,0,446,4,0.991111111111,1,0,1,0,3
jaxsr,450,450,0,450,0,1.000000000000,0,0,0,0,0
llmsr,450,449,1,447,2,0.995545657016,0,0,0,0,2
pyoperon,450,450,0,448,2,0.995555555556,0,0,0,0,2
pysr,450,450,0,446,4,0.991111111111,0,0,0,0,4
qlattice,450,450,0,447,3,0.993333333333,1,0,1,0,2
ragsr,450,450,0,449,1,0.997777777778,0,0,0,0,1
symbolfit,450,447,3,447,0,1.000000000000,0,0,0,0,0
tpsr,450,450,0,438,12,0.973333333333,5,0,4,1,7
udsr,450,449,1,448,1,0.997772828508,0,0,0,0,1
