sample_id,attempt_number,physical_request_ordinal,status,input_tokens,output_tokens,total_tokens
review_000001,1,1,accepted,1302,431,1733
review_000002,1,2,accepted,1268,140,1408
review_000003,1,3,accepted,1327,310,1637
review_000004,1,4,accepted,1256,261,1517
review_000005,1,6,accepted,1230,183,1413
review_000006,1,5,accepted,1228,185,1413
review_000007,1,7,accepted,1247,183,1430
review_000008,1,8,accepted,1234,159,1393
review_000009,1,9,accepted,1221,92,1313
review_000010,1,10,accepted,1222,86,1308
review_000011,1,11,accepted,1197,94,1291
review_000012,1,13,accepted,1260,479,1739
review_000013,1,12,accepted,1212,94,1306
review_000014,1,14,accepted,1219,175,1394
review_000015,1,15,accepted,1212,173,1385
review_000016,1,16,accepted,1254,341,1595
review_000017,1,17,accepted,1203,178,1381
review_000018,1,18,accepted,1287,188,1475
review_000019,1,19,accepted,1243,239,1482
review_000020,1,20,accepted,1201,198,1399
review_000021,1,21,accepted,1197,154,1351
review_000022,1,22,accepted,1209,183,1392
review_000023,1,23,accepted,1253,244,1497
review_000024,1,24,accepted,1362,192,1554
review_000025,1,25,accepted,1284,90,1374
review_000026,1,26,accepted,1217,83,1300
review_000027,1,29,accepted,1232,91,1323
review_000028,1,27,accepted,1276,148,1424
review_000029,1,28,accepted,1212,171,1383
review_000030,1,30,accepted,1244,282,1526
review_000031,1,31,accepted,1234,205,1439
review_000032,1,32,accepted,1214,90,1304
review_000033,1,33,accepted,1212,84,1296
review_000034,1,34,accepted,1206,85,1291
review_000035,1,35,accepted,1215,89,1304
review_000036,1,36,accepted,1212,172,1384
review_000037,1,37,accepted,1216,248,1464
review_000038,1,38,accepted,1229,182,1411
review_000039,1,39,accepted,1216,183,1399
review_000040,1,40,accepted,1205,232,1437
review_000041,1,41,accepted,1209,180,1389
review_000042,1,42,accepted,1207,330,1537
review_000043,1,43,accepted,1231,240,1471
review_000044,1,44,accepted,1196,84,1280
review_000045,1,45,accepted,1203,89,1292
review_000046,1,46,accepted,1213,166,1379
review_000047,1,47,accepted,1215,174,1389
review_000048,1,48,accepted,1218,105,1323
review_000049,1,49,accepted,1202,167,1369
review_000050,1,50,accepted,1220,318,1538
review_000051,1,51,accepted,1433,100,1533
