host_label,method,seed,dataset_dir,dataset_name,result_status,result_path,formatted_formula,raw_equation_kind,normalization_mode,artifact_valid,ast_node_count,tree_depth,operator_set,canonical_validation_errors
anon-node-08,llmsr,1314,sim-datasets-data/keijzer/Keijzer-1,Keijzer-1,ok,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/probe_stage1_llmsr_seed1314_20260416-130056/anon-node-08/llmsr/llmsr/Keijzer-1/experiments/Keijzer-1_llmsr_seed1314_20260416-150232/result.json,c0 + c1*x0 + c2*x0**2 + c3*sin(x0) + c4*cos(x0) + c5*exp(-x0**2) + c6*tan(x0) + c7*x0**3 + c8*sin(x0**2) + c9*cos(x0**3),python_function,llmsr_python_return,True,47,6,"['add', 'cos', 'exp', 'mul', 'pow', 'sin', 'tan']",[]
anon-node-08,llmsr,1314,sim-datasets-data/keijzer/Keijzer-10,Keijzer-10,ok,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/probe_stage1_llmsr_seed1314_20260416-130056/anon-node-08/llmsr/llmsr/Keijzer-10/experiments/Keijzer-10_llmsr_seed1314_20260416-150232/result.json,c0 + c1*sin(x0) + c2*cos(x1) + c3*x0**2 + c4*x1**2 + c5*exp(x0) + c6*tan(x1) + c7*x0*x1 + c8*sin(x0)*cos(x1) + c9*exp(x1),python_function,llmsr_python_return,True,42,4,"['add', 'cos', 'exp', 'mul', 'pow', 'sin', 'tan']",[]
anon-node-08,llmsr,1314,sim-datasets-data/keijzer/Keijzer-11,Keijzer-11,ok,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/probe_stage1_llmsr_seed1314_20260416-130056/anon-node-08/llmsr/llmsr/Keijzer-11/experiments/Keijzer-11_llmsr_seed1314_20260416-150232/result.json,c0 + c1*x0**2 + c2*x1**2 + c3*x0*x1 + c4*x0**3 + c5*x1**3 + c6*x0**2*x1 + c7*x0*x1**2 + c8*sin(x0) + c9*cos(x1),python_function,llmsr_python_return,True,46,4,"['add', 'cos', 'mul', 'pow', 'sin']",[]
anon-node-08,llmsr,1314,sim-datasets-data/keijzer/Keijzer-12,Keijzer-12,ok,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/probe_stage1_llmsr_seed1314_20260416-130056/anon-node-08/llmsr/llmsr/Keijzer-12/experiments/Keijzer-12_llmsr_seed1314_20260416-150233/result.json,c0 + c1*x0**2 + c2*x1 + c3*exp(x0) + c4*sin(x1) + c5*cos(x0) + c6*x1*sin(x0) + c7*exp(x1) + c8*x0**3 + c9*x1**2,python_function,llmsr_python_return,True,41,4,"['add', 'cos', 'exp', 'mul', 'pow', 'sin']",[]
anon-node-08,llmsr,1314,sim-datasets-data/keijzer/Keijzer-13,Keijzer-13,ok,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/probe_stage1_llmsr_seed1314_20260416-130056/anon-node-08/llmsr/llmsr/Keijzer-13/experiments/Keijzer-13_llmsr_seed1314_20260416-150233/result.json,c0 + c1*x0 + c2*x1 + c3*x0**2 + c4*x1**2 + c5*sin(x0) + c6*cos(x1) + c7*exp(x0) + c8*exp(x1) + c9*sin(x0)*cos(x1),python_function,llmsr_python_return,True,40,4,"['add', 'cos', 'exp', 'mul', 'pow', 'sin']",[]
anon-node-08,llmsr,1314,sim-datasets-data/keijzer/Keijzer-14,Keijzer-14,ok,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/probe_stage1_llmsr_seed1314_20260416-130056/anon-node-08/llmsr/llmsr/Keijzer-14/experiments/Keijzer-14_llmsr_seed1314_20260416-150233/result.json,c0 + c1*x0**2 + c2*x1**2 + c3*x0*x1 + c4*x0**3 + c5*x1**3 + c6*x0**2*x1 + c7*x0*x1**2 + c8*x0**4 + c9*x1**4,python_function,llmsr_python_return,True,48,4,"['add', 'mul', 'pow']",[]
anon-node-08,llmsr,1314,sim-datasets-data/keijzer/Keijzer-15,Keijzer-15,ok,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/probe_stage1_llmsr_seed1314_20260416-130056/anon-node-08/llmsr/llmsr/Keijzer-15/experiments/Keijzer-15_llmsr_seed1314_20260416-150233/result.json,c0 + c1*x0 + c2*x1 + c3*x0**2 + c4*x1**2 + c5*x0*x1 + c6*x0**3 + c7*x1**3 + c8*x0*x1**2 + c9*x0**2*x1,python_function,llmsr_python_return,True,44,4,"['add', 'mul', 'pow']",[]
anon-node-08,llmsr,1314,sim-datasets-data/keijzer/Keijzer-2,Keijzer-2,ok,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/probe_stage1_llmsr_seed1314_20260416-130056/anon-node-08/llmsr/llmsr/Keijzer-2/experiments/Keijzer-2_llmsr_seed1314_20260416-150233/result.json,c0 + c1*x0 + c2*x0**2 + c3*sin(x0) + c4*cos(x0) + c5*exp(x0) + c6*x0**3 + c7*sin(x0**2) + c8*cos(x0**3),python_function,llmsr_python_return,True,39,5,"['add', 'cos', 'exp', 'mul', 'pow', 'sin']",[]
anon-node-08,llmsr,1314,sim-datasets-data/keijzer/Keijzer-3,Keijzer-3,ok,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/probe_stage1_llmsr_seed1314_20260416-130056/anon-node-08/llmsr/llmsr/Keijzer-3/experiments/Keijzer-3_llmsr_seed1314_20260416-150234/result.json,c0 + c1*x0 + c2*x0**2 + c3*sin(x0) + c4*exp(x0) + c5*cos(x0) + c6*x0**3 + c7*sin(x0**2),python_function,llmsr_python_return,True,33,5,"['add', 'cos', 'exp', 'mul', 'pow', 'sin']",[]
anon-node-08,llmsr,1314,sim-datasets-data/keijzer/Keijzer-4,Keijzer-4,ok,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/probe_stage1_llmsr_seed1314_20260416-130056/anon-node-08/llmsr/llmsr/Keijzer-4/experiments/Keijzer-4_llmsr_seed1314_20260416-150234/result.json,c0 + c1*x0**2 + c2*sin(x0) + c3*cos(x0) + c4*exp(-x0**2) + c5*log(x0 + 1) + c6*sin(2*x0) + c7*cos(3*x0) + c8*tanh(x0) + c9*arctan(x0),python_function,llmsr_python_return,True,49,6,"['add', 'arctan', 'cos', 'exp', 'log', 'mul', 'pow', 'sin', 'tanh']",[]
