tool,machine,global_index,slice_index,family,subgroup,dataset_name,dataset_dir,train_csv,valid_csv,id_test_csv,ood_test_csv,metadata_yaml,has_formula_py
llmsr,anon-node-08,499,1,srbench1.0,feynman,feynman_II_24_17,sim-datasets-data/srbench1.0/feynman/feynman_II_24_17,sim-datasets-data/srbench1.0/feynman/feynman_II_24_17/train.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_24_17/valid.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_24_17/id_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_24_17/ood_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_24_17/metadata.yaml,yes
llmsr,anon-node-08,500,2,srbench1.0,feynman,feynman_II_27_16,sim-datasets-data/srbench1.0/feynman/feynman_II_27_16,sim-datasets-data/srbench1.0/feynman/feynman_II_27_16/train.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_27_16/valid.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_27_16/id_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_27_16/ood_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_27_16/metadata.yaml,yes
llmsr,anon-node-08,501,3,srbench1.0,feynman,feynman_II_27_18,sim-datasets-data/srbench1.0/feynman/feynman_II_27_18,sim-datasets-data/srbench1.0/feynman/feynman_II_27_18/train.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_27_18/valid.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_27_18/id_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_27_18/ood_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_27_18/metadata.yaml,yes
llmsr,anon-node-08,502,4,srbench1.0,feynman,feynman_II_2_42,sim-datasets-data/srbench1.0/feynman/feynman_II_2_42,sim-datasets-data/srbench1.0/feynman/feynman_II_2_42/train.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_2_42/valid.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_2_42/id_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_2_42/ood_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_2_42/metadata.yaml,yes
llmsr,anon-node-08,503,5,srbench1.0,feynman,feynman_II_34_11,sim-datasets-data/srbench1.0/feynman/feynman_II_34_11,sim-datasets-data/srbench1.0/feynman/feynman_II_34_11/train.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_34_11/valid.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_34_11/id_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_34_11/ood_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_34_11/metadata.yaml,yes
llmsr,anon-node-08,504,6,srbench1.0,feynman,feynman_II_34_2,sim-datasets-data/srbench1.0/feynman/feynman_II_34_2,sim-datasets-data/srbench1.0/feynman/feynman_II_34_2/train.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_34_2/valid.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_34_2/id_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_34_2/ood_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_34_2/metadata.yaml,yes
llmsr,anon-node-08,505,7,srbench1.0,feynman,feynman_II_34_29a,sim-datasets-data/srbench1.0/feynman/feynman_II_34_29a,sim-datasets-data/srbench1.0/feynman/feynman_II_34_29a/train.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_34_29a/valid.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_34_29a/id_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_34_29a/ood_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_34_29a/metadata.yaml,yes
llmsr,anon-node-08,506,8,srbench1.0,feynman,feynman_II_34_29b,sim-datasets-data/srbench1.0/feynman/feynman_II_34_29b,sim-datasets-data/srbench1.0/feynman/feynman_II_34_29b/train.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_34_29b/valid.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_34_29b/id_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_34_29b/ood_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_34_29b/metadata.yaml,yes
llmsr,anon-node-08,507,9,srbench1.0,feynman,feynman_II_34_2a,sim-datasets-data/srbench1.0/feynman/feynman_II_34_2a,sim-datasets-data/srbench1.0/feynman/feynman_II_34_2a/train.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_34_2a/valid.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_34_2a/id_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_34_2a/ood_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_34_2a/metadata.yaml,yes
llmsr,anon-node-08,508,10,srbench1.0,feynman,feynman_II_35_18,sim-datasets-data/srbench1.0/feynman/feynman_II_35_18,sim-datasets-data/srbench1.0/feynman/feynman_II_35_18/train.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_35_18/valid.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_35_18/id_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_35_18/ood_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_35_18/metadata.yaml,yes
llmsr,anon-node-08,509,11,srbench1.0,feynman,feynman_II_35_21,sim-datasets-data/srbench1.0/feynman/feynman_II_35_21,sim-datasets-data/srbench1.0/feynman/feynman_II_35_21/train.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_35_21/valid.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_35_21/id_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_35_21/ood_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_35_21/metadata.yaml,yes
llmsr,anon-node-08,510,12,srbench1.0,feynman,feynman_II_36_38,sim-datasets-data/srbench1.0/feynman/feynman_II_36_38,sim-datasets-data/srbench1.0/feynman/feynman_II_36_38/train.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_36_38/valid.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_36_38/id_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_36_38/ood_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_36_38/metadata.yaml,yes
llmsr,anon-node-08,511,13,srbench1.0,feynman,feynman_II_37_1,sim-datasets-data/srbench1.0/feynman/feynman_II_37_1,sim-datasets-data/srbench1.0/feynman/feynman_II_37_1/train.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_37_1/valid.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_37_1/id_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_37_1/ood_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_37_1/metadata.yaml,yes
llmsr,anon-node-08,512,14,srbench1.0,feynman,feynman_II_38_14,sim-datasets-data/srbench1.0/feynman/feynman_II_38_14,sim-datasets-data/srbench1.0/feynman/feynman_II_38_14/train.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_38_14/valid.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_38_14/id_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_38_14/ood_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_38_14/metadata.yaml,yes
llmsr,anon-node-08,513,15,srbench1.0,feynman,feynman_II_38_3,sim-datasets-data/srbench1.0/feynman/feynman_II_38_3,sim-datasets-data/srbench1.0/feynman/feynman_II_38_3/train.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_38_3/valid.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_38_3/id_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_38_3/ood_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_38_3/metadata.yaml,yes
llmsr,anon-node-08,514,16,srbench1.0,feynman,feynman_II_3_24,sim-datasets-data/srbench1.0/feynman/feynman_II_3_24,sim-datasets-data/srbench1.0/feynman/feynman_II_3_24/train.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_3_24/valid.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_3_24/id_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_3_24/ood_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_3_24/metadata.yaml,yes
llmsr,anon-node-08,515,17,srbench1.0,feynman,feynman_II_4_23,sim-datasets-data/srbench1.0/feynman/feynman_II_4_23,sim-datasets-data/srbench1.0/feynman/feynman_II_4_23/train.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_4_23/valid.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_4_23/id_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_4_23/ood_test.csv,sim-datasets-data/srbench1.0/feynman/feynman_II_4_23/metadata.yaml,yes
