tool,machine,global_index,slice_index,family,subgroup,dataset_name,dataset_dir,train_csv,valid_csv,id_test_csv,ood_test_csv,metadata_yaml,has_formula_py
pysr,anon-node-03,333,1,srsd,srsd-feynman_hard,feynman-ii.11.17,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.17,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.17/train.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.17/valid.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.17/id_test.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.17/ood_test.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.17/metadata.yaml,yes
pysr,anon-node-03,334,2,srsd,srsd-feynman_hard,feynman-ii.11.20,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20/train.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20/valid.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20/id_test.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20/ood_test.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20/metadata.yaml,yes
pysr,anon-node-03,335,3,srsd,srsd-feynman_hard,feynman-ii.11.27,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27/train.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27/valid.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27/id_test.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27/ood_test.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27/metadata.yaml,yes
pysr,anon-node-03,336,4,srsd,srsd-feynman_hard,feynman-ii.11.28,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.28,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.28/train.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.28/valid.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.28/id_test.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.28/ood_test.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.28/metadata.yaml,yes
pysr,anon-node-03,337,5,srsd,srsd-feynman_hard,feynman-ii.13.23,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.13.23,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.13.23/train.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.13.23/valid.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.13.23/id_test.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.13.23/ood_test.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.13.23/metadata.yaml,yes
pysr,anon-node-03,338,6,srsd,srsd-feynman_hard,feynman-ii.13.34,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.13.34,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.13.34/train.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.13.34/valid.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.13.34/id_test.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.13.34/ood_test.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.13.34/metadata.yaml,yes
pysr,anon-node-03,339,7,srsd,srsd-feynman_hard,feynman-ii.24.17,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.24.17,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.24.17/train.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.24.17/valid.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.24.17/id_test.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.24.17/ood_test.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.24.17/metadata.yaml,yes
pysr,anon-node-03,340,8,srsd,srsd-feynman_hard,feynman-ii.35.18,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.35.18,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.35.18/train.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.35.18/valid.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.35.18/id_test.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.35.18/ood_test.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.35.18/metadata.yaml,yes
pysr,anon-node-03,341,9,srsd,srsd-feynman_hard,feynman-ii.35.21,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.35.21,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.35.21/train.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.35.21/valid.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.35.21/id_test.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.35.21/ood_test.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.35.21/metadata.yaml,yes
pysr,anon-node-03,342,10,srsd,srsd-feynman_hard,feynman-ii.36.38,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.36.38,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.36.38/train.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.36.38/valid.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.36.38/id_test.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.36.38/ood_test.csv,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.36.38/metadata.yaml,yes
