algorithm,taxonomy,rows,finite_train_id_ood_rate,probe4_success_rate,budget_exhausted_success_rate,finite_id_ood_rate,id_ood_explosion_gt_100_rate,expression_artifact_available_rate,artifact_valid_rate_among_all,sympy_parse_ok_rate_among_all,median_combined_log_id_ood_nmse,median_ast_node_count,mean_variable_coverage_ratio,uses_trig_rate,uses_exp_log_rate,uses_product_power_rate,uses_complex_symbol_rate,health_counts,raw_status_counts,normalized_status_counts
drsr,llm_assisted_rl,200,0.995,0.995,0.80000000000000004,1,0.11,1,0.995,0.995,0.43137923806987427,23,0.88660714285714282,0.23499999999999999,0.25,0.995,0,"{""finite_but_exploded"": 22, ""metric_ok_artifact_invalid"": 1, ""metric_ok_artifact_ok"": 177}","{""ok"": 200}","{""metric_missing_raw_ok"": 1, ""success_budget_exhausted"": 160, ""success_completed"": 39}"
dso,rl_policy,200,0.98999999999999999,0.98999999999999999,0.85499999999999998,0.98999999999999999,0.050000000000000003,1,1,1,0.2975959644854832,13,0.74767857142857141,0.60499999999999998,0.53500000000000003,0.98499999999999999,0,"{""finite_but_exploded"": 10, ""metric_missing"": 2, ""metric_ok_artifact_ok"": 188}","{""ok"": 27, ""timed_out"": 173}","{""metric_missing_after_budget_exhausted"": 2, ""success_budget_exhausted"": 171, ""success_completed"": 27}"
e2esr,pretrained_neural,200,0.69499999999999995,0.69499999999999995,0,0.69499999999999995,0.14000000000000001,0,0,0,4.0861649020627304,,,0,0,0,0,"{""finite_but_exploded"": 28, ""metric_missing"": 61, ""metric_ok_no_expression_artifact"": 111}",{},"{""metric_missing_raw_status_unknown"": 61, ""success_metrics_available_raw_status_unknown"": 139}"
gplearn,classic_gp,200,1,1,1,1,0.14000000000000001,1,1,0.98999999999999999,0.80506544347076003,15.5,0.713952380952381,0.54500000000000004,0.505,0.82499999999999996,0.14499999999999999,"{""finite_but_exploded"": 28, ""metric_ok_artifact_ok"": 172}","{""timed_out"": 200}","{""success_budget_exhausted"": 200}"
imcts,mcts,200,0.98999999999999999,0.98999999999999999,0,0.98999999999999999,0.055,0,0,0,0.25472930355882134,,,0,0,0,0,"{""finite_but_exploded"": 11, ""metric_missing"": 2, ""metric_ok_no_expression_artifact"": 187}",{},"{""metric_missing_raw_status_unknown"": 2, ""success_metrics_available_raw_status_unknown"": 198}"
llmsr,llm_symbolic,200,0.97999999999999998,0.97999999999999998,0.065000000000000002,0.97999999999999998,0.074999999999999997,1,1,1,0.69555375176978174,26,0.91486904761904764,0.30499999999999999,0.36499999999999999,0.995,0,"{""finite_but_exploded"": 15, ""metric_missing"": 4, ""metric_ok_artifact_ok"": 181}","{""ok"": 200}","{""metric_missing_raw_ok"": 4, ""success_budget_exhausted"": 13, ""success_completed"": 183}"
pyoperon,evolutionary_gp,200,0.95499999999999996,0.95499999999999996,0,0.97499999999999998,0.035000000000000003,1,1,1,0,11.5,0.49031547619047616,0.33500000000000002,0.42499999999999999,0.875,0,"{""finite_but_exploded"": 7, ""metric_missing"": 5, ""metric_ok_artifact_ok"": 188}","{""ok"": 200}","{""metric_missing_raw_ok"": 9, ""success_completed"": 191}"
pysr,evolutionary_gp,200,0.95499999999999996,0.95499999999999996,0.95499999999999996,0.98499999999999999,0.20499999999999999,1,1,1,5.0708068242145687,15,0.71757738095238099,0.38,0.20000000000000001,0.88500000000000001,0,"{""finite_but_exploded"": 41, ""metric_missing"": 3, ""metric_ok_artifact_ok"": 156}","{""timed_out"": 200}","{""metric_missing_after_budget_exhausted"": 9, ""success_budget_exhausted"": 191}"
qlattice,graph_hybrid,200,0.94999999999999996,0.94999999999999996,0,0.94999999999999996,0.029999999999999999,0,0,0,0.16175355145454057,,,0,0,0,0,"{""finite_but_exploded"": 6, ""metric_missing"": 10, ""metric_ok_no_expression_artifact"": 184}",{},"{""metric_missing_raw_status_unknown"": 10, ""success_metrics_available_raw_status_unknown"": 190}"
ragsr,rag_hybrid,200,0.88500000000000001,0.88500000000000001,0,0.88500000000000001,0.58499999999999996,0,0,0,3.9088068304437815,,,0,0,0,0,"{""finite_but_exploded"": 117, ""metric_missing"": 23, ""metric_ok_no_expression_artifact"": 60}",{},"{""metric_missing_raw_status_unknown"": 23, ""success_metrics_available_raw_status_unknown"": 177}"
tpsr,pretrained_neural,200,0.97499999999999998,0.97499999999999998,0.79500000000000004,0.97499999999999998,0.25,0.98999999999999999,0.98999999999999999,0.98999999999999999,1.4641767317701626,29,0.86044372294372296,0.26000000000000001,0.13,0.93500000000000005,0,"{""finite_but_exploded"": 50, ""metric_missing"": 5, ""metric_ok_artifact_ok"": 145}","{""ok"": 36, ""timed_out"": 164}","{""metric_missing_after_budget_exhausted"": 5, ""success_budget_exhausted"": 159, ""success_completed"": 36}"
udsr,rl_hybrid,200,0.98999999999999999,0.98999999999999999,0,0.98999999999999999,0.014999999999999999,0,0,0,0.28569847720160974,,,0,0,0,0,"{""finite_but_exploded"": 3, ""metric_missing"": 2, ""metric_ok_no_expression_artifact"": 195}",{},"{""metric_missing_raw_status_unknown"": 2, ""success_metrics_available_raw_status_unknown"": 198}"
