dataset_id,dataset_name,family,subgroup,srsd_variant,algorithm_count,finite_id_ood_count,explosion_gt_100_count,expression_artifact_available_count,median_combined_log_id_ood_nmse,spread_combined_log_id_ood_nmse,high_information_hint
g0001,feynman-iii.15.12,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,12,11,4,7,0.02098855560832389,12,1
g0002,feynman-iii.15.14,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,12,11,5,7,1.0721180982341321,12,1
g0003,feynman-ii.11.20,srsd,srsd/srsd-feynman_hard,hard non-dummy,12,12,2,7,0.032991204995966181,11.997852286551428,1
g0004,feynman-iii.12.43,srsd,srsd/srsd-feynman_easy_dummy,easy dummy,12,12,4,7,1.8270637075312961,12,1
g0005,feynman-ii.11.27,srsd,srsd/srsd-feynman_hard,hard non-dummy,12,11,3,7,3.0974850301899837,12,1
g0006,feynman-ii.11.27,srsd,srsd/srsd-feynman_hard_dummy,hard dummy,12,11,2,7,0,12,1
g0007,CRK22,llm-srbench,llm-srbench/chem_react,,12,11,2,7,3.5903458613310901,6.6200864405386515,1
g0008,feynman-ii.34.29a,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,12,10,3,7,0.39830064200668741,12,1
g0009,feynman-ii.15.4,srsd,srsd/srsd-feynman_easy_dummy,easy dummy,12,11,4,7,1.0612504614824181,12,1
g0010,feynman-bonus.7,srsd,srsd/srsd-feynman_hard,hard non-dummy,12,11,2,7,3.7399062637481308,12,1
g0011,feynman-i.25.13,srsd,srsd/srsd-feynman_easy_dummy,easy dummy,12,11,2,7,6.7745189025771726,12,1
g0012,feynman-i.26.2,srsd,srsd/srsd-feynman_easy_dummy,easy dummy,12,10,0,7,0.088813616666471085,1.1954698227000895,0
g0013,feynman-bonus.20,srsd,srsd/srsd-feynman_hard,hard non-dummy,12,10,2,7,0,12,1
g0014,feynman-i.14.4,srsd,srsd/srsd-feynman_easy_dummy,easy dummy,12,11,3,7,10.292863911677866,11.999370076426516,1
g0015,feynman-i.41.16,srsd,srsd/srsd-feynman_hard,hard non-dummy,12,12,6,7,6,12,1
g0016,first_principles_newton,srbench2025,srbench2025/firstprinciples,,12,11,2,7,12,0,0
g0017,feynman-ii.11.28,srsd,srsd/srsd-feynman_hard,hard non-dummy,12,11,1,7,6.0881753041848352,11.82364939163033,1
g0018,feynman-i.38.12,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,12,12,8,7,1.2172108794320298,12,1
g0019,feynman-ii.15.5,srsd,srsd/srsd-feynman_easy_dummy,easy dummy,12,11,4,7,0.97912786961504694,12,1
g0020,feynman-i.29.4,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,12,11,2,7,1.8349045416290435,12,1
g0021,feynman-i.14.3,srsd,srsd/srsd-feynman_easy_dummy,easy dummy,12,11,0,7,0.79404153474505323,0,0
g0022,feynman-ii.11.20,srsd,srsd/srsd-feynman_hard_dummy,hard dummy,12,10,4,7,0.56982138903659874,12,1
g0023,feynman-i.34.27,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,12,11,6,7,12,0,0
g0024,feynman-iii.13.18,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,12,11,2,7,0.0009324611771495022,6.0000353553210006,1
g0025,feynman-bonus.4,srsd,srsd/srsd-feynman_hard_dummy,hard dummy,12,10,2,6,6.1108259732202646,11.882703064956075,1
g0026,feynman-bonus.4,srsd,srsd/srsd-feynman_hard,hard non-dummy,12,11,2,7,12,11.881460846455198,1
g0027,feynman-iii.17.37,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,12,11,3,7,9.9082012959423196,12,1
g0028,feynman-i.18.16,srsd,srsd/srsd-feynman_easy_dummy,easy dummy,12,11,2,7,9.4294424810323623,11.99979395901153,1
g0029,feynman-ii.34.11,srsd,srsd/srsd-feynman_easy_dummy,easy dummy,12,11,2,7,0.0056722217214625701,11.999970746691938,1
g0030,feynman-bonus.8,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,12,11,1,7,0.20881377504726237,8.0399995619624498,1
g0031,feynman-i.30.5,srsd,srsd/srsd-feynman_easy_dummy,easy dummy,12,11,2,7,0.0047976949979496239,12,1
g0032,feynman-i.41.16,srsd,srsd/srsd-feynman_hard_dummy,hard dummy,12,11,5,7,12,12,1
g0033,feynman-iii.4.33,srsd,srsd/srsd-feynman_hard,hard non-dummy,12,11,4,7,12,12,1
g0034,feynman-iii.4.33,srsd,srsd/srsd-feynman_hard_dummy,hard dummy,12,11,5,7,12,12,1
g0035,feynman-i.37.4,srsd,srsd/srsd-feynman_hard_dummy,hard dummy,12,12,2,7,12,0,0
g0036,feynman-ii.37.1,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,12,12,3,7,0.00063123317643340535,12,1
g0037,PO14,llm-srbench,llm-srbench/phys_osc,,12,12,2,7,0.21368968809755781,11.962372543887341,1
g0038,feynman-i.44.4,srsd,srsd/srsd-feynman_hard_dummy,hard dummy,12,11,3,7,0.43458936645461826,11.927024608820725,1
