dataset_id,global_index,dataset_name,family,subgroup,srsd_variant,basename,selection_mode,candidate_advantage_side,algorithm,taxonomy,prompt_semantics_mode,llm_model_assignment,semantic_background_preview,train_nmse,valid_nmse_raw_observed_not_used_for_probe4,id_nmse,ood_nmse,finite_train,finite_id,finite_ood,finite_id_ood,finite_train_id_ood,log_train_nmse_clipped,log_id_nmse_clipped,log_ood_nmse_clipped,combined_log_id_ood_nmse,gap_log_ood_minus_id,delta_id_minus_train,delta_ood_minus_id,id_ood_explosion_gt_100,train_id_ood_explosion_gt_100,raw_result_status,outer_status,budget_exhausted,probe4_success,normalized_status_for_probe4,wall_time_seconds,expression_artifact_available,equation_present,artifact_valid,sympy_parse_ok,canonical_artifact_error,raw_equation_char_count,normalized_expression_char_count,raw_equation_token_count,normalized_expression_token_count,ast_node_count,tree_depth,expression_complexity_bucket,expected_n_features,used_variable_count,variable_coverage_ratio,uses_all_features,uses_no_features_constant,operator_count,operator_set,operator_category_count,parameter_count,expression_health_label,raw_equation_preview,normalized_expression_preview,source_result_path,uses_linear_ops,uses_product_power_ops,uses_trig_ops,uses_exp_log_ops,uses_root_abs_inv_ops,uses_constant_symbols,uses_complex_symbols
g0001,1,feynman-iii.15.12,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,feynman-iii.15.12,strict,pysr,drsr,llm_assisted_rl,physics_semantic_hidden_mapping,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct,"Calculate the Energy given Amplitude, Propagation coefficient, Lattice constant There are 5 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic role ""A, Amplitude""; ",1.0,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,ok,ok,1,1,success_budget_exhausted,3901.248,1,1,1,1,,27,27,17,17,11,4,simple,5,3,0.59999999999999998,0,0,2,exp;mul,2,0,metric_ok_artifact_ok,c0*x0*exp(c1*x2)*exp(c2*x3),c0*x0*exp(c1*x2)*exp(c2*x3),/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-02/drsr/g0001_feynman-iii.15.12/result.json,0,1,0,1,0,0,0
g0001,1,feynman-iii.15.12,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,feynman-iii.15.12,strict,pysr,dso,rl_policy,none_or_original_e1,,,0.8384250828663344,0.818903975570823,1.0330123702367064,0.8651486375606309,1,1,1,1,1,-0.076535737531756631,0.01410552219084492,-0.062909271810534767,-0.024401874809844924,-0.077014794001379686,0.09064125972260155,-0.077014794001379686,0,0,timed_out,timed_out,1,1,success_budget_exhausted,3615.359,1,1,1,1,,19,19,13,13,8,4,simple,5,2,0.40000000000000002,0,0,4,add;mul;pow;sin,3,0,metric_ok_artifact_ok,sin(x2**2*(x3 - 1)),sin(x1**2*(x2 - 1)),/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w4_20260424-041046/anon-node-01/dso/feynman-iii.15.12/result.json,1,1,1,0,0,0,0
g0001,1,feynman-iii.15.12,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,feynman-iii.15.12,strict,pysr,gplearn,classic_gp,none_or_original_e1,,,1.0,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,timed_out,timed_out,1,1,success_budget_exhausted,3609.061,1,1,1,1,,25,19,13,10,7,5,simple,5,1,0.20000000000000001,0,0,3,log;mul;pow,2,0,metric_ok_artifact_ok,"log(log(div(-0.593, X3)))",log(log(-0.593/x3)),/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/anon-node-01/gplearn/feynman-iii.15.12/result.json,0,1,0,1,0,0,0
g0001,1,feynman-iii.15.12,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,feynman-iii.15.12,strict,pysr,llmsr,llm_symbolic,physics_semantic_hidden_mapping,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct,"Calculate the Energy given Amplitude, Propagation coefficient, Lattice constant There are 5 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic role ""A, Amplitude""; ",1.053174647600878e+46,2.568112197535224e+45,2.9635662644225505e+46,8.301823701777936e+49,1,1,1,1,1,12,12,12,12,0,0,0,1,1,ok,ok,0,1,success_completed,3606.615,1,1,1,1,,17,17,13,13,9,3,simple,5,3,0.59999999999999998,0,0,2,mul;pow,1,0,finite_but_exploded,c0*x0**2*x1**2*x2,c0*x0**2*x1**2*x2,/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/llmsr/anon-node-02/llmsr/g0001_feynman-iii.15.12/result.json,0,1,0,0,0,0,0
g0001,1,feynman-iii.15.12,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,feynman-iii.15.12,strict,pysr,pyoperon,evolutionary_gp,none_or_original_e1,,,1.0,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,ok,ok,0,1,success_completed,9.835,1,1,1,1,,40,1,19,1,1,1,constant_or_trivial,5,0,0,0,1,0,,0,0,metric_ok_artifact_ok,(0.000 + ((-0.000) * sin((0.357 * X4)))),0,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w2_20260424-041046/anon-node-01/pyoperon/feynman-iii.15.12/result.json,0,0,0,0,0,0,0
g0001,1,feynman-iii.15.12,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,feynman-iii.15.12,strict,pysr,pysr,evolutionary_gp,none_or_original_e1,,,1.2464334989871335e+242,7.373030371949214e+241,2.7485532995436865e+242,6.024884605654827e+239,1,1,1,1,1,12,12,12,12,0,0,0,1,1,timed_out,timed_out,1,1,success_budget_exhausted,3604.063,1,1,1,1,,8,5,4,4,3,2,simple,5,1,0.20000000000000001,0,0,1,pow,1,0,finite_but_exploded,cube(x4),x3**3,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w3_20260424-041046/anon-node-01/pysr/feynman-iii.15.12/result.json,0,1,0,0,0,0,0
g0001,1,feynman-iii.15.12,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,feynman-iii.15.12,strict,pysr,tpsr,pretrained_neural,none_or_original_e1,,,3.7573503442566576e+22,1.9930509945895607e+22,9.775099846347751e+22,3.649855889254063e+19,1,1,1,1,1,12,12,12,12,0,0,0,1,1,timed_out,timed_out,1,1,success_budget_exhausted,3619.733,1,1,1,1,,277,123,108,40,33,10,medium,5,5,1,1,0,3,add;mul;pow,2,0,finite_but_exploded,((3.0500000000000003 + (-0.00010000000000000528 * x_1)) - (3.0500000000000003 + (-0.9 * 1/((0.001 + (0.009 * (((0.01 + (-0.9 * x_2)) + ((0.01 + (-0.9 * x_0)) + ((0.01 + (-0.9 * ...,-0.00010000000000000528*x1 + 0.9/(0.009*(-0.9*x0 - 0.9*x2 - 90.0*x3 + 0.009*x4 + 0.049 - 14.999999999999999/x2)**3 + 0.001),/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w5_20260424-041046/anon-node-01/tpsr/feynman-iii.15.12/result.json,1,1,0,0,0,0,0
g0001,1,feynman-iii.15.12,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,feynman-iii.15.12,strict,pysr,e2esr,pretrained_neural,none_or_original_e1,,,,,,,0,0,0,0,0,,,,,,,,0,0,,,0,0,metric_missing_raw_status_unknown,,0,0,0,0,,,,,,,,unknown_no_artifact,,,,0,0,,,,,metric_missing,,,,0,0,0,0,0,0,0
g0001,1,feynman-iii.15.12,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,feynman-iii.15.12,strict,pysr,imcts,mcts,none_or_original_e1,,,1.6683878440623678e+232,4.935526147069037e+231,2.438870180003798e+232,6.920825603040468e+233,1,1,1,1,1,12,12,12,12,0,0,0,1,1,,,0,1,success_metrics_available_raw_status_unknown,,0,0,0,0,,,,,,,,unknown_no_artifact,,,,0,0,,,,,finite_but_exploded,,,,0,0,0,0,0,0,0
g0001,1,feynman-iii.15.12,srsd,srsd/srsd-feynman_medium_dummy,medium dummy,feynman-iii.15.12,strict,pysr,qlattice,graph_hybrid,none_or_original_e1,,,0.9823830935180802,0.8934972478433344,1.139350698834331,0.9667622597351943,1,1,1,1,1,-0.0077191202002465653,0.056657423048131463,-0.014680311831483684,0.02098855560832389,-0.071337734879615144,0.064376543248378021,-0.071337734879615144,0,0,,,0,1,success_metrics_available_raw_status_unknown,,0,0,0,0,,,,,,,,unknown_no_artifact,,,,0,0,,,,,metric_ok_no_expression_artifact,,,,0,0,0,0,0,0,0
