dataset_dir,dataset,family,subgroup,basename,pysr_status,llmsr_status,id_gap_log10_nmse,ood_gap_log10_nmse,overall_gap_score,signed_advantage,advantage_side,pool,selection_mode,pysr_id_r2,pysr_id_nmse,pysr_ood_r2,pysr_ood_nmse,llmsr_id_r2,llmsr_id_nmse,llmsr_ood_r2,llmsr_ood_nmse,selection_note
sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,feynman-iii.15.12,srsd,srsd/srsd-feynman_medium_dummy,feynman-iii.15.12,timed_out,ok,106.69484720087182,103.29440251963393,104.99462486025288,104.99462486025288,pysr,A,strict,-0.03058590933805827,1.0,-16.91563364346485,1.0,-5.104243698817499e+106,4.952759057418235e+106,-3.4924628345488544e+104,1.9697110424832798e+103,
sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.14,feynman-iii.15.14,srsd,srsd/srsd-feynman_medium_dummy,feynman-iii.15.14,timed_out,ok,81.54381929419222,86.54816252987163,84.04599091203193,84.04599091203193,pysr,A,strict,-0.10542873899716243,1.0,-0.005083300059358642,1.0,-3.866785179710035e+81,3.4979958845813586e+81,-3.5511137743243373e+86,3.5331536939421975e+86,
sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20,feynman-ii.11.20,srsd,srsd/srsd-feynman_hard,feynman-ii.11.20,timed_out,ok,-82.55974601977094,-79.89967515241649,81.22971058609372,-81.22971058609372,llmsr,A,strict,-4.6139027217219936e+82,4.613792905999192e+82,-7.963415486623429e+79,7.936138341508791e+79,-0.27151771132904745,1.2714874478710618,-6.712190683266783e-07,0.9998482190049417,
sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-iii.12.43,feynman-iii.12.43,srsd,srsd/srsd-feynman_easy_dummy,feynman-iii.12.43,timed_out,ok,78.98128223561241,82.48809994165309,80.73469108863276,80.73469108863276,pysr,A,strict,-3.053436285330653,1.0,-0.9732828762416679,1.0,-3.882447445251174e+79,9.578163266261259e+78,-6.053602257318955e+82,3.076804780394905e+82,
sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27,feynman-ii.11.27,srsd,srsd/srsd-feynman_hard,feynman-ii.11.27,timed_out,timed_out,80.08978528297834,77.89773411366504,78.9937596983217,78.9937596983217,pysr,A,strict,-0.08155757896360538,1.0,-23.64358439431123,1.0,-1.3299488192011063e+80,1.2296606710845488e+80,-2.8200665692770924e+79,7.901947022073024e+77,
sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27,feynman-ii.11.27,srsd,srsd/srsd-feynman_hard_dummy,feynman-ii.11.27,timed_out,timed_out,80.08978528297834,77.89773411366504,78.9937596983217,78.9937596983217,pysr,A,strict,-0.08155757896360538,1.0,-23.64358439431123,1.0,-1.3299488192011063e+80,1.2296606710845488e+80,-2.8200665692770924e+79,7.901947022073024e+77,
sim-datasets-data/llm-srbench/chem_react/CRK22,CRK22,llm-srbench,llm-srbench/chem_react,CRK22,timed_out,ok,-71.5621154391507,-79.44066032282018,75.50138788098545,-75.50138788098545,llmsr,A,strict,-9.574463791769959e+67,7.938117755930145e+67,-7.22303846254099e+82,1.143639985901745e+81,0.9997375787366495,0.00021757154608771168,-2617.542364861965,41.45997240308707,
sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.34.29a,feynman-ii.34.29a,srsd,srsd/srsd-feynman_medium_dummy,feynman-ii.34.29a,timed_out,ok,71.30457307263137,76.54827762356173,73.92642534809656,73.92642534809656,pysr,A,strict,-0.00012545223263571437,0.999998986252125,-0.000545416269919663,0.9999852628724082,-2.0166361704087519e+71,2.0163811664958938e+71,-3.534038235504652e+76,3.5340380673990495e+76,
sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,feynman-ii.15.4,srsd,srsd/srsd-feynman_easy_dummy,feynman-ii.15.4,timed_out,ok,74.84781206922769,71.832057868002,73.33993496861484,73.33993496861484,pysr,A,strict,-1797.5912515727684,1798.2324030240436,-80.37144544830785,81.30364168951827,-1.266906446157575e+78,1.2666536774614568e+78,-5.523696327683192e+73,5.522908734517139e+73,
sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.7,feynman-bonus.7,srsd,srsd/srsd-feynman_hard,feynman-bonus.7,timed_out,ok,71.28595888213742,72.81188177241154,72.04892032727449,72.04892032727449,pysr,A,strict,-0.3814452475119039,0.999999999585945,-1.7046359979673844,0.9999999945497171,-2.668655776595373e+71,1.9317854111821447e+71,-1.753842526560013e+73,6.484578768895854e+72,
sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.25.13,feynman-i.25.13,srsd,srsd/srsd-feynman_easy_dummy,feynman-i.25.13,timed_out,ok,72.37535792621559,67.90829642601093,70.14182717611325,70.14182717611325,pysr,A,strict,1.0,1.9407407936216663e-32,1.0,1.7430824837234736e-27,-4.60651048294053e+40,4.606016197548657e+40,-1.4159151032931702e+41,1.4112838271401895e+41,
sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.26.2,feynman-i.26.2,srsd,srsd/srsd-feynman_easy_dummy,feynman-i.26.2,timed_out,ok,69.89176993115785,68.83751134307542,69.36464063711664,69.36464063711664,pysr,A,strict,1.0,1.817072153119683e-32,1.0,1.5583342955567435e-26,-1.4586798500420616e+38,1.4162571126565145e+38,-1.1121067613034436e+43,1.0719436889739973e+43,
sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.20,feynman-bonus.20,srsd,srsd/srsd-feynman_hard,feynman-bonus.20,timed_out,ok,68.26829590747218,68.20499709079448,68.23664649913333,68.23664649913333,pysr,A,strict,-0.02101722284107188,1.0,-0.006704462436640579,1.0,-1.8937776005126762e+68,1.854794961482697e+68,-1.6139834775722005e+68,1.6032346510769346e+68,
sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.14.4,feynman-i.14.4,srsd,srsd/srsd-feynman_easy_dummy,feynman-i.14.4,timed_out,ok,68.06417436181455,66.98103677570165,67.52260556875811,67.52260556875811,pysr,A,strict,1.0,6.406148441510385e-32,1.0,3.461770474076286e-32,-8.213331132656561e+36,7.42628068057014e+36,-2.536555365638492e+37,3.3138667776179336e+35,
sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16,feynman-i.41.16,srsd,srsd/srsd-feynman_hard,feynman-i.41.16,timed_out,ok,62.66933171599791,61.05870124192068,61.8640164789593,61.8640164789593,pysr,A,strict,-0.10534046927202101,1.0,-27.456208505619323,1.0,-5.162116325577551e+62,4.670159529196763e+62,-3.2574538855086423e+62,1.1447251958620504e+61,
sim-datasets-data/srbench2025/firstprinciples/first_principles_newton,first_principles_newton,srbench2025,srbench2025/firstprinciples,first_principles_newton,timed_out,ok,60.54342805312324,59.726278695387464,60.13485337425536,60.13485337425536,pysr,A,strict,0.9564843971084461,2.7834429505794698e-05,0.9999437917658756,3.5414497717819888e-06,-1.5208033412014532e+59,9.727704680627333e+55,-2.9928064888615283e+55,1.8856443405617524e+54,
sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.28,feynman-ii.11.28,srsd,srsd/srsd-feynman_hard,feynman-ii.11.28,timed_out,ok,60.486771506253746,58.3569717142816,59.42187161026767,59.42187161026767,pysr,A,strict,0.9999999999999742,1.9888961549859844e-28,0.9999999999916789,3.1082883434874258e-25,-7.907028668553921e+46,6.100755419919509e+32,-1.893015596686302e+47,7.071198260291916e+33,
sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.38.12,feynman-i.38.12,srsd,srsd/srsd-feynman_medium_dummy,feynman-i.38.12,timed_out,ok,59.545238500736886,59.226178573179396,59.38570853695814,59.38570853695814,pysr,A,strict,-119181.80938397764,107998.66678511539,-14355996576.051973,14281642897.213793,-4.182655729899176e+64,3.790154336894091e+64,-2.428347056448616e+69,2.4041233293463146e+69,
sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.5,feynman-ii.15.5,srsd,srsd/srsd-feynman_easy_dummy,feynman-ii.15.5,timed_out,ok,61.21236174918809,56.211547054579064,58.711954401883574,58.711954401883574,pysr,A,strict,0.00010277118855506195,0.9994578113554375,-0.0003546768173643411,1.0001503539387966,-1.6304861494022534e+61,1.629769611711614e+61,-1.6313916905911197e+56,1.627842367410219e+56,
sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.29.4,feynman-i.29.4,srsd,srsd/srsd-feynman_medium_dummy,feynman-i.29.4,timed_out,ok,55.73986772582715,55.69466587411299,55.717266799970076,55.717266799970076,pysr,A,strict,0.9999999999999976,1.428202493035776e-15,0.9999999999998433,1.7187282895399759e-15,-1.3656600510775695e+41,7.846166369916211e+40,-7.764845542718461e+42,8.508893725716372e+40,
sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.14.3,feynman-i.14.3,srsd,srsd/srsd-feynman_easy_dummy,feynman-i.14.3,timed_out,ok,53.49035788029485,56.77989968663239,55.13512878346362,55.13512878346362,pysr,A,strict,1.0,2.0142028681904914e-32,1.0,2.415941344335565e-32,-6.229632104709731e+21,6.229613320981485e+21,-1.9893449967702578e+27,1.4554124063432762e+25,
sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20,feynman-ii.11.20,srsd,srsd/srsd-feynman_hard_dummy,feynman-ii.11.20,timed_out,ok,-51.4873429380141,-58.52489243067041,55.00611768434226,-55.00611768434226,llmsr,A,strict,-4.6139027217219936e+82,4.613792905999192e+82,-7.963415486623429e+79,7.936138341508791e+79,-1.5021921761528522e+31,1.502156422403898e+31,-2.377973139466174e+21,2.3698278507376274e+21,
