algorithm,taxonomy,rows,finite_train_rate,finite_valid_rate,finite_id_rate,finite_ood_rate,finite_id_ood_rate,train_id_ood_present_rate,id_ood_explosion_rate_gt_100,train_id_ood_explosion_rate_gt_100,median_combined_log_id_ood_nmse,mean_combined_log_id_ood_nmse,std_combined_log_id_ood_nmse,iqr_combined_log_id_ood_nmse,family_mean_score_std,subgroup_mean_score_std,families_with_finite_id_ood_rate_ge_0_9,subgroups_with_finite_id_ood_rate_ge_0_9,family_coverage_rate_ge_0_9,subgroup_coverage_rate_ge_0_9,dataset_discrimination_std_norm,dataset_discrimination_iqr_norm,family_discrimination_norm,subgroup_discrimination_norm,operational_stability_score,discrimination_score,coverage_score,baseline_quality_score,available_metric_score
pysr,evolutionary_gp,200,0.965,0.985,0.985,0.995,0.985,0.955,0.205,0.205,-2.7276272362862466,-3.421665124026884,7.9605090316523865,12.208813775047263,4.240576111754092,4.908038448340999,6,15,0.8571428571428571,0.8823529411764706,1.0,1.0,1.0,0.8930426688301408,0.973,0.9839564003245211,0.8672268907563025,0.6136511348452602,0.6004035104530647
imcts,mcts,200,0.995,0.99,0.99,0.995,0.99,0.99,0.055,0.055,-1.4133003265838704,-3.253365623519585,5.080260515464245,3.056310911132016,3.6064690067180334,3.5288384557661283,6,16,0.8571428571428571,0.9411764705882353,0.6381828718822168,0.25033643459928884,0.85046675538297,0.642090184414314,0.99,0.5736499419664124,0.8907563025210083,0.5588875136076613,0.48115280364845797
udsr,rl_hybrid,200,1.0,1.0,0.995,0.995,0.99,0.99,0.015,0.015,-3.6514784941693286,-4.869454830228294,4.651917686549449,7.997621226301435,1.9737379403818731,2.7710677752757396,5,15,0.7142857142857143,0.8823529411764706,0.5843743996838148,0.6550694746976329,0.4654409892351742,0.5042099379596204,0.99,0.5721834876113441,0.7815126050420168,0.6521449372570554,0.4689891839025585
gplearn,classic_gp,200,1.0,0.99,1.0,1.0,1.0,1.0,0.14,0.145,-0.7259639813837202,-0.74100092625403,4.736420679324328,1.9076468420046075,1.352334618036359,1.942091706063666,7,17,1.0,1.0,0.5949896747169666,0.15625161274091287,0.3189035127297769,0.3533735072679034,1.0,0.4076498098075152,1.0,0.5302484992243217,0.44880736790347064
tpsr,pretrained_neural,200,0.975,0.97,0.975,0.975,0.975,0.975,0.25,0.255,-0.020183226334427033,1.2971499264154691,4.27187459476912,1.7674524280635477,1.9913508140335854,3.4461031661973003,7,16,1.0,0.9411764705882353,0.5366333456545799,0.14476856315688258,0.46959440452299145,0.6270360758166205,0.975,0.44217171838472336,0.9764705882352941,0.5008409677639344,0.44791415213890784
dso,rl_policy,200,1.0,0.995,0.99,0.995,0.99,0.99,0.05,0.05,-0.8541147640843851,-2.3098678438043274,4.0699475502978935,2.086251735234701,2.463748204061208,3.019561786395341,6,16,0.8571428571428571,0.9411764705882353,0.5112672486288332,0.17088078937682252,0.5809937468713636,0.5494246927367691,0.99,0.4423532251684005,0.8907563025210083,0.5355881151701828,0.44059881868718054
ragsr,rag_hybrid,200,0.885,0.885,0.885,0.885,0.885,0.885,0.585,0.59,3.39567842998725,4.631001791249713,4.715392131407027,9.315217438691915,2.6663862844445547,3.564426746352246,3,12,0.42857142857142855,0.7058823529411765,0.5923480662678475,0.7629911972062866,0.6287792540862138,0.6485656556924316,0.885,0.6489061655888999,0.5394957983193278,0.3585133987505313,0.41477188936209575
pyoperon,evolutionary_gp,200,0.975,1.0,1.0,0.975,0.975,0.955,0.035,0.14,-0.5307089100552358,-1.0504765940069833,1.7483359589873702,1.3550279811068904,0.7992114916466433,0.8674571240868882,7,16,1.0,0.9411764705882353,0.21962615104582864,0.11098768529636655,0.18846766820936828,0.15783825521010886,0.967,0.17852457780763611,0.9764705882352941,0.5221128712523014,0.3686836051402
e2esr,pretrained_neural,200,0.715,0.715,0.715,0.695,0.695,0.695,0.14,0.14,-1.6340998901933026,-0.2061240641641573,4.465033111164445,2.7326343165203695,4.019026358468286,5.4958610821702205,4,9,0.5714285714285714,0.5294117647058824,0.5608979392411574,0.22382471932739353,0.9477547985351069,1.0,0.695,0.6005234722706352,0.5546218487394958,0.5680874954247209,0.3655046937633509
qlattice,graph_hybrid,200,0.95,0.95,0.95,0.95,0.95,0.95,0.03,0.03,-1.6299669881404348,-1.9648859058642094,1.999676041569693,2.585085075301543,0.8983320210844038,1.1205705880762367,6,14,0.8571428571428571,0.8235294117647058,0.251199519229063,0.21173925026074333,0.2118419755736476,0.20389354303579718,0.95,0.22833492400968092,0.8436974789915965,0.5679152911725182,0.3609508636102696
