combo,combo_score_nmse_only,mean_operational_stability,mean_discrimination,mean_pairwise_complementarity,mean_family_subgroup_coverage,mean_baseline_quality,mean_finite_id_ood_rate,taxonomy_diversity_score,taxonomy_redundancy_penalty,practical_cost_score_neutral_due_to_missing_runtime,taxonomies
imcts;pysr;ragsr;udsr,0.7895150230152518,0.9595,0.6946739988727944,0.7927427046948303,0.7697478991596639,0.5457992461151271,0.9625,1.0,0.0,0.5,mcts;evolutionary_gp;rag_hybrid;rl_hybrid
imcts;pysr;ragsr;tpsr,0.783476273551062,0.95575,0.6621710565661392,0.7896627386017212,0.8184873949579832,0.5079732537418468,0.95875,1.0,0.0,0.5,mcts;evolutionary_gp;rag_hybrid;pretrained_neural
pysr;ragsr;tpsr;udsr,0.7811821035671533,0.95575,0.6618044429773722,0.792649678411986,0.7911764705882354,0.5312876096541953,0.95875,1.0,0.0,0.5,evolutionary_gp;rag_hybrid;pretrained_neural;rl_hybrid
gplearn;imcts;pysr;ragsr,0.7732380185845948,0.962,0.6535405794218372,0.7478165029712902,0.8243697478991596,0.5153251366069437,0.965,1.0,0.0,0.5,classic_gp;mcts;evolutionary_gp;rag_hybrid
gplearn;pysr;ragsr;udsr,0.7717943240681777,0.962,0.6531739658330701,0.7542053446515207,0.7970588235294118,0.5386394925192921,0.965,1.0,0.0,0.5,classic_gp;evolutionary_gp;rag_hybrid;rl_hybrid
dso;pysr;ragsr;udsr,0.7709675700878456,0.9595,0.6618498196732914,0.7591068779464828,0.7697478991596639,0.5399743965057574,0.9625,1.0,0.0,0.5,rl_policy;evolutionary_gp;rag_hybrid;rl_hybrid
e2esr;imcts;pysr;ragsr,0.7694460451059744,0.88575,0.7017589950376172,0.8159512831969277,0.7130252100840336,0.5247848856570434,0.8887499999999999,1.0,0.0,0.5,pretrained_neural;mcts;evolutionary_gp;rag_hybrid
imcts;pysr;qlattice;ragsr,0.768370975379265,0.9495,0.6087118579723786,0.8162048344431716,0.7852941176470588,0.5247418345939927,0.9525,1.0,0.0,0.5,mcts;evolutionary_gp;graph_hybrid;rag_hybrid
imcts;pysr;tpsr;udsr,0.7677621173491576,0.982,0.6429903870717503,0.6725888192536409,0.8789915966386554,0.5813811383684778,0.985,1.0,0.0,0.5,mcts;evolutionary_gp;pretrained_neural;rl_hybrid
dso;imcts;pysr;ragsr,0.7647944811284165,0.9595,0.6622164332620585,0.7222509023628667,0.7970588235294118,0.5166600405934089,0.9625,1.0,0.0,0.5,rl_policy;mcts;evolutionary_gp;rag_hybrid
dso;pysr;ragsr;tpsr,0.7636069758915262,0.95575,0.6293468773666362,0.7507395329248562,0.8184873949579832,0.5021484041324772,0.95875,1.0,0.0,0.5,rl_policy;evolutionary_gp;rag_hybrid;pretrained_neural
pysr;qlattice;ragsr;udsr,0.7628941827575467,0.9495,0.6083452443836115,0.8064612837021984,0.7579831932773109,0.5480561905063412,0.9525,1.0,0.0,0.5,evolutionary_gp;graph_hybrid;rag_hybrid;rl_hybrid
e2esr;pysr;ragsr;udsr,0.7613362386609233,0.88575,0.7013923814488501,0.7956756771626227,0.6857142857142857,0.5480992415693919,0.8887499999999999,1.0,0.0,0.5,pretrained_neural;evolutionary_gp;rag_hybrid;rl_hybrid
gplearn;pysr;ragsr;tpsr,0.7607582256451324,0.95825,0.6206710235264149,0.7311359827229909,0.8457983193277311,0.5008135001460119,0.9612499999999999,1.0,0.0,0.5,classic_gp;evolutionary_gp;rag_hybrid;pretrained_neural
dso;gplearn;pysr;ragsr,0.7596013003984852,0.962,0.6207164002223342,0.7338236151881286,0.8243697478991596,0.509500286997574,0.965,1.0,0.0,0.5,rl_policy;classic_gp;evolutionary_gp;rag_hybrid
dso;pysr;qlattice;ragsr,0.753341784023188,0.9495,0.5758876787728756,0.796642053980141,0.7852941176470588,0.5189169849846231,0.9525,1.0,0.0,0.5,rl_policy;evolutionary_gp;graph_hybrid;rag_hybrid
pysr;qlattice;ragsr;tpsr,0.7527937808241941,0.94575,0.5758423020769563,0.7871347077324382,0.8067226890756303,0.510230198133061,0.94875,1.0,0.0,0.5,evolutionary_gp;graph_hybrid;rag_hybrid;pretrained_neural
dso;e2esr;pysr;ragsr,0.7505433725483812,0.88575,0.6689348158381142,0.780894577927833,0.7130252100840336,0.5189600360476738,0.8887499999999999,1.0,0.0,0.5,rl_policy;pretrained_neural;evolutionary_gp;rag_hybrid
imcts;pyoperon;pysr;ragsr,0.7495872562885444,0.95375,0.5962592714218674,0.7833372165503596,0.8184873949579832,0.5132912296139386,0.95875,0.75,0.0,0.5,mcts;evolutionary_gp;evolutionary_gp;rag_hybrid
gplearn;imcts;pysr;udsr,0.7490768243395828,0.98825,0.6343599099274482,0.5969544314507788,0.8848739495798319,0.5887330212335746,0.99125,1.0,0.0,0.5,classic_gp;mcts;evolutionary_gp;rl_hybrid
imcts;ragsr;tpsr;udsr,0.7485768845364011,0.96,0.5592278283878449,0.7814795090935835,0.7970588235294118,0.5175967043447955,0.96,1.0,0.0,0.5,mcts;rag_hybrid;pretrained_neural;rl_hybrid
dso;pysr;tpsr;udsr,0.7466685913701072,0.982,0.6101662078722473,0.6287687002987173,0.8789915966386554,0.5755562887591081,0.985,1.0,0.0,0.5,rl_policy;evolutionary_gp;pretrained_neural;rl_hybrid
gplearn;pysr;qlattice;ragsr,0.7458777296595103,0.952,0.5672118249326543,0.7585772873091398,0.8126050420168067,0.5175820809981578,0.955,1.0,0.0,0.5,classic_gp;evolutionary_gp;graph_hybrid;rag_hybrid
e2esr;imcts;pysr;udsr,0.7432207952269829,0.9119999999999999,0.6825783255432282,0.6568329891404991,0.7735294117647059,0.5981927702836745,0.915,1.0,0.0,0.5,pretrained_neural;mcts;evolutionary_gp;rl_hybrid
imcts;pysr;qlattice;udsr,0.7428934052456329,0.97575,0.5895311884779897,0.6600772593681797,0.8457983193277311,0.5981497192206238,0.97875,1.0,0.0,0.5,mcts;evolutionary_gp;graph_hybrid;rl_hybrid
e2esr;gplearn;pysr;ragsr,0.7428913194421646,0.88825,0.6602589619978929,0.7420778162866764,0.7403361344537815,0.5176251320612085,0.89125,1.0,0.0,0.5,pretrained_neural;classic_gp;evolutionary_gp;rag_hybrid
gplearn;pysr;tpsr;udsr,0.7424175066258307,0.9844999999999999,0.601490354032026,0.6035558121053207,0.9063025210084034,0.574221384772643,0.9875,1.0,0.0,0.5,classic_gp;evolutionary_gp;pretrained_neural;rl_hybrid
dso;imcts;pysr;udsr,0.7420356213812871,0.98575,0.6430357637676696,0.5769981688338865,0.857563025210084,0.5900679252200399,0.98875,1.0,0.0,0.5,rl_policy;mcts;evolutionary_gp;rl_hybrid
pyoperon;pysr;ragsr;udsr,0.7418157652772255,0.95375,0.5958926578331003,0.7644148722509835,0.7911764705882354,0.5366055855262871,0.95875,0.75,0.0,0.5,evolutionary_gp;evolutionary_gp;rag_hybrid;rl_hybrid
gplearn;imcts;pysr;tpsr,0.738015280861603,0.9844999999999999,0.601856967620793,0.5737832893025102,0.9336134453781513,0.5509070288602944,0.9875,1.0,0.0,0.5,classic_gp;mcts;evolutionary_gp;pretrained_neural
gplearn;imcts;ragsr;udsr,0.7379105671454327,0.96625,0.5505973512435429,0.7379210237651471,0.8029411764705883,0.5249485872098925,0.96625,1.0,0.0,0.5,classic_gp;mcts;rag_hybrid;rl_hybrid
e2esr;pysr;ragsr;tpsr,0.7359659548657265,0.882,0.6688894391421949,0.7652695737454862,0.7344537815126051,0.5102732491961117,0.885,0.75,0.0,0.5,pretrained_neural;evolutionary_gp;rag_hybrid;pretrained_neural
e2esr;pysr;qlattice;ragsr,0.7357190346419756,0.87575,0.6154302405484343,0.8012451813791212,0.7012605042016806,0.5270418300482577,0.8787499999999999,1.0,0.0,0.5,pretrained_neural;evolutionary_gp;graph_hybrid;rag_hybrid
dso;imcts;pysr;tpsr,0.7346495821300332,0.982,0.6105328214610144,0.5685290435925213,0.9063025210084034,0.5522419328467597,0.985,1.0,0.0,0.5,rl_policy;mcts;evolutionary_gp;pretrained_neural
dso;gplearn;pysr;udsr,0.7342158778339584,0.98825,0.6015357307279452,0.5780646303895587,0.8848739495798319,0.582908171624205,0.99125,1.0,0.0,0.5,rl_policy;classic_gp;evolutionary_gp;rl_hybrid
pysr;qlattice;tpsr;udsr,0.7331366859162722,0.972,0.5566616325825674,0.6542890335602876,0.8672268907563025,0.5836380827596921,0.975,1.0,0.0,0.5,evolutionary_gp;graph_hybrid;pretrained_neural;rl_hybrid
imcts;pysr;qlattice;tpsr,0.7327675582573452,0.972,0.5570282461713345,0.6406489031786808,0.8945378151260504,0.5603237268473436,0.975,1.0,0.0,0.5,mcts;evolutionary_gp;graph_hybrid;pretrained_neural
gplearn;imcts;ragsr;tpsr,0.7318208739542734,0.9625,0.5180944089368877,0.7346372827641607,0.8516806722689075,0.4871225948366122,0.9625,1.0,0.0,0.5,classic_gp;mcts;rag_hybrid;pretrained_neural
imcts;pyoperon;pysr;udsr,0.7313411588291372,0.98,0.5770786019274784,0.6561355321722676,0.8789915966386554,0.5866991142405695,0.985,0.75,0.0,0.5,mcts;evolutionary_gp;evolutionary_gp;rl_hybrid
dso;pyoperon;pysr;ragsr,0.7303842094670937,0.95375,0.5634350922223644,0.7470790142258341,0.8184873949579832,0.5074663800045689,0.95875,0.75,0.0,0.5,rl_policy;evolutionary_gp;evolutionary_gp;rag_hybrid
gplearn;pyoperon;pysr;ragsr,0.7300844389399302,0.95625,0.5547592383821431,0.73767138290089,0.8457983193277311,0.5061314760181037,0.9612499999999999,0.75,0.0,0.5,classic_gp;evolutionary_gp;evolutionary_gp;rag_hybrid
e2esr;imcts;ragsr;udsr,0.7283608749987787,0.89,0.5988157668593229,0.7830249293186513,0.6915966386554622,0.5344083362599922,0.89,1.0,0.0,0.5,pretrained_neural;mcts;rag_hybrid;rl_hybrid
gplearn;ragsr;tpsr;udsr,0.728031269753558,0.9625,0.5177277953481206,0.7316424857071993,0.8243697478991596,0.5104369507489607,0.9625,1.0,0.0,0.5,classic_gp;rag_hybrid;pretrained_neural;rl_hybrid
pyoperon;pysr;ragsr;tpsr,0.7273639333200439,0.95,0.5633897155264451,0.7276825761859075,0.8399159663865546,0.49877959315300685,0.955,0.75,0.0,0.5,evolutionary_gp;evolutionary_gp;rag_hybrid;pretrained_neural
dso;pysr;qlattice;udsr,0.7266399855700411,0.97575,0.5567070092784867,0.6356175656270905,0.8457983193277311,0.5923248696112542,0.97875,1.0,0.0,0.5,rl_policy;evolutionary_gp;graph_hybrid;rl_hybrid
dso;e2esr;pysr;udsr,0.7230938943498753,0.9119999999999999,0.6497541463437252,0.616879370593346,0.7735294117647059,0.5923679206743049,0.915,1.0,0.0,0.5,rl_policy;pretrained_neural;evolutionary_gp;rl_hybrid
imcts;qlattice;ragsr;udsr,0.7229889985267626,0.95375,0.5057686297940843,0.766091253583668,0.7638655462184873,0.5343652851969415,0.95375,1.0,0.0,0.5,mcts;graph_hybrid;rag_hybrid;rl_hybrid
dso;gplearn;pysr;tpsr,0.7218324896238492,0.9844999999999999,0.56903278842129,0.5496061093127728,0.9336134453781513,0.5450821792509248,0.9875,1.0,0.0,0.5,rl_policy;classic_gp;evolutionary_gp;pretrained_neural
dso;gplearn;imcts;pysr,0.7213463931263928,0.98825,0.6019023443167123,0.514423071813397,0.9121848739495798,0.5595938157118565,0.99125,1.0,0.0,0.5,rl_policy;classic_gp;mcts;evolutionary_gp
dso;ragsr;tpsr;udsr,0.7205159948481181,0.96,0.5264036491883419,0.7097899353017298,0.7970588235294118,0.511771854735426,0.96,1.0,0.0,0.5,rl_policy;rag_hybrid;pretrained_neural;rl_hybrid
dso;imcts;ragsr;udsr,0.7191030045374205,0.96375,0.5592732050837642,0.6708993225493889,0.7756302521008404,0.5262834911963576,0.96375,1.0,0.0,0.5,rl_policy;mcts;rag_hybrid;rl_hybrid
e2esr;pyoperon;pysr;ragsr,0.7178936552887396,0.88,0.6029776539979231,0.7722109224362464,0.7344537815126051,0.5155912250682034,0.885,0.75,0.0,0.5,pretrained_neural;evolutionary_gp;evolutionary_gp;rag_hybrid
imcts;qlattice;ragsr;tpsr,0.7178350018252957,0.95,0.47326568748742914,0.7665502985414513,0.8126050420168067,0.49653929282366127,0.95,1.0,0.0,0.5,mcts;graph_hybrid;rag_hybrid;pretrained_neural
e2esr;imcts;pysr;tpsr,0.7178250663768514,0.90825,0.650075383236573,0.626325105503624,0.8222689075630252,0.5603667779103942,0.91125,0.75,0.0,0.5,pretrained_neural;mcts;evolutionary_gp;pretrained_neural
dso;imcts;pysr;qlattice,0.7178035989677765,0.97575,0.5570736228672537,0.5881083994721326,0.873109243697479,0.5690105136989057,0.97875,1.0,0.0,0.5,rl_policy;mcts;evolutionary_gp;graph_hybrid
gplearn;pysr;qlattice;udsr,0.7177735967084805,0.97825,0.5480311554382653,0.5919434609645581,0.873109243697479,0.5909899656247889,0.98125,1.0,0.0,0.5,classic_gp;evolutionary_gp;graph_hybrid;rl_hybrid
dso;e2esr;imcts;pysr,0.7168905215709437,0.9119999999999999,0.6501207599324923,0.5799022597317197,0.8008403361344538,0.5690535647619563,0.915,1.0,0.0,0.5,rl_policy;pretrained_neural;mcts;evolutionary_gp
imcts;pyoperon;pysr;tpsr,0.716863881817021,0.97625,0.5445756596208232,0.6193014558874529,0.9277310924369748,0.5488731218672893,0.98125,0.75,0.0,0.5,mcts;evolutionary_gp;evolutionary_gp;pretrained_neural
dso;imcts;ragsr;tpsr,0.7166888155729871,0.96,0.526770262777109,0.6823175984553057,0.8243697478991596,0.48845749882307743,0.96,1.0,0.0,0.5,rl_policy;mcts;rag_hybrid;pretrained_neural
gplearn;imcts;pysr;qlattice,0.7165539935820624,0.97825,0.5483977690270324,0.5749014287129857,0.9004201680672268,0.5676756097124404,0.98125,1.0,0.0,0.5,classic_gp;mcts;evolutionary_gp;graph_hybrid
dso;gplearn;ragsr;udsr,0.7160822569305756,0.96625,0.5177731720440399,0.6911617678669969,0.8029411764705883,0.5191237376005228,0.96625,1.0,0.0,0.5,rl_policy;classic_gp;rag_hybrid;rl_hybrid
imcts;pyoperon;ragsr;udsr,0.7156425445296994,0.958,0.49331604324357314,0.7289726960654846,0.7970588235294118,0.5229146802168874,0.96,1.0,0.0,0.5,mcts;evolutionary_gp;rag_hybrid;rl_hybrid
e2esr;pysr;tpsr;udsr,0.7155611802124453,0.90825,0.6497087696478059,0.629433180591899,0.7949579831932774,0.5836811338227428,0.91125,0.75,0.0,0.5,pretrained_neural;evolutionary_gp;pretrained_neural;rl_hybrid
e2esr;gplearn;imcts;pysr,0.7154529174426906,0.9145,0.641444906092271,0.5659432940024174,0.8281512605042016,0.567718660775491,0.9175,1.0,0.0,0.5,pretrained_neural;classic_gp;mcts;evolutionary_gp
dso;pysr;qlattice;tpsr,0.7151922938496242,0.972,0.5242040669718315,0.6109018305090742,0.8945378151260504,0.5544988772379739,0.975,1.0,0.0,0.5,rl_policy;evolutionary_gp;graph_hybrid;pretrained_neural
pyoperon;pysr;tpsr;udsr,0.7149383110863471,0.97625,0.5442090460320562,0.6237627927106568,0.9004201680672269,0.5721874777796379,0.98125,0.75,0.0,0.5,evolutionary_gp;evolutionary_gp;pretrained_neural;rl_hybrid
e2esr;gplearn;pysr;udsr,0.7140395067457758,0.9145,0.6410782925035039,0.572453270960658,0.8008403361344538,0.5910330166878396,0.9175,1.0,0.0,0.5,pretrained_neural;classic_gp;evolutionary_gp;rl_hybrid
pyoperon;pysr;qlattice;ragsr,0.7138566574680497,0.94375,0.5099305169326845,0.7606167613065689,0.8067226890756303,0.5155481740051527,0.94875,0.75,0.0,0.5,evolutionary_gp;evolutionary_gp;graph_hybrid;rag_hybrid
e2esr;gplearn;imcts;ragsr,0.7135838231199132,0.8925,0.5576823474083656,0.7440985378022774,0.746218487394958,0.5039342267518088,0.8925,1.0,0.0,0.5,pretrained_neural;classic_gp;mcts;rag_hybrid
dso;gplearn;imcts;ragsr,0.7114046021879531,0.96625,0.5181397856328069,0.6602875291506072,0.8302521008403361,0.4958093816881743,0.96625,1.0,0.0,0.5,rl_policy;classic_gp;mcts;rag_hybrid
e2esr;imcts;pysr;qlattice,0.7109973548591823,0.9019999999999999,0.5966161846428124,0.6359775479615853,0.7890756302521008,0.5771353587625402,0.905,1.0,0.0,0.5,pretrained_neural;mcts;evolutionary_gp;graph_hybrid
dso;pyoperon;pysr;udsr,0.7109138836881719,0.98,0.5442544227279754,0.6149804165696836,0.8789915966386554,0.5808742646312,0.985,0.75,0.0,0.5,rl_policy;evolutionary_gp;evolutionary_gp;rl_hybrid
gplearn;imcts;tpsr;udsr,0.7105405912936157,0.98875,0.4989137394424987,0.5952988575810676,0.9121848739495798,0.5605304794632432,0.98875,1.0,0.0,0.5,classic_gp;mcts;pretrained_neural;rl_hybrid
gplearn;imcts;pyoperon;pysr,0.7102868739263081,0.9824999999999999,0.5359451824765212,0.5921002085600386,0.9336134453781513,0.5562250047323862,0.9875,0.75,0.0,0.5,classic_gp;mcts;evolutionary_gp;evolutionary_gp
qlattice;ragsr;tpsr;udsr,0.7100122995192796,0.95,0.47289907389866204,0.7474231090632862,0.7852941176470588,0.5198536487360098,0.95,1.0,0.0,0.5,graph_hybrid;rag_hybrid;pretrained_neural;rl_hybrid
