algorithm_a,algorithm_b,spearman_combined_log_score,overlap_dataset_count,complementarity_score
e2esr,ragsr,-0.0010981350769609772,117,0.998901864923039
qlattice,ragsr,0.025864251886010364,167,0.9741357481139896
pysr,ragsr,-0.03845312864479941,174,0.9615468713552006
imcts,ragsr,0.053331690874998956,175,0.946668309125001
gplearn,ragsr,-0.07100194089856687,177,0.9289980591014331
ragsr,tpsr,0.12584138267134978,172,0.8741586173286502
ragsr,udsr,0.1596598132191732,175,0.8403401867808268
dso,ragsr,0.16654842748943735,175,0.8334515725105627
pyoperon,ragsr,0.23416251682678277,173,0.7658374831732172
pysr,qlattice,0.2404004226887548,187,0.7595995773112452
pyoperon,pysr,0.2496377056958991,192,0.7503622943041008
pysr,udsr,0.2721317508849504,196,0.7278682491150497
tpsr,udsr,0.2903781268869914,193,0.7096218731130086
dso,pysr,0.30840755529226527,196,0.6915924447077347
e2esr,imcts,0.3122998168665787,138,0.6877001831334213
imcts,tpsr,0.3243520912782974,193,0.6756479087217027
e2esr,pysr,0.33670198165568804,136,0.663298018344312
imcts,udsr,0.35755984050768824,197,0.6424401594923117
pysr,tpsr,0.3576377272208198,192,0.6423622727791802
imcts,pyoperon,0.3619841109559545,193,0.6380158890440455
imcts,pysr,0.36240754769940764,196,0.6375924523005924
imcts,qlattice,0.3823139515469992,188,0.6176860484530008
e2esr,udsr,0.4179011275426918,138,0.5820988724573082
qlattice,udsr,0.42472293046312143,188,0.5752770695368785
gplearn,udsr,0.4382675981487951,198,0.5617324018512049
dso,qlattice,0.4404738901178871,188,0.5595261098821129
pyoperon,udsr,0.45946585122249434,193,0.5405341487775057
dso,e2esr,0.46342330427385087,137,0.5365766957261491
gplearn,pyoperon,0.4854627102340207,195,0.5145372897659792
qlattice,tpsr,0.4889948404936365,187,0.5110051595063635
gplearn,imcts,0.4926529737598947,198,0.5073470262401053
gplearn,pysr,0.49525370029459126,197,0.5047462997054087
dso,tpsr,0.4986745811321911,193,0.5013254188678089
dso,udsr,0.5001580567904779,197,0.49984194320952213
e2esr,pyoperon,0.5066809974823908,136,0.4933190025176092
dso,gplearn,0.5173935562515681,198,0.48260644374843187
dso,pyoperon,0.5203165806958113,193,0.4796834193041887
gplearn,tpsr,0.5249962239319279,195,0.4750037760680721
e2esr,tpsr,0.5486502022574647,138,0.45134979774253525
e2esr,qlattice,0.5500109917730597,133,0.4499890082269403
gplearn,qlattice,0.5775628317324386,190,0.4224371682675614
e2esr,gplearn,0.6050242157093351,139,0.39497578429066493
pyoperon,tpsr,0.6281720818249042,190,0.37182791817509575
pyoperon,qlattice,0.6477814064183404,185,0.35221859358165963
dso,imcts,0.737346235821891,197,0.26265376417810904
