dataset_id,dataset_name,algorithm,seed,host,task_label,status,termination_reason,timeout_type,budget_exhausted,recovered_from_timeout,seconds,train_nmse,valid_nmse,id_nmse,ood_nmse,id_r2,ood_r2,has_expression,artifact_valid,normalized_expression,instantiated_expression,variables,operator_set,ast_node_count,tree_depth,n_features,feature_names,target_name,inject_prompt_semantics,llm_model_assignment,llm_config_path,background_preview,result_path
g0001,feynman-iii.15.12,drsr,1314,anon-node-02,g0001_feynman-iii.15.12,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3901.248,1.0,1.0,1.0,1.0,-0.03058590972083941,-16.730838479464435,True,True,c0*x0*exp(c1*x2)*exp(c2*x3),0.5077461797660359*x0*exp(-0.5050777698592848*x2)*exp(-0.7487348612121858*x3),x0;x2;x3,exp;mul,11.0,4.0,5,x0;x1;x2;x3;x4,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b.config,"Calculate the Energy given Amplitude, Propagation coefficient, Lattice constant There are 5 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic role ""A, Amplitude""; ",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-02/drsr/g0001_feynman-iii.15.12/result.json
g0002,feynman-iii.15.14,drsr,1314,anon-node-03,g0002_feynman-iii.15.14,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3901.125,0.9991740324801992,0.9993589241808709,0.9993361360503533,7.29536263211029,-0.1046948847084388,-6.3324471494111405,True,True,c0*x0/(c1*x1),-0.9433312282992439*x0/(-0.8538392278159899*x1),x0;x1,mul;pow,9.0,3.0,3,x0;x1;x2,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b_turbo.config,"Calculate the Effective mass given Planck constant, Amplitude There are 3 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic role ""A, Amplitude""; 1 variable with se",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-03/drsr/g0002_feynman-iii.15.14/result.json
g0003,feynman-ii.11.20,drsr,1314,anon-node-04,g0003_feynman-ii.11.20,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3906.214,0.9974659885819551,0.9971514499675067,1.0099502964620797,0.9999894677783134,-0.00997433491280586,-0.0001419415293970605,True,True,c0 + c1*x0*x1 + c2*x1**2/x2 + c3*x1*x3,-0.6893244142625308 + 21.22711719254924*x0*x1 + 0.32688304293738857*x1**2/x2 + 0.8650903860525023*x1*x3,x0;x1;x2;x3,add;mul;pow,18.0,4.0,4,x0;x1;x2;x3,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b.config,"Calculate the Polarizability given Number of atom, Electric dipole moment, Magnitude of electric field, Boltzmann constant",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-04/drsr/g0003_feynman-ii.11.20/result.json
g0004,feynman-iii.12.43,drsr,1314,anon-node-05,g0004_feynman-iii.12.43,ok,completed,not_timeout,False,False,3612.192,7.427689081321026e+70,7.507215613994719e+70,7.305563165516736e+70,2.3522246987925176e+74,-2.961263476056086e+71,-4.627993572118724e+74,True,True,c0 + c1*x0 + c2*x1 + c3*x2,0.2739233746429086 + -0.4604265724722594*x0 + -0.27536655264431825*x1 + -5.00046601573184e-13*x2,x0;x1;x2,add;mul,11.0,3.0,3,x0;x1;x2,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b_turbo.config,"Calculate the Spin magnetic moment given Spin state There are 3 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic role ""m, Spin state""; 2 distractor/meaningless va",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-05/drsr/g0004_feynman-iii.12.43/result.json
g0005,feynman-ii.11.27,drsr,1314,anon-node-02,g0005_feynman-ii.11.27,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3901.123,1546286.486961507,1732055.5770300864,1620757.538553237,1514335.384917573,-1752941.5994846516,-37318650.85950799,True,True,c0 + c1*x0*x1*x2,2.2567712372697576e-13 + -1.1041561120432014e-08*x0*x1*x2,x0;x1;x2,add;mul,7.0,3.0,3,x0;x1;x2,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b.config,"Calculate the Polarizability given Number of atom, Molecular polarizability, Vacuum permittivity",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-02/drsr/g0005_feynman-ii.11.27/result.json
g0006,feynman-ii.11.27,drsr,1314,anon-node-03,g0006_feynman-ii.11.27,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3901.156,1.0,1.0,1.0,1.0,-0.08155757964358101,-34.68824950862891,True,True,c0*x2/(c1*x1 + c2*x0),0.6423532953914739*x2/(-0.37221943860489004*x1 + 0.034482236688588186*x0),x0;x1;x2,add;mul;pow,12.0,5.0,5,x0;x1;x2;x3;x4,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b_turbo.config,"Calculate the Polarizability given Number of atom, Molecular polarizability, Vacuum permittivity There are 5 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic role",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-03/drsr/g0006_feynman-ii.11.27/result.json
g0007,CRK22,drsr,1314,anon-node-04,g0007_CRK22,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3901.391,5.62250783654965e-08,5.0438043267744655e-08,6.068496509345761e-08,0.06234892033598501,0.9999999268055705,-2.93785330380548,True,True,c0 + c1*x0 + c2*x0**2 + c3*x1 + c4*x0*x1 + c5*x1**2 + c6*x1*exp(-c7*x0),-0.0050555002356835145 + -8.201991194837733e-05*x0 + -2.195915667225095e-06*x0**2 + -0.16989393976025235*x1 + 0.01012209439967139*x0*x1 + -0.04124615303341812*x1**2 + -0.09329538405819054*x1*exp(-0.9870562148496321*x0),x0;x1,add;exp;mul;pow,30.0,5.0,2,t;A,dA_dt,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b.config,Calculate Rate of change of concentration in chemistry reaction kinetics given Time and Concentration at time t,/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-04/drsr/g0007_CRK22/result.json
g0008,feynman-ii.34.29a,drsr,1314,anon-node-05,g0008_feynman-ii.34.29a,ok,completed,not_timeout,False,False,3611.183,1.0,1.0,1.0,1.0,-0.00012646612510325284,-4.7567569660955655e-08,True,True,c0*x0/(c1*x1),0.2739233746429086*x0/(-0.4604265724722594*x1),x0;x1,mul;pow,9.0,3.0,3,x0;x1;x2,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b_turbo.config,"Calculate the Bohr magneton given Electric charge, Planck constant There are 3 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic role ""h, Planck constant""; 1 varia",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-05/drsr/g0008_feynman-ii.34.29a/result.json
g0009,feynman-ii.15.4,drsr,1314,anon-node-02,g0009_feynman-ii.15.4,ok,completed,not_timeout,False,False,3609.578,72.25248183493869,55.53643141899455,61.76247875530441,4.155712010314423,-60.77480384581794,-3.156304634697107,True,True,-c0*x0*cos(x1),-0.2739233746429086*x0*cos(x1),x0;x1,cos;mul,6.0,3.0,6,x0;x1;x2;x3;x4;x5,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b.config,"Calculate the Energy from magnetic field given Magnetic dipole moment, Magnetic field strength, Angle There are 6 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-02/drsr/g0009_feynman-ii.15.4/result.json
g0010,feynman-bonus.7,drsr,1314,anon-node-03,g0010_feynman-bonus.7,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3901.24,9325329.566571709,8217265.611239751,10884711.977763716,39746693.92633132,-15036632.638443574,-107500338.77925454,True,True,c0 + c1*exp(c2*x0) + c3*x0*x1 + c4,0.06650384197688859 + 0.4829054233481913*exp(-0.7925462395481349*x0) + -0.363579267736033*x0*x1 + -0.5494092653250591,x0;x1,add;exp;mul,13.0,5.0,3,x0;x1;x2,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b_turbo.config,"Calculate the Hubble's constant given Gravitational constant, Density of the universe, Spacetime curvature",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-03/drsr/g0010_feynman-bonus.7/result.json
