algorithm,family,n,semantic_rows_with_metrics,nonsemantic_rows_with_metrics,median_log10_train_nonsemantic,median_log10_train_semantic,median_delta_log10_train,mean_delta_log10_train,train_better_ge_2x,train_similar_within_2x,train_worse_ge_2x,median_log10_valid_nonsemantic,median_log10_valid_semantic,median_delta_log10_valid,mean_delta_log10_valid,valid_better_ge_2x,valid_similar_within_2x,valid_worse_ge_2x,median_log10_id_nonsemantic,median_log10_id_semantic,median_delta_log10_id,mean_delta_log10_id,id_better_ge_2x,id_similar_within_2x,id_worse_ge_2x,median_log10_ood_nonsemantic,median_log10_ood_semantic,median_delta_log10_ood,mean_delta_log10_ood,ood_better_ge_2x,ood_similar_within_2x,ood_worse_ge_2x
drsr,keijzer,6,6,6,-0.5400486254957206,-3.505283265269539,-2.5466785734269166,-3.7371372124308535,6,0,0,-0.0006926941104194728,-2.4042504071572317,-2.1406938624424505,-3.5524488292322114,5,1,0,-0.29545701778476424,-3.0498146008770375,-2.3848169061995566,-3.6564800365049375,6,0,0,-0.30355880134726876,-2.7811621774682704,-1.8767496938957964,-3.0155010835595744,4,1,1
drsr,korns,9,9,9,-0.6166649983102095,-1.0855207530779207,-0.04809147076482834,-0.3619730862471329,3,6,0,-0.40185921160544563,-0.5857601441881313,-0.06364283766951795,-0.22221275919398686,1,8,0,-0.5280332539548864,-0.5107885058309527,0.0,-0.04017495341898204,1,8,0,-0.5089098557631974,-0.43981581099678324,0.052150079933611426,0.11070120933030678,0,8,1
drsr,llm-srbench,70,70,70,-0.9266248471619718,-3.1977606455338727,-2.6242615193981633,-2.9484137215389903,47,19,3,-0.895262147818841,-2.936863855390908,-2.6280273968085353,-2.8398652804461255,47,19,4,-0.8984148240083814,-2.8975343137575544,-2.5793378633753266,-2.8413647553396655,47,19,4,-0.04669703958599379,-0.9125200318701249,-2.255398797453119,-2.5427665306298555,43,18,9
drsr,nguyen,6,6,6,-2.395736043957614,-9.147696945930022,-6.265808979399168,-5.810668978696551,6,0,0,-1.6399502588793267,-6.998861159961409,-4.384596379121501,-4.835291129424761,6,0,0,-1.7111828980561148,-8.276065782160327,-5.413278587229635,-5.281978814990719,6,0,0,-1.8054269386092137,-4.059278383369059,-2.877457970605536,-2.8215844899104408,6,0,0
drsr,srbench1.0,33,33,33,-0.9195937244573467,-3.0476691137830696,-1.896858573127913,-5.633542896330757,29,4,0,-0.9066914947802981,-3.23688467123351,-1.9388513241293837,-5.676157992692603,28,5,0,-0.9102386638945869,-3.14887941779506,-2.017511935835625,-5.670590300068661,28,5,0,-0.27589379948508796,-3.596484288233812,-3.0207510690515518,-5.815132331366675,23,10,0
drsr,srbench2025,6,6,6,-3.322444865282611,-3.438924807758206,-0.37246566349899624,-1.0605782946533404,3,3,0,-1.1562637167102543,-3.249973848119483,-0.14007880490682667,-1.0839282751569497,2,4,0,-2.0503015305858323,-3.5544200956067393,-0.2688018876630398,-1.3982727615525345,3,2,1,-2.119343450743123,-3.5253973910880685,-0.9877042628670867,-1.1859121090179043,4,2,0
drsr,srsd,70,70,70,12.0,-0.0006052548894809684,-9.312458925763842,-7.846629205349073,48,21,1,12.0,-0.00018882332415837334,-9.58260987536828,-7.8743746614003225,48,21,1,12.0,-3.448254554374608e-05,-9.618054704189085,-7.898540174656738,48,21,1,12.0,0.0,-11.222777420868049,-7.67154255052169,50,19,1
llmsr,keijzer,6,6,6,-0.5400486539370128,-5.574792876864424,-3.633372101402147,-5.164035060172783,5,1,0,-0.0007175820706242023,-5.182206817745724,-3.314149821955205,-5.33013989129032,5,1,0,-0.2954758029250704,-5.188353592099274,-3.312717170757773,-5.139329453897536,5,1,0,-0.303576790129623,-4.7356265470913215,-3.0537689449074836,-4.774515022569434,4,1,1
llmsr,korns,9,9,9,-0.6181578774759356,-1.1486174319817088,-0.24749676351964353,-1.110256226610528,4,5,0,-0.4018582379501159,-0.47024857684484245,-0.06839033889472657,0.4050380512265188,2,6,1,-0.530528571969211,-0.61069384987194,0.0,-0.7840788139316514,3,5,1,-0.523707788929993,-0.5369307972064978,0.0,-0.7220135521936345,2,6,1
llmsr,llm-srbench,70,67,70,-1.044863358938304,-4.324013201401594,-2.41152036477279,-2.9154445067170656,55,15,0,-0.9938539200341214,-4.235983737329148,-2.4214429102026758,-2.896943535833742,55,15,0,-1.0038615464620468,-4.290280475450009,-2.4054397145390816,-2.9108725295143656,55,15,0,-0.10642497388728367,-1.5389366586866673,-2.236923812072666,-2.4441240204266084,49,13,5
llmsr,nguyen,6,6,6,-2.3957360431849475,-7.309560844113881,-4.350100201567281,-5.138999243214979,6,0,0,-1.6399433562067656,-5.995839290956761,-3.4614133807853564,-4.311925046950053,6,0,0,-1.7111730158205771,-5.966224098439052,-4.444385862424221,-4.449501121469862,6,0,0,-1.8054179601016433,-3.557495832002984,-2.010906649885303,-3.0314955415599116,6,0,0
llmsr,srbench1.0,33,33,33,-0.9195937244454964,-12.0,-10.657912264380329,-7.976049468827431,33,0,0,-0.9066916851181233,-12.0,-10.563131232369525,-8.052503779472893,33,0,0,-0.9102376711222525,-12.0,-10.606024384685963,-8.033670703318027,33,0,0,-0.2758962871211457,-12.0,-11.387109129912378,-8.247863087617175,29,4,0
llmsr,srbench2025,6,6,6,-3.3224448653388725,-3.5697739576095646,-3.9789632806103876,-5.050721081005474,5,1,0,-1.1564701708462253,-3.26672413769019,-3.4101752706650843,-4.755477053702431,4,2,0,-2.050154368305136,-3.339740976965922,-2.5282578026174676,-4.586771908274074,3,2,1,-2.119322850857057,-2.685749173217121,-2.2981121308265333,-4.223184253754115,4,1,1
llmsr,srsd,70,69,70,12.0,-0.18928471740020036,-12.000086454029947,-10.947066725502555,58,12,0,12.0,-0.17482453514821022,-12.000037930987514,-10.946724523543805,58,12,0,12.0,-0.1803236251030149,-12.000000041435744,-10.934775766113967,58,12,0,12.0,-4.5860422395984165e-07,-11.99995098665672,-10.431270036605985,57,12,0
