dataset_id,dataset_name,family,srsd_variant,algorithm,status,termination_reason,timeout_type,budget_exhausted,recovered_from_timeout,seconds,train_nmse_nonsemantic,train_nmse_semantic,delta_log10_train_nmse_semantic_minus_nonsemantic,train_outcome_2x,valid_nmse_nonsemantic,valid_nmse_semantic,delta_log10_valid_nmse_semantic_minus_nonsemantic,valid_outcome_2x,id_nmse_nonsemantic,id_nmse_semantic,delta_log10_id_nmse_semantic_minus_nonsemantic,id_outcome_2x,ood_nmse_nonsemantic,ood_nmse_semantic,delta_log10_ood_nmse_semantic_minus_nonsemantic,ood_outcome_2x,normalized_expression,instantiated_expression,variables,operator_set,ast_node_count,tree_depth,n_features,feature_names,target_name,inject_prompt_semantics,llm_model_assignment,background_preview,result_path,dataset_name_semantic,seed,host,task_label,id_r2,ood_r2,has_expression,artifact_valid,llm_config_path,log10_train_nmse_nonsemantic_clipped,log10_train_nmse_semantic_clipped,log10_valid_nmse_nonsemantic_clipped,log10_valid_nmse_semantic_clipped,log10_id_nmse_nonsemantic_clipped,log10_id_nmse_semantic_clipped,log10_ood_nmse_nonsemantic_clipped,log10_ood_nmse_semantic_clipped
g0001,feynman-iii.15.12,srsd,medium dummy,drsr,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3901.248,9.309367244232915e+97,1.0,-12.0,semantic_better_ge_2x,5.240412356582742e+97,1.0,-12.0,semantic_better_ge_2x,2.2429389689741032e+98,1.0,-12.0,semantic_better_ge_2x,8.920169963472895e+94,1.0,-12.0,semantic_better_ge_2x,c0*x0*exp(c1*x2)*exp(c2*x3),0.5077461797660359*x0*exp(-0.5050777698592848*x2)*exp(-0.7487348612121858*x3),x0;x2;x3,exp;mul,11.0,4.0,5,x0;x1;x2;x3;x4,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct,"Calculate the Energy given Amplitude, Propagation coefficient, Lattice constant There are 5 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic role ""A, Amplitude""; ",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-02/drsr/g0001_feynman-iii.15.12/result.json,feynman-iii.15.12,1314,anon-node-02,g0001_feynman-iii.15.12,-0.03058590972083941,-16.730838479464435,True,True,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b.config,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0
g0002,feynman-iii.15.14,srsd,medium dummy,drsr,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3901.125,1.5134395715606734e+73,0.9991740324801992,-12.000358861360406,semantic_better_ge_2x,1.419625746350137e+73,0.9993589241808709,-12.000278504971671,semantic_better_ge_2x,1.5753573279763504e+73,0.9993361360503533,-12.000288408192562,semantic_better_ge_2x,1.5911917615161264e+78,7.29536263211029,-11.136953115667689,semantic_better_ge_2x,c0*x0/(c1*x1),-0.9433312282992439*x0/(-0.8538392278159899*x1),x0;x1,mul;pow,9.0,3.0,3,x0;x1;x2,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"Calculate the Effective mass given Planck constant, Amplitude There are 3 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic role ""A, Amplitude""; 1 variable with se",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-03/drsr/g0002_feynman-iii.15.14/result.json,feynman-iii.15.14,1314,anon-node-03,g0002_feynman-iii.15.14,-0.1046948847084388,-6.3324471494111405,True,True,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b_turbo.config,12.0,-0.0003588613604050705,12.0,-0.0002785049716721416,12.0,-0.0002884081925626415,12.0,0.8630468843323111
g0003,feynman-ii.11.20,srsd,hard non-dummy,drsr,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3906.214,4709934864.679041,0.9974659885819551,-9.674116805046406,semantic_better_ge_2x,21032266114.110035,0.9971514499675067,-10.324124943011453,semantic_better_ge_2x,37586032372.40695,1.0099502964620797,-10.57072648246915,semantic_better_ge_2x,10.542106510638677,0.9999894677783134,-1.0229319738420373,semantic_better_ge_2x,c0 + c1*x0*x1 + c2*x1**2/x2 + c3*x1*x3,-0.6893244142625308 + 21.22711719254924*x0*x1 + 0.32688304293738857*x1**2/x2 + 0.8650903860525023*x1*x3,x0;x1;x2;x3,add;mul;pow,18.0,4.0,4,x0;x1;x2;x3,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct,"Calculate the Polarizability given Number of atom, Electric dipole moment, Magnitude of electric field, Boltzmann constant",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-04/drsr/g0003_feynman-ii.11.20/result.json,feynman-ii.11.20,1314,anon-node-04,g0003_feynman-ii.11.20,-0.00997433491280586,-0.0001419415293970605,True,True,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b.config,9.673014901161578,-0.001101903884827904,10.322886068113444,-0.0012388748980083479,10.575026483476144,0.00430000100699356,1.0229273997321888,-4.574109848468926e-06
g0004,feynman-iii.12.43,srsd,easy dummy,drsr,ok,completed,not_timeout,False,False,3612.192,1.472008431533256e+70,7.427689081321026e+70,0.0,similar_within_2x,1.489629580012284e+70,7.507215613994719e+70,0.0,similar_within_2x,1.4459206416854168e+70,7.305563165516736e+70,0.0,similar_within_2x,4.6606433233690835e+73,2.3522246987925176e+74,0.0,similar_within_2x,c0 + c1*x0 + c2*x1 + c3*x2,0.2739233746429086 + -0.4604265724722594*x0 + -0.27536655264431825*x1 + -5.00046601573184e-13*x2,x0;x1;x2,add;mul,11.0,3.0,3,x0;x1;x2,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"Calculate the Spin magnetic moment given Spin state There are 3 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic role ""m, Spin state""; 2 distractor/meaningless va",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-05/drsr/g0004_feynman-iii.12.43/result.json,feynman-iii.12.43,1314,anon-node-05,g0004_feynman-iii.12.43,-2.961263476056086e+71,-4.627993572118724e+74,True,True,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b_turbo.config,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
g0005,feynman-ii.11.27,srsd,hard non-dummy,drsr,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3901.123,2.4821981211962547e+55,1546286.486961507,-5.810710039408685,semantic_better_ge_2x,4.3533044042613247e+55,1732055.5770300864,-5.76143817674694,semantic_better_ge_2x,3.074144656533845e+55,1620757.538553237,-5.790281949706883,semantic_better_ge_2x,1.9815934812881035e+53,1514335.384917573,-5.819777929533182,semantic_better_ge_2x,c0 + c1*x0*x1*x2,2.2567712372697576e-13 + -1.1041561120432014e-08*x0*x1*x2,x0;x1;x2,add;mul,7.0,3.0,3,x0;x1;x2,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct,"Calculate the Polarizability given Number of atom, Molecular polarizability, Vacuum permittivity",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-02/drsr/g0005_feynman-ii.11.27/result.json,feynman-ii.11.27,1314,anon-node-02,g0005_feynman-ii.11.27,-1752941.5994846516,-37318650.85950799,True,True,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b.config,12.0,6.189289960591315,12.0,6.23856182325306,12.0,6.209718050293117,12.0,6.180222070466818
g0006,feynman-ii.11.27,srsd,hard dummy,drsr,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3901.156,3.651266161911009e+79,1.0,-12.0,semantic_better_ge_2x,6.403627820459413e+79,1.0,-12.0,semantic_better_ge_2x,4.522008243836789e+79,1.0,-12.0,semantic_better_ge_2x,2.90589675805927e+77,1.0,-12.0,semantic_better_ge_2x,c0*x2/(c1*x1 + c2*x0),0.6423532953914739*x2/(-0.37221943860489004*x1 + 0.034482236688588186*x0),x0;x1;x2,add;mul;pow,12.0,5.0,5,x0;x1;x2;x3;x4,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"Calculate the Polarizability given Number of atom, Molecular polarizability, Vacuum permittivity There are 5 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic role",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-03/drsr/g0006_feynman-ii.11.27/result.json,feynman-ii.11.27,1314,anon-node-03,g0006_feynman-ii.11.27,-0.08155757964358101,-34.68824950862891,True,True,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b_turbo.config,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0
g0007,CRK22,llm-srbench,,drsr,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3901.391,0.0273868420418569,5.62250783654965e-08,-5.68761188751955,semantic_better_ge_2x,0.0233767436991854,5.0438043267744655e-08,-5.666025785422427,semantic_better_ge_2x,0.0354574046500537,6.068496509345761e-08,-5.766625837223222,semantic_better_ge_2x,1622.0583739350102,0.06234892033598501,-4.415237541931608,semantic_better_ge_2x,c0 + c1*x0 + c2*x0**2 + c3*x1 + c4*x0*x1 + c5*x1**2 + c6*x1*exp(-c7*x0),-0.0050555002356835145 + -8.201991194837733e-05*x0 + -2.195915667225095e-06*x0**2 + -0.16989393976025235*x1 + 0.01012209439967139*x0*x1 + -0.04124615303341812*x1**2 + -0.09329538405819054*x1*exp(-0.9870562148496321*x0),x0;x1,add;exp;mul;pow,30.0,5.0,2,t;A,dA_dt,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct,Calculate Rate of change of concentration in chemistry reaction kinetics given Time and Concentration at time t,/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-04/drsr/g0007_CRK22/result.json,CRK22,1314,anon-node-04,g0007_CRK22,0.9999999268055705,-2.93785330380548,True,True,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b.config,-1.5624580430605703,-7.25006993058012,-1.6312159847039815,-7.2972417701264085,-1.4502930563101357,-7.216918893533357,3.2100664793582983,-1.2051710625733099
g0008,feynman-ii.34.29a,srsd,medium dummy,drsr,ok,completed,not_timeout,False,False,3611.183,8.002775537776554e+62,1.0,-12.0,semantic_better_ge_2x,9.034333737390213e+62,1.0,-12.0,semantic_better_ge_2x,9.080970343133372e+62,1.0,-12.0,semantic_better_ge_2x,1.5915887042987066e+68,1.0,-12.0,semantic_better_ge_2x,c0*x0/(c1*x1),0.2739233746429086*x0/(-0.4604265724722594*x1),x0;x1,mul;pow,9.0,3.0,3,x0;x1;x2,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"Calculate the Bohr magneton given Electric charge, Planck constant There are 3 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic role ""h, Planck constant""; 1 varia",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-05/drsr/g0008_feynman-ii.34.29a/result.json,feynman-ii.34.29a,1314,anon-node-05,g0008_feynman-ii.34.29a,-0.00012646612510325284,-4.7567569660955655e-08,True,True,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b_turbo.config,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0
g0009,feynman-ii.15.4,srsd,easy dummy,drsr,ok,completed,not_timeout,False,False,3609.578,6.514997888392776e+72,72.25248183493869,-10.141147230527029,semantic_better_ge_2x,5.315257402060877e+72,55.53643141899455,-10.25542202996622,semantic_better_ge_2x,6.131967056551592e+72,61.76247875530441,-10.209275282488573,semantic_better_ge_2x,9.57480522884313e+66,4.155712010314423,-11.38135455655878,semantic_better_ge_2x,-c0*x0*cos(x1),-0.2739233746429086*x0*cos(x1),x0;x1,cos;mul,6.0,3.0,6,x0;x1;x2;x3;x4;x5,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct,"Calculate the Energy from magnetic field given Magnetic dipole moment, Magnetic field strength, Angle There are 6 candidate variables in an unknown order. The unordered semantic-role multiset is: 1 variable with semantic",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-02/drsr/g0009_feynman-ii.15.4/result.json,feynman-ii.15.4,1314,anon-node-02,g0009_feynman-ii.15.4,-60.77480384581794,-3.156304634697107,True,True,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b.config,12.0,1.8588527694729717,12.0,1.7445779700337791,12.0,1.7907247175114274,12.0,0.6186454434412202
g0010,feynman-bonus.7,srsd,hard non-dummy,drsr,ok,budget_exhausted_with_output,budget_exhausted_with_output,True,True,3901.24,6.981618217924408e+62,9325329.566571709,-5.030335810842136,semantic_better_ge_2x,6.177444018614103e+62,8217265.611239751,-5.085272674857772,semantic_better_ge_2x,8.770547355043866e+62,10884711.977763716,-4.963183058411848,semantic_better_ge_2x,2.9440798569500437e+64,39746693.92633132,-4.400698989504711,semantic_better_ge_2x,c0 + c1*exp(c2*x0) + c3*x0*x1 + c4,0.06650384197688859 + 0.4829054233481913*exp(-0.7925462395481349*x0) + -0.363579267736033*x0*x1 + -0.5494092653250591,x0;x1,add;exp;mul,13.0,5.0,3,x0;x1;x2,y,True,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"Calculate the Hubble's constant given Gravitational constant, Density of the universe, Spacetime curvature",/home/anonymous/projects/scientific-intelligent-modelling/experiments/semantic200_llm_physics_v2_4host_seed1314_20260429-205250/drsr/anon-node-03/drsr/g0010_feynman-bonus.7/result.json,feynman-bonus.7,1314,anon-node-03,g0010_feynman-bonus.7,-15036632.638443574,-107500338.77925454,True,True,/home/anonymous/projects/scientific-intelligent-modelling/exp-planning/02.E1选择验证/llm_configs/benchmark_llm_deepinfra_llama31_8b_turbo.config,12.0,6.969664189157864,12.0,6.914727325142228,12.0,7.036816941588152,12.0,7.599301010495289
