change_type,dataset_id,dataset_name,family,srsd_variant,algorithm,ood_nmse_nonsemantic,ood_nmse_semantic,delta_log10_ood_nmse_semantic_minus_nonsemantic,ood_outcome_2x,normalized_expression,llm_model_assignment
best_ood_semantic_improvements,g0017,feynman-ii.11.28,srsd,hard non-dummy,drsr,3.1845821539568555e+25,6.5751196058829905e-15,-24.0,semantic_better_ge_2x,c0 + c1*x0*x1,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct
best_ood_semantic_improvements,g0021,feynman-i.14.3,srsd,easy dummy,drsr,6.521833733593752e+16,9.722981426372259e-20,-24.0,semantic_better_ge_2x,c0*x0**2 + c1*x0*x1 + c2*x1**3,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct
best_ood_semantic_improvements,g0025,feynman-bonus.4,srsd,hard dummy,drsr,2.074818008722648e+51,1.84410708523722e-30,-24.0,semantic_better_ge_2x,sqrt((2*x1 - 2*x3)/x0),deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct
best_ood_semantic_improvements,g0026,feynman-bonus.4,srsd,hard non-dummy,drsr,3.0309295975948985e+42,2.2351166775425346e-30,-24.0,semantic_better_ge_2x,sqrt((2*x1 - 2*x2)/x0),deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo
best_ood_semantic_improvements,g0046,feynman-ii.15.4,srsd,easy non-dummy,drsr,9.348702264622304e+20,2.4135151640882717e-31,-24.0,semantic_better_ge_2x,-x0*x1*cos(x2),deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo
best_ood_semantic_improvements,g0011,feynman-i.25.13,srsd,easy dummy,llmsr,1.4112838271401897e+41,1.4981547589532991e-27,-24.0,semantic_better_ge_2x,c0*x0/x1,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct
best_ood_semantic_improvements,g0012,feynman-i.26.2,srsd,easy dummy,llmsr,1.0719436889739973e+43,1.1547034873770513e-15,-24.0,semantic_better_ge_2x,c0 + c1*sin(x0)/sin(x1) + c2*sin(x0)/sin(x2) + c3*sin(x1)/sin(x3),deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo
best_ood_semantic_improvements,g0019,feynman-ii.15.5,srsd,easy dummy,llmsr,1.627842367410219e+56,1.8569020795698514e-32,-24.0,semantic_better_ge_2x,-x0*x1*cos(x2),deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct
best_ood_semantic_improvements,g0021,feynman-i.14.3,srsd,easy dummy,llmsr,1.455853583922583e+25,1.5398781156476027e-19,-24.0,semantic_better_ge_2x,c0*x0*x1,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct
best_ood_semantic_improvements,g0026,feynman-bonus.4,srsd,hard non-dummy,llmsr,4.287945467619695e+51,2.2351166775425346e-30,-24.0,semantic_better_ge_2x,sqrt(c2*x3**2/(x0*x4**2) + (2*c0*x1 - 2*c1*x2)/x0),deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo
best_ood_semantic_improvements,g0028,feynman-i.18.16,srsd,easy dummy,llmsr,2.3247365509544128e+29,1.193257665606226e-16,-24.0,semantic_better_ge_2x,c0*x0*x1*x3 + c1*x0**2*x3*sin(x4) + c2*x0*x1*x3*sin(x4),deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo
best_ood_semantic_improvements,g0046,feynman-ii.15.4,srsd,easy non-dummy,llmsr,2.654693424606557e+31,2.4135151640882717e-31,-24.0,semantic_better_ge_2x,-x0*x1*cos(x2),deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo
best_ood_semantic_improvements,g0010,feynman-bonus.7,srsd,hard non-dummy,llmsr,6.484578768895854e+72,0.007655768051679407,-14.116011232937806,semantic_better_ge_2x,199866666.666667*sqrt(6)*sqrt(pi)*sqrt(c0*x0/(c1*x2)),deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo
best_ood_semantic_improvements,g0084,feynman-ii.21.32,srsd,medium dummy,llmsr,5.270915230682227e+19,0.01584861918375119,-13.800008569850036,semantic_better_ge_2x,8987500000.0*c0*x0/x2**2,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo
best_ood_semantic_improvements,g0030,feynman-bonus.8,srsd,medium dummy,drsr,8.665982793851704e+19,0.03744226472321955,-13.426637890514833,semantic_better_ge_2x,c0*x0 + c1*x1,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo
best_ood_semantic_improvements,g0041,feynman-bonus.11,srsd,hard dummy,llmsr,1.7533345172873276e+30,0.07763656821536834,-13.109933670064567,semantic_better_ge_2x,c0*x0*sin(2*pi*x2/x4)*sin(2*pi*x3/x4) + c1*x0*x5 + c2*x0*x6 + c3*x0*x4 + c4*x0*x1 + c5*x0*exp(-x4/x1) + c6*x0*cos(2*pi*x2/x4) + c7*x0**2*x1 + c8*x0**2*x2,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct
best_ood_semantic_improvements,g0016,first_principles_newton,srbench2025,,llmsr,1.8856443405617524e+54,0.09315682283830268,-13.030785331723045,semantic_better_ge_2x,c0/x0**2 + c1,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo
best_ood_semantic_improvements,g0075,feynman-bonus.3,srsd,hard dummy,llmsr,7.367928834140184e+22,0.18343815686362702,-12.736510321928236,semantic_better_ge_2x,c0*x0*(-c1*x1 + 1)/(c1*x1*cos(x2 - x3) + 1),deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct
best_ood_semantic_improvements,g0014,feynman-i.14.4,srsd,easy dummy,llmsr,2.240945804184612e+42,0.30870546010285166,-12.510455689042141,semantic_better_ge_2x,0.5*c0*x0**2*x1**2,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo
best_ood_semantic_improvements,g0042,feynman-bonus.5,srsd,hard non-dummy,llmsr,1.0611802290182132e+33,0.3133568027805564,-12.5039608725996,semantic_better_ge_2x,2*pi*sqrt(x0**3/(x1*x2))*(c0*x0 + c1*x1 + c2*x2 + 1),deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo
worst_ood_semantic_regressions,g0138,I.50.26_0_0,llm-srbench,,llmsr,8.728039202521936,8.757776461114725e+143,11.059083311755105,semantic_worse_ge_2x,c0*(c1*x0 + c2*x0**2 + 1)*exp(-c3*x1**2) + c4*x2**c5 + c6*x3*sin(x1*x2),deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo
worst_ood_semantic_regressions,g0111,CRK16,llm-srbench,,drsr,5866.65043310559,13167843989.936838,6.3511244610984425,semantic_worse_ge_2x,c0 + 1.0*x0,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct
worst_ood_semantic_regressions,g0168,CRK34,llm-srbench,,drsr,99.96136008317951,4954439.453850464,4.695162368902738,semantic_worse_ge_2x,c0/x0 + c1*x1,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo
worst_ood_semantic_regressions,g0194,II.21.32_2_0,llm-srbench,,llmsr,0.999967641100688,39152.13697214146,4.592769524890552,semantic_worse_ge_2x,c0*sqrt(x4**2/(x0**2*x2**2)) + c1*x3/x4**2 + c2*x1/(x0*x2) + c3*x0/x2**2 + c4*x3**2/x4**2 + c5*x1**2/(x0**2*x2**2),deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo
worst_ood_semantic_regressions,g0083,feynman-i.12.11,srsd,medium dummy,drsr,287341777.2441238,7.515958820984188e+33,3.5416012264008216,semantic_worse_ge_2x,c0*x2 + c1*x0 + c2*x1*x3,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct
worst_ood_semantic_regressions,g0112,CRK15,llm-srbench,,llmsr,0.000133821010753,0.02921845169391778,2.339132892849827,semantic_worse_ge_2x,c0*exp(-c1*x0) + c2*x1**3 - c3*x0**2 + c4*sin(c5*x0) + c6*cos(c7*x1) + c8*tanh(c9*x0),deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo
worst_ood_semantic_regressions,g0112,CRK15,llm-srbench,,drsr,0.0001325118787478,0.01544909907517959,2.0666483468879093,semantic_worse_ge_2x,-c0*c2*x1*exp(-c1*x0) + c3*log(x1 + 1.0e-6) + c4*x0**2 + c5*x1**2 + c6*x0*x1,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo
worst_ood_semantic_regressions,g0187,I.11.19_1_0,llm-srbench,,drsr,0.2769672958251022,27.93913605423411,2.0037844817554804,semantic_worse_ge_2x,x0*x2 + x1*x3 + x4,deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct
worst_ood_semantic_regressions,g0131,II.6.15b_3_0,llm-srbench,,drsr,0.304820901817463,10.015753598961714,1.5166388881532455,semantic_worse_ge_2x,c0 + c1*x0/(4*pi*x1*x2*sin(x3)),deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct
worst_ood_semantic_regressions,g0200,Korns-3,korns,,llmsr,0.9960949848077948,8.539735004297397,0.9331436408524364,semantic_worse_ge_2x,c0*(x0 + x1) + c1*x2**2 + c2*x3/(x4 + 1) + c3*sin(x0*x1) + c4*x0*x2 + c5*x1*x3 + c6*x2*x4 + c7*x3*x4 + c8*exp(-(x0 - x1)**2) + c9*cos(x2*x3),deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo
worst_ood_semantic_regressions,g0099,Keijzer-2,keijzer,,drsr,1.2522690672742394,8.503034938597539,0.8318763105193361,semantic_worse_ge_2x,c0 + c1*Abs(x0) + c2*x0**2 + c3*sin(x0) + c4*cos(x0) + c5*x0**3 + c6*x0**4 + c7*exp(x0) + c8*exp(-x0) + c9*sin(x0**2),deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct
worst_ood_semantic_regressions,g0200,Korns-3,korns,,drsr,0.996052494508719,6.6621092146813154,0.8253295205260741,semantic_worse_ge_2x,c6*c7*(c0 + c1*x0 + c2*x1 + c3*x2)/(c8*(c9 + x4)),deepinfra/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo
