tool,machine,wave,global_index,slice_index,dataset_name,dataset_dir,dataset_rel,family,subgroup,basename,pool,selection_mode,candidate_advantage_side,train_csv,valid_csv,id_test_csv,ood_test_csv,metadata_yaml,formula_py
dso,anon-node-05,W4,117,1,PO37,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO37,sim-datasets-data/llm-srbench/phys_osc/PO37,llm-srbench,llm-srbench/phys_osc,PO37,A,strict,llmsr,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO37/train.csv,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO37/valid.csv,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO37/id_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO37/ood_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO37/metadata.yaml,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO37/formula.py
dso,anon-node-05,W4,118,2,BPG14,/home/anonymous/sim-datasets-data/llm-srbench/bio_pop_growth/BPG14,sim-datasets-data/llm-srbench/bio_pop_growth/BPG14,llm-srbench,llm-srbench/bio_pop_growth,BPG14,A,strict,llmsr,/home/anonymous/sim-datasets-data/llm-srbench/bio_pop_growth/BPG14/train.csv,/home/anonymous/sim-datasets-data/llm-srbench/bio_pop_growth/BPG14/valid.csv,/home/anonymous/sim-datasets-data/llm-srbench/bio_pop_growth/BPG14/id_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/bio_pop_growth/BPG14/ood_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/bio_pop_growth/BPG14/metadata.yaml,/home/anonymous/sim-datasets-data/llm-srbench/bio_pop_growth/BPG14/formula.py
dso,anon-node-05,W4,119,3,first_principles_kepler,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_kepler,sim-datasets-data/srbench2025/firstprinciples/first_principles_kepler,srbench2025,srbench2025/firstprinciples,first_principles_kepler,A,strict,llmsr,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_kepler/train.csv,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_kepler/valid.csv,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_kepler/id_test.csv,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_kepler/ood_test.csv,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_kepler/metadata.yaml,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_kepler/formula.py
dso,anon-node-05,W4,120,4,feynman_test_8,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_test_8,sim-datasets-data/srbench1.0/feynman/feynman_test_8,srbench1.0,srbench1.0/feynman,feynman_test_8,A,relaxed,llmsr,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_test_8/train.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_test_8/valid.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_test_8/id_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_test_8/ood_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_test_8/metadata.yaml,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_test_8/formula.py
dso,anon-node-05,W4,121,5,CRK6,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK6,sim-datasets-data/llm-srbench/chem_react/CRK6,llm-srbench,llm-srbench/chem_react,CRK6,A,strict,llmsr,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK6/train.csv,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK6/valid.csv,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK6/id_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK6/ood_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK6/metadata.yaml,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK6/formula.py
dso,anon-node-05,W4,122,6,feynman_I_27_6,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_I_27_6,sim-datasets-data/srbench1.0/feynman/feynman_I_27_6,srbench1.0,srbench1.0/feynman,feynman_I_27_6,A,relaxed,llmsr,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_I_27_6/train.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_I_27_6/valid.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_I_27_6/id_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_I_27_6/ood_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_I_27_6/metadata.yaml,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_I_27_6/formula.py
dso,anon-node-05,W4,123,7,feynman_I_6_2,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_I_6_2,sim-datasets-data/srbench1.0/feynman/feynman_I_6_2,srbench1.0,srbench1.0/feynman,feynman_I_6_2,A,relaxed,llmsr,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_I_6_2/train.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_I_6_2/valid.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_I_6_2/id_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_I_6_2/ood_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_I_6_2/metadata.yaml,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_I_6_2/formula.py
dso,anon-node-05,W4,124,8,I.13.12_3_0,/home/anonymous/sim-datasets-data/llm-srbench/lsrtransform/I.13.12_3_0,sim-datasets-data/llm-srbench/lsrtransform/I.13.12_3_0,llm-srbench,llm-srbench/lsrtransform,I.13.12_3_0,A,relaxed,llmsr,/home/anonymous/sim-datasets-data/llm-srbench/lsrtransform/I.13.12_3_0/train.csv,/home/anonymous/sim-datasets-data/llm-srbench/lsrtransform/I.13.12_3_0/valid.csv,/home/anonymous/sim-datasets-data/llm-srbench/lsrtransform/I.13.12_3_0/id_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/lsrtransform/I.13.12_3_0/ood_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/lsrtransform/I.13.12_3_0/metadata.yaml,/home/anonymous/sim-datasets-data/llm-srbench/lsrtransform/I.13.12_3_0/formula.py
dso,anon-node-05,W4,125,9,II.36.38_5_0,/home/anonymous/sim-datasets-data/llm-srbench/lsrtransform/II.36.38_5_0,sim-datasets-data/llm-srbench/lsrtransform/II.36.38_5_0,llm-srbench,llm-srbench/lsrtransform,II.36.38_5_0,A,relaxed,llmsr,/home/anonymous/sim-datasets-data/llm-srbench/lsrtransform/II.36.38_5_0/train.csv,/home/anonymous/sim-datasets-data/llm-srbench/lsrtransform/II.36.38_5_0/valid.csv,/home/anonymous/sim-datasets-data/llm-srbench/lsrtransform/II.36.38_5_0/id_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/lsrtransform/II.36.38_5_0/ood_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/lsrtransform/II.36.38_5_0/metadata.yaml,/home/anonymous/sim-datasets-data/llm-srbench/lsrtransform/II.36.38_5_0/formula.py
dso,anon-node-05,W4,126,10,feynman_I_6_2b,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_I_6_2b,sim-datasets-data/srbench1.0/feynman/feynman_I_6_2b,srbench1.0,srbench1.0/feynman,feynman_I_6_2b,A,relaxed,llmsr,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_I_6_2b/train.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_I_6_2b/valid.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_I_6_2b/id_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_I_6_2b/ood_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_I_6_2b/metadata.yaml,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_I_6_2b/formula.py
dso,anon-node-05,W4,127,11,feynman_test_7,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_test_7,sim-datasets-data/srbench1.0/feynman/feynman_test_7,srbench1.0,srbench1.0/feynman,feynman_test_7,A,relaxed,llmsr,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_test_7/train.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_test_7/valid.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_test_7/id_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_test_7/ood_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_test_7/metadata.yaml,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_test_7/formula.py
