wave,tool,host,task_count,workers,conda_env,slice_rel,params_rel,remote_job_rel,session
W1,gplearn,anon-node-01,50,32,sim_base,exp-planning/02.E1选择验证/generated/slices/W1/gplearn/anon-node-01.csv,exp-planning/02.E1选择验证/generated/params/gplearn.json,exp-planning/02.E1选择验证/generated/remote_jobs/W1/gplearn_anon-node-01.sh,e1_w1_gplearn_22
W1,gplearn,anon-node-02,50,32,sim_base,exp-planning/02.E1选择验证/generated/slices/W1/gplearn/anon-node-02.csv,exp-planning/02.E1选择验证/generated/params/gplearn.json,exp-planning/02.E1选择验证/generated/remote_jobs/W1/gplearn_anon-node-02.sh,e1_w1_gplearn_23
W1,gplearn,anon-node-03,50,32,sim_base,exp-planning/02.E1选择验证/generated/slices/W1/gplearn/anon-node-03.csv,exp-planning/02.E1选择验证/generated/params/gplearn.json,exp-planning/02.E1选择验证/generated/remote_jobs/W1/gplearn_anon-node-03.sh,e1_w1_gplearn_24
W1,gplearn,anon-node-04,50,32,sim_base,exp-planning/02.E1选择验证/generated/slices/W1/gplearn/anon-node-04.csv,exp-planning/02.E1选择验证/generated/params/gplearn.json,exp-planning/02.E1选择验证/generated/remote_jobs/W1/gplearn_anon-node-04.sh,e1_w1_gplearn_25
W1,llmsr,anon-node-05,50,25,sim_llm,exp-planning/02.E1选择验证/generated/slices/W1/llmsr/anon-node-05.csv,exp-planning/02.E1选择验证/generated/params/llmsr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W1/llmsr_anon-node-05.sh,e1_w1_llmsr_26
W1,llmsr,anon-node-06,50,25,sim_llm,exp-planning/02.E1选择验证/generated/slices/W1/llmsr/anon-node-06.csv,exp-planning/02.E1选择验证/generated/params/llmsr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W1/llmsr_anon-node-06.sh,e1_w1_llmsr_27
W1,llmsr,anon-node-07,50,25,sim_llm,exp-planning/02.E1选择验证/generated/slices/W1/llmsr/anon-node-07.csv,exp-planning/02.E1选择验证/generated/params/llmsr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W1/llmsr_anon-node-07.sh,e1_w1_llmsr_28
W1,llmsr,anon-node-08,50,25,sim_llm,exp-planning/02.E1选择验证/generated/slices/W1/llmsr/anon-node-08.csv,exp-planning/02.E1选择验证/generated/params/llmsr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W1/llmsr_anon-node-08.sh,e1_w1_llmsr_29
W2,pyoperon,anon-node-01,50,24,sim_base,exp-planning/02.E1选择验证/generated/slices/W2/pyoperon/anon-node-01.csv,exp-planning/02.E1选择验证/generated/params/pyoperon.json,exp-planning/02.E1选择验证/generated/remote_jobs/W2/pyoperon_anon-node-01.sh,e1_w2_pyoperon_22
W2,pyoperon,anon-node-02,50,24,sim_base,exp-planning/02.E1选择验证/generated/slices/W2/pyoperon/anon-node-02.csv,exp-planning/02.E1选择验证/generated/params/pyoperon.json,exp-planning/02.E1选择验证/generated/remote_jobs/W2/pyoperon_anon-node-02.sh,e1_w2_pyoperon_23
