wave,tool,host,global_index,dataset_name,dataset_dir,task_key,status,seconds,result_relpath,source_result_path,rerun_reason,archive_error
W1,gplearn,anon-node-01,1,feynman-iii.15.12,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12|seed=1314,timed_out,3609.061,results/W1/gplearn/anon-node-01/g0001_feynman-iii.15.12/result.json,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/anon-node-01/gplearn/feynman-iii.15.12/result.json,,
W1,gplearn,anon-node-01,2,feynman-iii.15.14,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.14,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.14|seed=1314,timed_out,3608.935,results/W1/gplearn/anon-node-01/g0002_feynman-iii.15.14/result.json,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/anon-node-01/gplearn/feynman-iii.15.14/result.json,,
W1,gplearn,anon-node-01,3,feynman-ii.11.20,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20|seed=1314,timed_out,3609.211,results/W1/gplearn/anon-node-01/g0003_feynman-ii.11.20/result.json,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/anon-node-01/gplearn/feynman-ii.11.20/result.json,,
W1,gplearn,anon-node-01,4,feynman-iii.12.43,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-iii.12.43,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-iii.12.43|seed=1314,timed_out,3608.15,results/W1/gplearn/anon-node-01/g0004_feynman-iii.12.43/result.json,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/anon-node-01/gplearn/feynman-iii.12.43/result.json,,
W1,gplearn,anon-node-01,5,feynman-ii.11.27,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27|seed=1314,timed_out,3608.971,results/W1/gplearn/anon-node-01/g0005_feynman-ii.11.27/result.json,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/anon-node-01/gplearn/feynman-ii.11.27/result.json,,
W1,gplearn,anon-node-01,6,feynman-ii.11.27,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27|seed=1314,timed_out,3608.176,results/W1/gplearn/anon-node-01/g0006_feynman-ii.11.27/result.json,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/anon-node-01/gplearn/feynman-ii.11.27/result.json,,
W1,gplearn,anon-node-01,7,CRK22,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK22,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK22|seed=1314,timed_out,3608.198,results/W1/gplearn/anon-node-01/g0007_CRK22/result.json,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/anon-node-01/gplearn/CRK22/result.json,,
W1,gplearn,anon-node-01,8,feynman-ii.34.29a,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.34.29a,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.34.29a|seed=1314,timed_out,3608.922,results/W1/gplearn/anon-node-01/g0008_feynman-ii.34.29a/result.json,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/anon-node-01/gplearn/feynman-ii.34.29a/result.json,,
W1,gplearn,anon-node-01,9,feynman-ii.15.4,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4|seed=1314,timed_out,3608.324,results/W1/gplearn/anon-node-01/g0009_feynman-ii.15.4/result.json,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/anon-node-01/gplearn/feynman-ii.15.4/result.json,,
W1,gplearn,anon-node-01,10,feynman-bonus.7,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.7,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.7|seed=1314,timed_out,3608.034,results/W1/gplearn/anon-node-01/g0010_feynman-bonus.7/result.json,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/anon-node-01/gplearn/feynman-bonus.7/result.json,,
