wave,tool,host,expected,done,ok,timed_out,error,missing,raw_status_lines,extra_task_keys
W1,gplearn,anon-node-01,50,50,0,50,0,0,51,0
W1,gplearn,anon-node-02,50,50,0,50,0,0,50,0
W1,gplearn,anon-node-03,50,50,0,50,0,0,50,0
W1,gplearn,anon-node-04,50,50,0,50,0,0,50,0
W1,llmsr,anon-node-05,50,50,45,5,0,0,50,0
W1,llmsr,anon-node-06,50,50,49,1,0,0,50,0
W1,llmsr,anon-node-07,50,50,50,0,0,0,50,0
W1,llmsr,anon-node-08,50,50,49,1,0,0,50,0
W2,pyoperon,anon-node-01,50,50,50,0,0,0,200,0
W2,pyoperon,anon-node-02,50,50,50,0,0,0,200,0
W2,pyoperon,anon-node-03,50,50,50,0,0,0,200,0
W2,pyoperon,anon-node-04,50,50,50,0,0,0,200,0
W2,drsr,anon-node-05,50,50,0,50,0,0,50,0
W2,drsr,anon-node-06,50,50,0,50,0,0,50,0
W2,drsr,anon-node-07,50,50,0,50,0,0,50,0
W2,drsr,anon-node-08,50,50,0,50,0,0,50,0
W3,pysr,anon-node-01,50,50,0,50,0,0,50,0
W3,pysr,anon-node-02,50,50,0,50,0,0,50,0
W3,pysr,anon-node-03,50,50,0,50,0,0,50,0
W3,pysr,anon-node-04,50,50,0,50,0,0,50,0
W4,dso,anon-node-01,29,29,4,25,0,0,33,2
W4,dso,anon-node-02,29,29,9,20,0,0,33,2
W4,dso,anon-node-03,29,29,7,22,0,0,29,0
W4,dso,anon-node-04,29,29,0,29,0,0,29,0
W4,dso,anon-node-05,28,28,3,25,0,0,28,0
W4,dso,anon-node-06,28,28,0,28,0,0,28,0
W4,dso,anon-node-07,28,28,5,23,0,0,28,0
W5,tpsr,anon-node-01,50,50,9,41,0,0,50,0
W5,tpsr,anon-node-02,50,50,13,37,0,0,50,0
W5,tpsr,anon-node-03,50,50,10,40,0,0,50,0
W5,tpsr,anon-node-04,50,50,5,45,0,0,50,0
