method,seed,done,failed,running,pending,artifact_present_runs,valid_output_runs,metric_complete_runs,has_expression_runs
dso,520,659,5,0,0,664,640,640,664
dso,521,657,7,0,0,664,640,640,664
dso,522,661,3,0,0,664,650,650,664
imcts,520,664,0,0,0,664,656,656,664
imcts,521,664,0,0,0,664,652,652,664
imcts,522,664,0,0,0,664,655,655,664
pyoperon,520,662,2,0,0,664,595,595,662
pyoperon,521,662,2,0,0,664,576,576,662
pyoperon,522,648,16,0,0,664,575,575,648
udsr,520,664,0,0,0,664,659,659,664
udsr,521,664,0,0,0,664,658,658,664
udsr,522,664,0,0,0,664,660,660,664
