dataset_id,dataset_name,family,subgroup,metadata_class,dataset_rel,basename,formula_identity,method_norm,n_expected_seeds,n_observed_rows,n_finished_seeds,n_evaluable_seeds,n_valid_finite_seeds,n_valid_extreme_seeds,n_valid_total_seeds,n_invalid_seeds,n_timeout_seeds,n_not_finished_seeds,n_wrong_dataset_seeds,completion_rate,evaluable_rate,valid_rate,valid_rate_over_expected,invalid_rate,timeout_rate,extreme_error_rate,median_log_train_nmse,median_log_valid_nmse,median_log_id_nmse,median_log_ood_nmse,iqr_log_id_nmse,iqr_log_ood_nmse,median_id_r2,median_ood_r2,median_runtime,p95_runtime,median_complexity,iqr_complexity,median_tree_depth,dominant_run_outcome_class,dominant_failure_reason
g0001,BPG0,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG0,BPG0,llm-srbench/bio_pop_growth/BPG0,dso,3,3,3,3,3,0,3,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-2.992281023355993,-2.926856790659189,-2.9690210451540757,0.0,0.5264157735160335,0.0,0.9987802215041205,-0.051985526507697166,1548.35,3102.5402,13.0,5.0,4.0,valid_finite_result,none
g0001,BPG0,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG0,BPG0,llm-srbench/bio_pop_growth/BPG0,imcts,3,3,3,3,3,0,3,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-5.331211713580807,-5.274282019877363,-5.335647498776544,-2.8100179276087687,0.23728235276086895,1.3198519440956198,0.9999947560985769,0.9983707345909008,3601.346,3601.8608,17.0,17.0,5.0,valid_finite_result,none
g0001,BPG0,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG0,BPG0,llm-srbench/bio_pop_growth/BPG0,pyoperon,3,3,3,3,3,0,3,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.868795862948492,-0.848154181076235,-0.8270677834827673,2.5296917919451514,0.4699494449301995,0.8851490421627828,0.8308647092374214,-355.20626749924753,6.208,15.972099999999998,14.0,2.0,8.0,valid_finite_result,none
g0001,BPG0,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG0,BPG0,llm-srbench/bio_pop_growth/BPG0,udsr,3,3,3,3,3,0,3,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-8.793503149833553,-8.779728556360396,-8.686094451856023,-4.256714289564736,0.24553274495854183,0.18315310182043198,0.9999999976600447,0.9999417500609655,3602.554,3603.7024,52.0,1.0,5.0,valid_finite_result,none
g0002,BPG1,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG1,BPG1,llm-srbench/bio_pop_growth/BPG1,dso,3,3,3,3,3,0,3,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-3.1656430234165764,-3.1990015097795252,-3.2033752287119275,-3.178288691819723,0.043764749603470765,0.02450601926321827,0.998358186048053,0.7387535340889928,1386.132,2799.2148,21.0,5.0,9.0,valid_finite_result,none
g0002,BPG1,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG1,BPG1,llm-srbench/bio_pop_growth/BPG1,imcts,3,3,3,3,3,0,3,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-5.194796801873202,-5.222044246203915,-5.192153478649441,-3.68290585169828,2.65261078185689,1.9253184071011284,0.9999831521032633,0.9182602576904481,3601.347,3601.7169,22.0,11.0,7.0,valid_finite_result,none
g0002,BPG1,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG1,BPG1,llm-srbench/bio_pop_growth/BPG1,pyoperon,3,3,3,3,3,0,3,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-3.4593637400727717,-3.5435811568446667,-3.470680764115269,-3.230797533942556,0.34672685122544955,0.9215888770391167,0.9991128063871915,0.7685050177253783,6.258,6.8367,10.0,2.5,4.0,valid_finite_result,none
g0002,BPG1,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG1,BPG1,llm-srbench/bio_pop_growth/BPG1,udsr,3,3,3,3,3,0,3,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-10.163890977401545,-10.137235262021422,-10.12775786605436,-6.3839505412544195,0.5640135923045246,0.9608831918652081,0.9999999998045924,0.9998372996172245,3601.475,3610.4102,52.0,4.0,7.0,valid_finite_result,none
g0003,BPG10,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG10,BPG10,llm-srbench/bio_pop_growth/BPG10,dso,3,3,3,3,3,0,3,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-4.292740441364949,-4.2944272400284085,-4.310285985576688,-5.107538412242311,0.4127101340716308,0.9200913700547453,0.9999202529378357,0.999729054658472,1204.935,2458.446,16.0,6.0,7.0,valid_finite_result,none
g0003,BPG10,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG10,BPG10,llm-srbench/bio_pop_growth/BPG10,imcts,3,3,3,3,3,0,3,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-7.196607628217067,-7.1669352515241345,-7.1925458707942855,-6.397700972024874,0.3585261392699888,0.3277439463036238,0.9999998954185142,0.9999861094600255,3601.76,3602.7473,10.0,2.0,4.0,valid_finite_result,none
