dataset_id,global_index,dataset_name,family,subgroup,metadata_class,dataset_rel,basename,formula_identity,feature_count,target_name,train_samples,valid_samples,id_test_samples,ood_test_samples,formula_char_count,formula_operator_count,formula_return_expr,expected_probe_methods,expected_total_runs,observed_methods,completed_methods,valid_methods,finished_runs,valid_runs,invalid_runs,timeout_runs,valid_extreme_error_runs,wrong_dataset_runs,not_finished_runs,completion_rate,dataset_valid_rate,dataset_invalid_rate,dataset_timeout_rate,dataset_extreme_error_rate,mean_median_log_id_nmse,mean_median_log_ood_nmse,median_log_id_nmse_across_probes,median_log_ood_nmse_across_probes,mean_iqr_log_id_nmse,mean_iqr_log_ood_nmse,max_iqr_log_ood_nmse,id_probe_variance,ood_probe_variance,ood_id_gap_variance,pairwise_gap_mean,pairwise_gap_max,valid_pattern_entropy,rank_entropy,winner_probe,winner_margin,worst_probe,semantic_duplicate_group,formula_hash,operator_group,difficulty_score,instability_raw,norm_id_probe_variance,norm_ood_probe_variance,norm_ood_id_gap_variance,norm_pairwise_gap_mean,norm_valid_pattern_entropy,discrimination_score,stability_score,info_score,difficulty_bin,mean_ood_minus_id_log_nmse,failure_mode,eligible_class,feature_count_bin,total_samples,sample_count_bin,complexity_bin
g0001,1,BPG0,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG0,BPG0,llm-srbench/bio_pop_growth/BPG0,2,dP_dt,3500,500,500,500,99,7,0.9539969835279999 * (1 - P / 96.90688297671034) * P + 0.9539969835279999 * P ** 0.3333333333333333,4,12,4,4,4,12,12,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,-4.454457694817353,-1.1342601063070883,-4.1523342719653105,-1.4050089638043843,0.36979507904141096,0.5970385220197086,1.3198519440956198,8.511931180784297,6.817243475915724,0.4965715149135088,3.861539362023072,6.786406081509888,0.0,0.5502500147798738,udsr,1.4466963619559676,pyoperon,llm-srbench/bio_pop_growth/BPG0,cf517619898b2acc,rational,-2.7943589005622207,0.5767448134352897,0.2488189776744761,0.19084631478712477,0.08634884618611872,0.4643403249905623,0.0,0.21326921178853434,0.7661103832261598,0.16338775757365506,medium,3.3201975885102644,ood_failure,eligible,low,5000,small,moderate
g0002,2,BPG1,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG1,BPG1,llm-srbench/bio_pop_growth/BPG1,2,dP_dt,3500,500,500,500,117,10,0.3156057016002752 * P * np.exp(-0.05405074842498068 * t) + 0.3156057016002752 * P ** 2 / (9.870854086995406 * P + 1),4,12,4,4,4,12,12,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,-5.498491834382749,-4.1189856546787444,-4.331417121382355,-3.4568516928204183,0.9017789937475837,0.9580741238171679,1.9253184071011284,7.725881287626826,1.7485051114343275,2.1849864459421457,1.678182311009969,3.2056618494346965,0.0,0.5277593921301849,udsr,2.7010446895561393,dso,llm-srbench/bio_pop_growth/BPG1,9e7d07a66e12e879,exponential_log,-4.808738744530747,0.9486491296966097,0.22582820274582785,0.04893277416855414,0.37998918418094263,0.19940814092742729,0.0,0.17310553363991782,0.6085082343389532,0.10533614262952866,medium,1.3795061797040047,ood_failure,eligible,low,5000,small,complex
g0003,3,BPG10,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG10,BPG10,llm-srbench/bio_pop_growth/BPG10,2,dP_dt,3500,500,500,500,70,4,0.10100810033209855 * P ** 0.333333333333333 + 0.10100810033209855 * P,4,12,4,4,4,12,12,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,-6.694672343076053,-6.122618298429442,-5.751415928185487,-5.752619692133592,1.6651100172499733,1.5697315405292425,4.6039533069340495,7.88154288761335,1.5250337227839519,2.4778266739248016,1.751301694590752,3.0725492025873162,0.0,0.736720551915154,udsr,1.6311905339940749,pyoperon,llm-srbench/bio_pop_growth/BPG10,030594c39d1fde6f,polynomial,-6.408645320752747,1.8817052810485015,0.23038106998934077,0.04267606614579388,0.43091843263938917,0.2082805688156732,0.0,0.18103581942477284,0.21310638484237876,0.03857988900459103,medium,0.5720540446466105,all_good,eligible,low,5000,small,simple
g0004,4,BPG11,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG11,BPG11,llm-srbench/bio_pop_growth/BPG11,2,dP_dt,3500,500,500,500,158,12,0.7124493718672418 * (1 - P / 68.90600928530216) * P + 0.7124493718672418 * P ** 0.333333333333333 + 0.7124493718672418 * P * np.exp(-0.03459335742983884 * t),4,12,4,4,4,12,12,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,-3.224616867600446,-0.5605296342183002,-2.5434747391916357,-0.4422813664434327,0.14883293662656152,0.2670700480308007,0.4451876903483576,6.496838500654966,1.4068081172266675,1.9501182946502016,1.756786659879126,3.21871907546263,0.0,0.8360706120765042,udsr,1.4035747068376172,pyoperon,llm-srbench/bio_pop_growth/BPG11,860c542e2f7bd8ff,exponential_log,-1.8925732509093731,0.2256321446073041,0.18988055318958288,0.03936600887513707,0.3391421376036128,0.20894612364679213,0.0,0.1520022297278731,0.9149016413247363,0.13906708946305074,hard,2.664087233382146,ood_failure,eligible,low,5000,small,complex
g0005,5,BPG12,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG12,BPG12,llm-srbench/bio_pop_growth/BPG12,2,dP_dt,3500,500,500,500,109,8,0.8770002846146427 * P * np.sin(0.5671736066225963 * t) + 0.7013915186995147 * (1 - P / 65.7541311408653) * P,4,12,4,4,4,12,12,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,-0.601632234967235,-0.3817144041410238,-0.6182295660970937,-0.2846338859997106,0.0982580934743685,0.22373220812962769,0.2695918439936691,0.1371785689948342,0.11822402384969208,0.0281575189664987,0.4856543659810359,0.8280274662760287,0.0,1.3239654270202716,imcts,0.39325287089157623,dso,llm-srbench/bio_pop_growth/BPG12,fef217b482765ab8,trigonometric,-0.49167331955412935,0.1630628707454586,0.003870083136317216,0.0032884846617508177,0.004884721720227448,0.054704812222560566,0.0,0.008708688209613985,0.941416665710767,0.008198504217009467,hard,0.21991783082621114,all_good,eligible,low,5000,small,moderate
g0006,6,BPG13,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG13,BPG13,llm-srbench/bio_pop_growth/BPG13,2,dP_dt,3500,500,500,500,200,18,0.20107390997009728 * (-1 + P / 5.636576533003584) * (1 - P / 10.232561336048414) * P + 0.20107390997009728 * P + 0.20107390997009728 * P / (1 + np.exp(-5.636576533003584 * (-0.6341847122108325 + P))),4,12,4,4,4,12,11,0,0,0,0,0,1.0,0.9166666666666666,0.0,0.0,0.0,-1.3685309806155705,1.8950495422482414,-1.0646121136666022,1.025618929267948,0.20319208811074302,0.3359844257839982,1.1381913321335753,17.88158907336464,24.948985691632203,2.3034797262438786,7.221862657637084,13.759979362428869,0.0,0.0969085690330763,udsr,4.1155095259859,imcts,llm-srbench/bio_pop_growth/BPG13,ee71187e8214c8e2,exponential_log,0.26325928081633543,0.40267045436246296,0.5228673525192933,0.6984952700866356,0.40059691883104925,0.8720875550884348,0.0,0.574775211245576,0.8398779945618771,0.4827410517448136,extreme,3.263580522863812,ood_failure,limited_quota,low,5000,small,complex
g0007,7,BPG14,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG14,BPG14,llm-srbench/bio_pop_growth/BPG14,2,dP_dt,3500,500,500,500,181,15,0.11423898258902421 * (1 - P / 40.69810220267985) * P + 0.11423898258902421 * (1 - np.exp(-0.08368363514073095 * P)) * P + 0.11423898258902421 * P * np.exp(-0.08368363514073095 * t),4,12,4,4,4,12,12,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,-3.252500974637755,0.5117771553230225,-2.610330747551081,0.8190445294467906,0.13003347454418618,0.7059542634062587,1.143787104851734,5.845428633871521,1.7959861595005862,1.3190328212060087,1.9281836035725899,3.3196768106438332,0.0,0.7287567973490449,udsr,1.4693375588174338,dso,llm-srbench/bio_pop_growth/BPG14,c611faf2ed54f718,exponential_log,-1.3703619096573663,0.5371458212416875,0.17082779615229052,0.05026213922132161,0.22938703634252755,0.22974371450046652,0.0,0.13476390428219004,0.7828912754895726,0.10550548491343843,hard,3.7642781299607773,ood_failure,eligible,low,5000,small,complex
g0008,8,BPG15,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG15,BPG15,llm-srbench/bio_pop_growth/BPG15,2,dP_dt,3500,500,500,500,103,7,0.4866911314650416 * P ** 0.333333333333333 + 0.4866911314650416 * P * np.exp(-0.08577402101126279 * t),4,12,4,4,4,12,12,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,-4.233356547997174,-2.6177474278582338,-3.433805162823189,-2.466923769017512,0.21428111156045004,0.42348468003523915,0.7172788863575299,8.795275524775729,3.2831133241229296,1.63061681424443,2.592363608669911,4.231551413255058,0.0,0.7055470400803169,udsr,0.987659318181827,pyoperon,llm-srbench/bio_pop_growth/BPG15,573f57e2e60abbce,exponential_log,-3.425551987927704,0.3557058715976917,0.2571063727835134,0.0918984333256841,0.28357610287360707,0.3103364234574595,0.0,0.19572173991500613,0.8597802082272817,0.16827767829872986,medium,1.6156091201389406,ood_failure,eligible,low,5000,small,moderate
g0009,9,BPG16,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG16,BPG16,llm-srbench/bio_pop_growth/BPG16,2,dP_dt,3500,500,500,500,155,13,0.8677806610632854 * (-1 + P / 6.057935627201261) * (1 - P / 14.185052779605893) * P + 0.8677806610632854 * P ** 0.333333333333333 + 0.8677806610632854 * P,4,12,4,4,4,12,12,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,-1.3609444107762103,0.7963553011624529,-1.2192875887995371,0.08615071617496362,1.2399206006523598,1.3903234911549722,4.512872241515823,19.25280610690233,28.414400852981224,1.5763038692044216,7.499500004196179,14.941565995955386,0.0,0.03318290511745528,udsr,5.964222809347259,imcts,llm-srbench/bio_pop_growth/BPG16,b7edb3acdeb61dde,rational,-0.2822945548068788,1.7066879648956257,0.56297338455469,0.7955192827495248,0.27413027812641294,0.905776533520645,0.0,0.6071696286275016,0.2872735937509827,0.17442380123227194,hard,2.157299711938663,ood_failure,eligible,low,5000,small,complex
g0010,10,BPG17,llm-srbench,bio_pop_growth,bio_pop_growth,sim-datasets-data/llm-srbench/bio_pop_growth/BPG17,BPG17,llm-srbench/bio_pop_growth/BPG17,2,dP_dt,3500,500,500,500,127,11,0.768873878858443 * (-1 + P / 8.670374869520632) * (1 - P / 14.33285523805181) * P + 0.768873878858443 * P ** 0.333333333333333,4,12,4,4,4,12,12,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,-3.6294392815087897,1.8985394261515585,-2.7284033220604553,2.6452761577463075,0.828322422402931,1.653388610631255,5.011540666767303,14.61421240712861,14.933229117495515,0.0901340997679924,5.364852564250182,10.72402052108295,0.0,0.016779075293462398,udsr,6.846956812604855,imcts,llm-srbench/bio_pop_growth/BPG17,0aada151cd75526b,rational,-0.8654499276786154,1.829328062086549,0.42730150842407544,0.4180760858238296,0.015663366116144283,0.6467548548596778,0.0,0.3629071483901562,0.23530231508627297,0.08539289217756135,hard,5.527978707660348,ood_failure,eligible,low,5000,small,complex
