algorithm,gid,dataset,n_runs,n_metric_complete,n_valid_output,median_train_log_nmse_penalized,median_train_log_nmse_valid_only,median_valid_log_nmse_penalized,median_valid_log_nmse_valid_only,median_id_test_log_nmse_penalized,median_id_test_log_nmse_valid_only,median_ood_test_log_nmse_penalized,median_ood_test_log_nmse_valid_only,median_seconds
drsr,g0001,II.34.2_1_0,5,5,5,-1.7337407717139548,-1.7337407717139548,-1.7400709997376635,-1.7400709997376635,-1.7260541408382961,-1.7260541408382961,-0.2985049124047269,-0.2985049124047269,3902.511
drsr,g0002,first_principles_hubble,5,5,5,-0.9008687493191982,-0.9008687493191982,-1.1635706074345107,-1.1635706074345107,-1.6285173948657417,-1.6285173948657417,-0.9184882629853427,-0.9184882629853427,3900.937
drsr,g0003,feynman-ii.27.18,5,5,5,-1.1510969065166592,-1.1510969065166592,-1.1292192336076876,-1.1292192336076876,-1.1765191414110567,-1.1765191414110567,-0.8817256342616455,-0.8817256342616455,3901.206
drsr,g0004,Korns-4,5,5,5,-2.830024789729781,-2.830024789729781,-2.8152872584938105,-2.8152872584938105,-2.7460741769649153,-2.7460741769649153,-2.7108684149602373,-2.7108684149602373,3900.907
drsr,g0005,Keijzer-11,5,5,5,-2.3511808765347277,-2.3511808765347277,0.18246282403293065,0.18246282403293065,0.011791364746242556,0.011791364746242556,-0.060058516167683665,-0.060058516167683665,3901.058
drsr,g0006,Keijzer-2,5,5,5,-0.9361917565086698,-0.9361917565086698,-0.38204596539982366,-0.38204596539982366,-0.9041536611143444,-0.9041536611143444,0.8229363152125106,0.8229363152125106,3900.961
drsr,g0007,Korns-2,5,5,5,-0.07098678732872685,-0.07098678732872685,0.9924400763504535,0.9924400763504535,0.03608298495935113,0.03608298495935113,0.03819159871865918,0.03819159871865918,3900.896
drsr,g0008,Nguyen-12,5,5,5,-4.937183518972296,-4.937183518972296,-4.412312604928789,-4.412312604928789,-4.768118705242365,-4.768118705242365,-3.00824066634285,-3.00824066634285,3900.998
drsr,g0009,Nguyen-6,5,5,5,-7.736376270358186,-7.736376270358186,-3.375958802244409,-3.375958802244409,-7.154042597392325,-7.154042597392325,-2.2161609519346155,-2.2161609519346155,3900.903
drsr,g0010,Nguyen-9,5,5,5,-5.621276115764771,-5.621276115764771,-5.013379992956638,-5.013379992956638,-2.8245648810082393,-2.8245648810082393,-3.852867116145759,-3.852867116145759,3900.796
drsr,g0011,Vladislavleva-4,5,5,5,-1.4220339622655085,-1.4220339622655085,-1.5204281636175283,-1.5204281636175283,-1.343402540883083,-1.343402540883083,-1.2641151561960686,-1.2641151561960686,3901.385
drsr,g0012,feynman_I_27_6,5,5,5,-2.4648689985358323,-2.4648689985358323,-2.466112728501296,-2.466112728501296,-2.466953577473004,-2.466953577473004,-1.16737092409054,-1.16737092409054,3902.772
drsr,g0013,feynman-i.43.31,5,5,5,-1.4961604134349258e-05,-1.4961604134349258e-05,-1.5994140371210837e-05,-1.5994140371210837e-05,-1.3301746090650516e-05,-1.3301746090650516e-05,-1.2332436112340867e-06,-1.2332436112340867e-06,3901.043
drsr,g0014,feynman-ii.34.11,5,5,5,-8.60654617831951e-07,-8.60654617831951e-07,0.0005628066301134814,0.0005628066301134814,-1.140296217087149e-05,-1.140296217087149e-05,1.3353225353426466,1.3353225353426466,3901.075
drsr,g0015,III.21.20_3_0,5,5,5,-0.9454260940985094,-0.9454260940985094,-0.7884390776361325,-0.7884390776361325,-0.9748644513268191,-0.9748644513268191,-3.904852722667335e-06,-3.904852722667335e-06,3902.695
drsr,g0016,feynman_II_15_4,5,5,5,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,3902.197
drsr,g0017,strogatz_shearflow1,5,5,5,-0.6629735816587983,-0.6629735816587983,-0.6215086754288591,-0.6215086754288591,-0.47499374116344323,-0.47499374116344323,0.03376929183000644,0.03376929183000644,3901.155
drsr,g0018,feynman-i.18.16,5,5,5,-0.0047902545620447205,-0.0047902545620447205,0.0006438440808258761,0.0006438440808258761,0.01639565966154995,0.01639565966154995,0.15434789642454852,0.15434789642454852,3901.264
drsr,g0019,feynman-ii.34.2a,5,5,5,-0.00040114317084067214,-0.00040114317084067214,-0.0027335015186558892,-0.0027335015186558892,0.003589823112730027,0.003589823112730027,0.0002191834750064651,0.0002191834750064651,3901.242
drsr,g0020,first_principles_leavitt,5,5,5,-4.139470013196005,-4.139470013196005,-3.421212366706108,-3.421212366706108,-3.5064082860866224,-3.5064082860866224,-3.4248888570275624,-3.4248888570275624,3900.974
drsr,g0021,feynman-i.39.22,5,5,5,-0.0001621410871199969,-0.0001621410871199969,0.0,0.0,0.0009076104204138549,0.0009076104204138549,1.8462975715914664e-05,1.8462975715914664e-05,3901.115
drsr,g0022,feynman-i.11.19,5,5,5,-0.45548776721805195,-0.45548776721805195,-0.45342768292607044,-0.45342768292607044,-0.4872219567632743,-0.4872219567632743,-0.47946181310121894,-0.47946181310121894,3901.202
drsr,g0023,I.11.19_4_0,5,5,5,-1.2178294058155983,-1.2178294058155983,-1.230516375878286,-1.230516375878286,-1.2130027762943858,-1.2130027762943858,-0.5708896821466263,-0.5708896821466263,3619.482
drsr,g0024,strogatz_predprey2,5,5,5,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,3902.634
drsr,g0025,strogatz_barmag2,5,5,5,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,3900.914
drsr,g0026,strogatz_barmag1,5,5,5,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,3900.987
drsr,g0027,feynman_I_12_11,5,5,5,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,3902.514
drsr,g0028,feynman-ii.4.23,5,5,5,-1.0099362962633145e-07,-1.0099362962633145e-07,-1.0098759790127467e-07,-1.0098759790127467e-07,-1.0057829224360914e-07,-1.0057829224360914e-07,-9.519142530271238e-08,-9.519142530271238e-08,3901.181
drsr,g0029,strogatz_vdp1,5,5,5,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,3900.889
drsr,g0030,feynman-iii.7.38,5,5,5,-2.216021818780018e-07,-2.216021818780018e-07,-9.094458395975198e-07,-9.094458395975198e-07,9.479099894666532e-07,9.479099894666532e-07,8.93468684301761e-12,8.93468684301761e-12,3901.007
drsr,g0031,II.11.27_1_0,5,5,5,-0.002064762267138866,-0.002064762267138866,-0.009877424610833062,-0.009877424610833062,-0.00298212438565867,-0.00298212438565867,0.0006091960245968225,0.0006091960245968225,3902.982
drsr,g0032,feynman-i.13.12,5,5,5,-0.1686044869559474,-0.1686044869559474,-0.2052254895019564,-0.2052254895019564,-0.26330339104969974,-0.26330339104969974,0.07258689395617189,0.07258689395617189,3901.056
drsr,g0033,feynman-iii.10.19,5,5,5,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,3901.154
drsr,g0034,CRK11,5,5,5,-8.46606170368207,-8.46606170368207,-8.451520462239982,-8.451520462239982,-8.473081507038405,-8.473081507038405,-5.528600024727988,-5.528600024727988,3901.022
drsr,g0035,feynman-i.32.5,5,5,5,-1.001686174131893,-1.001686174131893,-0.7625826204301308,-0.7625826204301308,-1.019195861641278,-1.019195861641278,-0.7451562390690263,-0.7451562390690263,3901.056
drsr,g0036,CRK10,5,5,5,-8.74642025606412,-8.74642025606412,-8.803232584968853,-8.803232584968853,-8.75474318080567,-8.75474318080567,-4.527303940693102,-4.527303940693102,3901.044
drsr,g0037,CRK34,5,5,5,-8.267766794669805,-8.267766794669805,-8.29441806438884,-8.29441806438884,-8.26297853317549,-8.26297853317549,-3.4955079871604595,-3.4955079871604595,3901.043
drsr,g0038,PO19,5,5,5,-2.2870157914089524,-2.2870157914089524,-2.2085955273424136,-2.2085955273424136,-2.2993072745678202,-2.2993072745678202,4.929533167191851,4.929533167191851,3900.984
drsr,g0039,CRK0,5,5,5,-7.653902149873921,-7.653902149873921,-7.727871890125851,-7.727871890125851,-7.645591586637477,-7.645591586637477,-4.305757416226576,-4.305757416226576,3900.972
drsr,g0040,feynman-i.29.16,5,5,5,-1.3060497014829218,-1.3060497014829218,-1.2135195521548896,-1.2135195521548896,-1.1865604660623987,-1.1865604660623987,-0.5390442968519588,-0.5390442968519588,3901.245
drsr,g0041,PO41,5,5,5,-2.8031920875659426,-2.8031920875659426,-2.74521866641797,-2.74521866641797,-2.8340193386446724,-2.8340193386446724,2.6554929307290474,2.6554929307290474,3901.034
drsr,g0042,feynman_test_15,5,5,5,-3.2035341904256187,-3.2035341904256187,-3.1945188877674666,-3.1945188877674666,-3.1923758355785714,-3.1923758355785714,-2.1303672257763417,-2.1303672257763417,3903.02
drsr,g0043,CRK33,5,5,5,-7.746596025193299,-7.746596025193299,-7.799948383619121,-7.799948383619121,-7.854388532232239,-7.854388532232239,-3.289025975733248,-3.289025975733248,3901.045
drsr,g0044,feynman-i.15.3t,5,5,5,5.655136514715411,5.655136514715411,5.683901319724266,5.683901319724266,5.669486924463805,5.669486924463805,5.696048444666237,5.696048444666237,3611.284
drsr,g0045,feynman-bonus.20,5,5,5,-6.7285301954087855e-09,-6.7285301954087855e-09,7.809410645888333e-08,7.809410645888333e-08,-9.144937241615442e-10,-9.144937241615442e-10,4.1242733157679876e-10,4.1242733157679876e-10,3901.257
drsr,g0046,II.6.15b_3_0,5,5,5,-0.8359985157340475,-0.8359985157340475,-0.6704055644785033,-0.6704055644785033,-0.6882202427815935,-0.6882202427815935,-0.6677906379174273,-0.6677906379174273,3902.03
drsr,g0047,BPG5,5,5,5,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-8.343371108920072,-8.343371108920072,3901.063
drsr,g0048,MatSci21,5,5,5,-3.9591309106361328,-3.9591309106361328,-3.970686322941334,-3.970686322941334,-3.9838958805873905,-3.9838958805873905,-3.520635303105645,-3.520635303105645,3901.034
drsr,g0049,BPG3,5,5,5,-9.863082848516429,-9.863082848516429,-9.794205407383314,-9.794205407383314,-9.859942596846501,-9.859942596846501,-2.135544359574769,-2.135544359574769,3901.003
drsr,g0050,BPG9,5,5,5,-3.714025438232026,-3.714025438232026,-3.6667498533692178,-3.6667498533692178,-3.8107730150611463,-3.8107730150611463,0.0,0.0,3901.112
dso,g0001,II.34.2_1_0,5,5,5,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,556.376
dso,g0002,first_principles_hubble,5,5,5,-0.8813848071336651,-0.8813848071336651,-1.1057898690574797,-1.1057898690574797,-0.988263103078407,-0.988263103078407,-1.0843408985124863,-1.0843408985124863,2387.365
dso,g0003,feynman-ii.27.18,5,5,5,-0.006529862373432248,-0.006529862373432248,-0.00010336942096356375,-0.00010336942096356375,-0.003976289215884855,-0.003976289215884855,12.0,12.0,2945.718
dso,g0004,Korns-4,5,5,5,-2.7909950621540025,-2.7909950621540025,-2.8339949626259697,-2.8339949626259697,-2.7978361531583094,-2.7978361531583094,-2.779379637693619,-2.779379637693619,2527.426
dso,g0005,Keijzer-11,5,2,5,-1.5795224020145198,-1.5795224020145198,-1.3469791923480399,-1.3469791923480399,12.0,-1.1670957273059335,-1.408006181756375,-1.4483447523920536,1602.709
dso,g0006,Keijzer-2,5,5,5,-0.2577080341145948,-0.2577080341145948,-0.09681550220745058,-0.09681550220745058,-0.28276628754907973,-0.28276628754907973,0.3621611134192667,0.3621611134192667,2297.99
dso,g0007,Korns-2,5,5,5,-2.899051658270835,-2.899051658270835,-1.5053946146898463,-1.5053946146898463,-1.910523058696682,-1.910523058696682,-1.584427151073415,-1.584427151073415,2640.436
dso,g0008,Nguyen-12,5,5,5,-2.014123250877962,-2.014123250877962,-1.8458986261247237,-1.8458986261247237,-1.8166249174543303,-1.8166249174543303,-0.9754331975338442,-0.9754331975338442,2862.58
dso,g0009,Nguyen-6,5,5,5,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,91.112
dso,g0010,Nguyen-9,5,5,5,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,105.668
dso,g0011,Vladislavleva-4,5,4,5,-0.9686870519607174,-0.9686870519607174,-1.0168093104299247,-1.0168093104299247,-0.8899334752147603,-0.8899334752147603,-0.8554407860212309,-0.8592195513227388,2267.371
dso,g0012,feynman_I_27_6,5,5,5,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,486.886
dso,g0013,feynman-i.43.31,5,5,5,-0.012369440199678772,-0.012369440199678772,-0.01378210945374257,-0.01378210945374257,-0.012122829293474177,-0.012122829293474177,-0.0023881901923708017,-0.0023881901923708017,3250.21
