algorithm,n,min,median,p75,p90,p95,max,lt_600,lt_1800,lt_3300,ge_3300,ge_3500,status
drsr,250,3607.892,3901.072,3901.590,3903.008,3904.768,3915.559,0,0,0,250,250,"{""ok"": 250}"
dso,250,47.035,2576.062,3104.865,3602.695,3608.294,3666.622,18,55,202,48,39,"{""ok"": 250}"
e2esr,250,73.030,508.875,760.660,3604.278,3606.652,3660.925,155,202,207,43,43,"{""ok"": 250}"
gplearn,250,3601.535,3602.531,3603.361,3604.792,3614.127,3629.797,0,0,0,250,250,"{""ok"": 250}"
imcts,250,11.185,3601.622,3602.077,3603.730,3604.750,3624.291,77,106,116,134,133,"{""ok"": 250}"
llmsr,250,3602.001,3609.182,3611.278,3615.547,3637.546,3751.920,0,0,0,250,250,"{""ok"": 250}"
pyoperon,250,1.842,10.128,12.779,17.738,57.292,133.571,250,250,250,0,0,"{""no_valid_output"": 4, ""ok"": 246}"
pysr,250,3601.803,3602.457,3603.753,3605.491,3615.150,3631.040,0,0,0,250,250,"{""ok"": 249, ""timed_out"": 1}"
qlattice,250,85.369,143.615,258.174,458.859,551.921,1719.391,238,250,250,0,0,"{""no_valid_output"": 5, ""ok"": 245}"
ragsr,250,1233.543,3143.713,3603.491,3605.158,3611.940,3639.167,0,13,138,112,99,"{""ok"": 242, ""timed_out"": 8}"
tpsr,250,109.833,1462.834,2575.512,3604.900,3610.260,3635.137,58,150,209,41,34,"{""ok"": 250}"
udsr,250,26.268,3601.812,3602.226,3603.981,3610.459,3626.398,58,85,99,151,148,"{""ok"": 250}"
