scenario,algorithm,dataset_rel,dataset_name,dataset_median_ood_log_nmse,dataset_median_id_log_nmse,n_runs,n_metric_complete
previous_probe4_664_restricted_core50_3seed,udsr,sim-datasets-data/llm-srbench/lsrtransform/II.34.2_1_0,II.34.2_1_0,-12.0,,3,3
previous_probe4_664_restricted_core50_3seed,imcts,sim-datasets-data/llm-srbench/lsrtransform/II.34.2_1_0,II.34.2_1_0,-12.0,,3,3
previous_probe4_664_restricted_core50_3seed,dso,sim-datasets-data/llm-srbench/lsrtransform/II.34.2_1_0,II.34.2_1_0,-12.0,,3,3
previous_probe4_664_restricted_core50_3seed,pyoperon,sim-datasets-data/llm-srbench/lsrtransform/II.34.2_1_0,II.34.2_1_0,-0.36820031818264365,,3,3
previous_probe4_664_restricted_core50_3seed,udsr,sim-datasets-data/srbench2025/firstprinciples/first_principles_hubble,first_principles_hubble,-0.9869056650677178,,3,3
previous_probe4_664_restricted_core50_3seed,imcts,sim-datasets-data/srbench2025/firstprinciples/first_principles_hubble,first_principles_hubble,-0.8163016123269763,,3,3
previous_probe4_664_restricted_core50_3seed,dso,sim-datasets-data/srbench2025/firstprinciples/first_principles_hubble,first_principles_hubble,-1.0843408985124863,,3,3
previous_probe4_664_restricted_core50_3seed,pyoperon,sim-datasets-data/srbench2025/firstprinciples/first_principles_hubble,first_principles_hubble,-1.0786450636252725,,3,3
previous_probe4_664_restricted_core50_3seed,udsr,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.27.18,feynman-ii.27.18,-12.0,,3,3
previous_probe4_664_restricted_core50_3seed,imcts,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.27.18,feynman-ii.27.18,-12.0,,3,3
previous_probe4_664_restricted_core50_3seed,dso,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.27.18,feynman-ii.27.18,12.0,,3,3
previous_probe4_664_restricted_core50_3seed,pyoperon,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.27.18,feynman-ii.27.18,12.0,,3,3
previous_probe4_664_restricted_core50_3seed,udsr,sim-datasets-data/korns/Korns-4,Korns-4,-12.0,,3,3
previous_probe4_664_restricted_core50_3seed,imcts,sim-datasets-data/korns/Korns-4,Korns-4,-12.0,,3,3
previous_probe4_664_restricted_core50_3seed,dso,sim-datasets-data/korns/Korns-4,Korns-4,12.0,,3,3
previous_probe4_664_restricted_core50_3seed,pyoperon,sim-datasets-data/korns/Korns-4,Korns-4,-2.7456151740967325,,3,3
previous_probe4_664_restricted_core50_3seed,udsr,sim-datasets-data/keijzer/Keijzer-11,Keijzer-11,0.6764463006013556,,3,3
previous_probe4_664_restricted_core50_3seed,imcts,sim-datasets-data/keijzer/Keijzer-11,Keijzer-11,-12.0,,3,3
previous_probe4_664_restricted_core50_3seed,dso,sim-datasets-data/keijzer/Keijzer-11,Keijzer-11,-1.693943456385834,,3,3
previous_probe4_664_restricted_core50_3seed,pyoperon,sim-datasets-data/keijzer/Keijzer-11,Keijzer-11,-1.7416815919869242,,3,3
previous_probe4_664_restricted_core50_3seed,udsr,sim-datasets-data/keijzer/Keijzer-2,Keijzer-2,-0.7005763077198068,,3,3
previous_probe4_664_restricted_core50_3seed,imcts,sim-datasets-data/keijzer/Keijzer-2,Keijzer-2,-10.971758132807274,,3,3
previous_probe4_664_restricted_core50_3seed,dso,sim-datasets-data/keijzer/Keijzer-2,Keijzer-2,0.3621611134192667,,3,3
previous_probe4_664_restricted_core50_3seed,pyoperon,sim-datasets-data/keijzer/Keijzer-2,Keijzer-2,-0.09889309546871115,,3,3
previous_probe4_664_restricted_core50_3seed,udsr,sim-datasets-data/korns/Korns-2,Korns-2,-12.0,,3,3
previous_probe4_664_restricted_core50_3seed,imcts,sim-datasets-data/korns/Korns-2,Korns-2,-12.0,,3,3
previous_probe4_664_restricted_core50_3seed,dso,sim-datasets-data/korns/Korns-2,Korns-2,-1.584427151073415,,3,3
previous_probe4_664_restricted_core50_3seed,pyoperon,sim-datasets-data/korns/Korns-2,Korns-2,0.9393304377972733,,3,3
previous_probe4_664_restricted_core50_3seed,udsr,sim-datasets-data/nguyen/Nguyen-12,Nguyen-12,-4.369831631328417,,3,3
previous_probe4_664_restricted_core50_3seed,imcts,sim-datasets-data/nguyen/Nguyen-12,Nguyen-12,-12.0,,3,3
previous_probe4_664_restricted_core50_3seed,dso,sim-datasets-data/nguyen/Nguyen-12,Nguyen-12,-1.085343422247253,,3,3
previous_probe4_664_restricted_core50_3seed,pyoperon,sim-datasets-data/nguyen/Nguyen-12,Nguyen-12,-1.2661886432377625,,3,3
previous_probe4_664_restricted_core50_3seed,udsr,sim-datasets-data/nguyen/Nguyen-6,Nguyen-6,-4.842471533358239,,3,3
previous_probe4_664_restricted_core50_3seed,imcts,sim-datasets-data/nguyen/Nguyen-6,Nguyen-6,-11.844776189671634,,3,3
previous_probe4_664_restricted_core50_3seed,dso,sim-datasets-data/nguyen/Nguyen-6,Nguyen-6,-12.0,,3,3
previous_probe4_664_restricted_core50_3seed,pyoperon,sim-datasets-data/nguyen/Nguyen-6,Nguyen-6,-0.87227215566683,,3,3
previous_probe4_664_restricted_core50_3seed,udsr,sim-datasets-data/nguyen/Nguyen-9,Nguyen-9,-6.936765064914236,,3,3
previous_probe4_664_restricted_core50_3seed,imcts,sim-datasets-data/nguyen/Nguyen-9,Nguyen-9,-12.0,,3,3
previous_probe4_664_restricted_core50_3seed,dso,sim-datasets-data/nguyen/Nguyen-9,Nguyen-9,-12.0,,3,3
previous_probe4_664_restricted_core50_3seed,pyoperon,sim-datasets-data/nguyen/Nguyen-9,Nguyen-9,-2.2136216142830163,,3,3
previous_probe4_664_restricted_core50_3seed,udsr,sim-datasets-data/vladislavleva/Vladislavleva-4,Vladislavleva-4,-12.0,,3,3
previous_probe4_664_restricted_core50_3seed,imcts,sim-datasets-data/vladislavleva/Vladislavleva-4,Vladislavleva-4,-1.843794115220197,,3,3
