algorithm,unit,core50_runs,core50_with_iteration,core50_mean,core50_median,core50_p25,core50_p75,candidate200_runs,candidate200_with_iteration,candidate200_mean,candidate200_median,candidate200_p25,candidate200_p75,core_minus_candidate_mean,core_over_candidate_mean,note
gplearn,generation,250,250,1917.604,2119.5,1096.75,2733.75,148,148,1383.837837837838,1179.0,231.25,2499.25,533.7661621621621,1.3857143861567907,
pyoperon,generation,250,246,1.0,1.0,1.0,1.0,148,148,1.0,1.0,1.0,1.0,0.0,1.0,generation 字段全部为1，疑似 wrapper 只暴露最终代编号；可横向看覆盖，但信息量弱。
pysr,N/A,250,0,,,,,148,0,,,,,,,当前归档没有真实 niterations/迭代计数字段；hall_of_fame 不能还原实际迭代数。
dso,iteration,250,250,1644.208,2000.0,1811.75,2000.0,167,164,366.140243902439,364.0,247.5,485.25,1278.067756097561,4.490650856828818,
tpsr,N/A,250,0,,,,,148,0,,,,,,,当前 wrapper 只记录最终 source/stage，不记录搜索轮次。
llmsr,llm_proposal_iteration,250,244,91.89754098360656,91.0,82.0,101.0,200,196,96.31122448979592,95.5,83.0,108.0,-4.413683506189358,0.9541726986696448,
drsr,llm_proposal_iteration,250,250,11.448,7.0,6.0,8.0,200,200,22.705,9.0,8.0,12.0,-11.256999999999998,0.5042061219995596,
e2esr,N/A,250,0,,,,,200,0,,,,,,,当前 wrapper 只记录最终 stage/refinement_type，不记录搜索轮次。
imcts,evaluations,250,249,123824.2248995984,67097,21428,177986,200,198,211120.70707070708,206881.0,44970.0,326614.25,-87296.48217110868,0.5865091426495083,
qlattice,epoch,250,245,100.0,100,100,100,200,196,100.0,100.0,100.0,100.0,0.0,1.0,
ragsr,generation_iteration,250,250,83.54,100.0,76.0,100.0,200,10,,,,,,,Candidate200 的旧 RAGSR wrapper 基本未记录 iteration；仅10条为0，不作为有效平均。
udsr,iteration,250,250,194.64,190.0,27.0,345.75,200,200,55.31,18.5,9.0,105.25,139.32999999999998,3.519074308443319,
