dataset_name	dataset_dir
II.34.2_1_0	sim-datasets-data/llm-srbench/lsrtransform/II.34.2_1_0
first_principles_hubble	sim-datasets-data/srbench2025/firstprinciples/first_principles_hubble
feynman-ii.27.18	sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.27.18
Korns-4	sim-datasets-data/korns/Korns-4
Keijzer-11	sim-datasets-data/keijzer/Keijzer-11
Keijzer-2	sim-datasets-data/keijzer/Keijzer-2
Korns-2	sim-datasets-data/korns/Korns-2
Nguyen-12	sim-datasets-data/nguyen/Nguyen-12
Nguyen-6	sim-datasets-data/nguyen/Nguyen-6
Nguyen-9	sim-datasets-data/nguyen/Nguyen-9
Vladislavleva-4	sim-datasets-data/vladislavleva/Vladislavleva-4
feynman_I_27_6	sim-datasets-data/srbench1.0/feynman/feynman_I_27_6
feynman-i.43.31	sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31
feynman-ii.34.11	sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.34.11
III.21.20_3_0	sim-datasets-data/llm-srbench/lsrtransform/III.21.20_3_0
feynman_II_15_4	sim-datasets-data/srbench1.0/feynman/feynman_II_15_4
strogatz_shearflow1	sim-datasets-data/srbench1.0/strogatz/strogatz_shearflow1
feynman-i.18.16	sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.18.16
feynman-ii.34.2a	sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.34.2a
first_principles_leavitt	sim-datasets-data/srbench2025/firstprinciples/first_principles_leavitt
feynman-i.39.22	sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.39.22
feynman-i.11.19	sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.11.19
I.11.19_4_0	sim-datasets-data/llm-srbench/lsrtransform/I.11.19_4_0
strogatz_predprey2	sim-datasets-data/srbench1.0/strogatz/strogatz_predprey2
strogatz_barmag2	sim-datasets-data/srbench1.0/strogatz/strogatz_barmag2
strogatz_barmag1	sim-datasets-data/srbench1.0/strogatz/strogatz_barmag1
feynman_I_12_11	sim-datasets-data/srbench1.0/feynman/feynman_I_12_11
feynman-ii.4.23	sim-datasets-data/srsd/srsd-feynman_easy/feynman-ii.4.23
strogatz_vdp1	sim-datasets-data/srbench1.0/strogatz/strogatz_vdp1
feynman-iii.7.38	sim-datasets-data/srsd/srsd-feynman_easy/feynman-iii.7.38
II.11.27_1_0	sim-datasets-data/llm-srbench/lsrtransform/II.11.27_1_0
feynman-i.13.12	sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.13.12
feynman-iii.10.19	sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-iii.10.19
CRK11	sim-datasets-data/llm-srbench/chem_react/CRK11
feynman-i.32.5	sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.32.5
CRK10	sim-datasets-data/llm-srbench/chem_react/CRK10
CRK34	sim-datasets-data/llm-srbench/chem_react/CRK34
PO19	sim-datasets-data/llm-srbench/phys_osc/PO19
CRK0	sim-datasets-data/llm-srbench/chem_react/CRK0
feynman-i.29.16	sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.29.16
PO41	sim-datasets-data/llm-srbench/phys_osc/PO41
feynman_test_15	sim-datasets-data/srbench1.0/feynman/feynman_test_15
CRK33	sim-datasets-data/llm-srbench/chem_react/CRK33
feynman-i.15.3t	sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.15.3t
feynman-bonus.20	sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.20
II.6.15b_3_0	sim-datasets-data/llm-srbench/lsrtransform/II.6.15b_3_0
BPG5	sim-datasets-data/llm-srbench/bio_pop_growth/BPG5
MatSci21	sim-datasets-data/llm-srbench/matsci/MatSci21
BPG3	sim-datasets-data/llm-srbench/bio_pop_growth/BPG3
BPG9	sim-datasets-data/llm-srbench/bio_pop_growth/BPG9

