algorithm,gid,dataset,seeds,valid_for_symbolic_rate,pred_parse_rate,cas_equiv_rate,numeric_equiv_rate,equiv_final_rate,mean_tree_similarity,mean_var_f1,mean_op_f1,sym_f_formal
drsr,g0001,II.34.2_1_0,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7542857142857143,0.17542857142857143
drsr,g0002,first_principles_hubble,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.15000000000000002
drsr,g0003,feynman-ii.27.18,5,1.0,1.0,0.0,0.4,0.4,0.2,0.7666666666666666,0.78,0.4786666666666667
drsr,g0004,Korns-4,5,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.7314285714285714,0.11314285714285714
drsr,g0005,Keijzer-11,5,1.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.65,0.13166666666666665
drsr,g0006,Keijzer-2,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4883116883116883,0.14883116883116884
drsr,g0007,Korns-2,5,1.0,1.0,0.0,0.0,0.0,0.0,0.5714285714285715,1.0,0.15714285714285717
drsr,g0008,Nguyen-12,5,1.0,1.0,0.0,0.0,0.0,0.31764705882352945,0.6666666666666666,0.9142857142857143,0.25338935574229693
drsr,g0009,Nguyen-6,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6533333333333333,0.16533333333333336
drsr,g0010,Nguyen-9,5,1.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6476190476190476,0.13142857142857142
drsr,g0011,Vladislavleva-4,5,1.0,1.0,0.0,0.0,0.0,0.0,0.888888888888889,0.95,0.18388888888888888
drsr,g0012,feynman_I_27_6,5,1.0,1.0,0.0,0.2,0.2,0.018181818181818188,1.0,1.0,0.36
drsr,g0013,feynman-i.43.31,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5333333333333333,0.15333333333333335
drsr,g0014,feynman-ii.34.11,5,1.0,1.0,0.0,0.0,0.0,0.15,0.45714285714285713,0.7,0.16071428571428573
drsr,g0015,III.21.20_3_0,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6466666666666667,0.16466666666666668
drsr,g0016,feynman_II_15_4,5,1.0,1.0,0.4,0.8,0.8,0.6,1.0,0.8400000000000001,0.828
drsr,g0017,strogatz_shearflow1,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5999999999999999,0.16
drsr,g0018,feynman-i.18.16,5,1.0,1.0,0.0,0.2,0.2,0.2666666666666667,0.8992063492063492,0.8133333333333332,0.36125396825396827
drsr,g0019,feynman-ii.34.2a,5,1.0,1.0,0.0,0.0,0.0,0.0,0.5833333333333333,0.6133333333333333,0.11966666666666667
drsr,g0020,first_principles_leavitt,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7733333333333333,0.17733333333333334
drsr,g0021,feynman-i.39.22,5,1.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.3276190476190476,0.7733333333333333,0.15295238095238095
drsr,g0022,feynman-i.11.19,5,1.0,1.0,0.0,0.0,0.0,0.15999999999999998,0.8571428571428571,1.0,0.2337142857142857
drsr,g0023,I.11.19_4_0,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8400000000000001,0.18400000000000002
drsr,g0024,strogatz_predprey2,5,1.0,1.0,0.0,0.6,0.6,0.0,1.0,0.9428571428571428,0.6771428571428572
drsr,g0025,strogatz_barmag2,5,1.0,1.0,0.0,1.0,1.0,0.676923076923077,1.0,0.9714285714285715,1.0
drsr,g0026,strogatz_barmag1,5,1.0,1.0,0.0,0.6,0.6,0.3230769230769231,1.0,0.8428571428571427,0.67
drsr,g0027,feynman_I_12_11,5,1.0,0.8,0.0,0.2,0.2,0.17777777777777776,0.8,0.7714285714285715,0.3171428571428571
drsr,g0028,feynman-ii.4.23,5,1.0,1.0,0.0,0.4,0.4,0.6000000000000001,1.0,0.8514285714285714,0.6131428571428572
drsr,g0029,strogatz_vdp1,5,1.0,1.0,0.0,0.8,0.8,0.3333333333333333,1.0,0.9142857142857143,0.8314285714285715
drsr,g0030,feynman-iii.7.38,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.48,0.14800000000000002
drsr,g0031,II.11.27_1_0,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.96,0.196
drsr,g0032,feynman-i.13.12,5,1.0,1.0,0.0,0.8,0.8,0.06153846153846152,0.9714285714285713,0.8800000000000001,0.8406153846153845
drsr,g0033,feynman-iii.10.19,5,1.0,1.0,0.0,0.0,0.0,0.12857142857142856,0.5771428571428572,0.9,0.1862857142857143
drsr,g0034,CRK11,5,1.0,1.0,0.0,0.0,0.0,0.033333333333333326,0.5333333333333333,0.7547619047619047,0.1388095238095238
drsr,g0035,feynman-i.32.5,5,1.0,1.0,0.0,0.0,0.0,0.09090909090909091,1.0,0.621904761904762,0.1894632034632035
drsr,g0036,CRK10,5,1.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.7277777777777776,0.13944444444444443
drsr,g0037,CRK34,5,1.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.8128571428571428,0.14795238095238097
drsr,g0038,PO19,5,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.5460317460317461,0.1346031746031746
drsr,g0039,CRK0,5,1.0,1.0,0.0,0.0,0.0,0.05,0.6666666666666666,0.8357142857142856,0.16523809523809524
drsr,g0040,feynman-i.29.16,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.18
drsr,g0041,PO41,5,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.7287878787878788,0.1528787878787879
drsr,g0042,feynman_test_15,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.95,0.195
drsr,g0043,CRK33,5,1.0,1.0,0.0,0.0,0.0,0.06315789473684211,1.0,0.6933333333333332,0.18828070175438597
drsr,g0044,feynman-i.15.3t,5,1.0,1.0,0.0,0.0,0.0,0.0,0.47000000000000003,0.7733333333333333,0.12433333333333337
drsr,g0045,feynman-bonus.20,5,1.0,1.0,0.0,0.0,0.0,0.06428571428571428,0.5142857142857142,0.6785714285714286,0.13857142857142857
drsr,g0046,II.6.15b_3_0,5,1.0,0.8,0.0,0.0,0.0,0.18181818181818182,0.8,0.6311111111111112,0.19765656565656567
drsr,g0047,BPG5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.8428571428571427,0.15095238095238095
drsr,g0048,MatSci21,5,1.0,1.0,0.0,0.0,0.0,0.18888888888888888,1.0,0.95,0.25166666666666665
