algorithm,datasets,ID_Q,OOD_G,SYM_F_proxy,EFF,STAB_proxy,valid_rate,median_seconds,parse_rate,numeric_equiv_proxy_rate,HexaScore_clean_proxy,ROB,noise_expected_cells,noise_observed_runs,noise_valid_runs,noise_cell_coverage,noise_valid_rate,HexaScore_v1_proxy,SYM_F_formal,exact_equiv_rate,cas_equiv_rate,numeric_equiv_rate,pred_parse_rate,mean_tree_similarity,mean_var_f1,mean_op_f1,SYM_F,STAB_formal,STAB_proxy_recomputed,STAB,HexaScore_formal_with_ROB,HexaScore_formal_clean,HexaScore_formal_with_ROB_stabproxy,HexaScore_formal_clean_stabproxy,ID_Q_ci_low,ID_Q_ci_high,OOD_G_ci_low,OOD_G_ci_high,SYM_F_ci_low,SYM_F_ci_high,EFF_ci_low,EFF_ci_high,ROB_ci_low,ROB_ci_high,STAB_ci_low,STAB_ci_high,HexaScore_formal_with_ROB_ci_low,HexaScore_formal_with_ROB_ci_high
imcts,50,58.06679663122634,63.98946973507428,72.2,46.75447819567172,48.259227151614525,0.968,2927.832,1.0,0.444,57.06836506796616,38.49118828039087,150,750,746,1.0,0.9946666666666668,53.44286664659522,41.50328125463624,0.308,0.016,0.308,1.0,0.1847608570060232,0.7129728715728716,0.7906761904761904,41.50328125463624,42.78938508321483,48.259227151614525,42.78938508321483,47.764646197819175,49.871865594355484,48.73196811635338,51.086303357227514,45.588340909327066,69.40072020421616,52.99786209558692,74.0517348805935,32.52504505329141,51.086282517262504,34.07635416551878,57.8989817174167,32.181625852354216,44.70175120985615,37.081709896110176,48.51356925965375,39.52454364177563,55.277328890274035
udsr,50,63.76011210664112,59.8620857481072,35.2,41.04561494345951,45.86137912257476,1.0,3601.8355,1.0,0.352,47.92824111983027,41.13736031471694,150,750,746,1.0,0.9946666666666668,46.72317135065008,36.83411102622867,0.24,0.056,0.24,1.0,0.1292002376708259,0.8521142857142857,0.7672008658008658,36.83411102622867,46.7430228329714,45.86137912257476,46.7430228329714,47.227524486493195,48.54974286813107,47.07788039518774,48.36520103776106,54.50694394337878,73.5105891082776,50.58162560002259,69.11855399209998,28.61711568415245,45.39836965240641,31.70890619547098,51.39856784528879,37.481649315091985,44.94455472975024,41.88358827831287,51.44227205222248,40.463755892180146,53.859947743453674
pysr,50,51.33352443145672,60.71762138618468,41.54666666666667,17.824026653807838,45.66007918310955,0.96,3602.4,1.0,0.392,40.23082145136684,43.88164025570498,150,750,745,1.0,0.9933333333333332,40.8174834840808,43.61704673049727,0.34,0.136,0.34,1.0,0.2417867021683868,0.6830297924297924,0.7396412698412698,43.61704673049727,47.054159553809164,45.66007918310955,47.054159553809164,41.356438448057425,40.86911059458828,41.14965870430951,40.62402160285684,39.53680940104911,62.89398891862204,50.7297006713401,69.69808472291521,33.209645339135015,53.7513242380139,13.606938863081476,21.889557036371937,38.93208621168715,48.1130207738672,39.88078796839754,53.93273695287744,34.05563805818394,47.898835612485854
dso,50,37.03158342227677,48.041196907302286,18.466666666666665,24.177623511269772,41.94804783893773,0.972,2611.2755,1.0,0.176,31.955086338320942,48.29812179043572,150,750,740,1.0,0.9866666666666668,34.23248052789601,31.25513144011338,0.18,0.152,0.18,1.0,0.1829075559402875,0.7958943722943722,0.693759595959596,31.25513144011338,44.78159811346199,41.94804783893773,44.78159811346199,37.779697710365554,35.968649008370555,37.37035066394598,35.50148823483693,29.783677789910815,45.66026483102928,41.21899879508136,55.403523781333604,24.025824335334107,40.38098530365842,17.025538342256517,32.688226206832994,41.96860537437218,55.157016056271594,39.15854001633729,51.72241236407871,30.812098730741976,45.63304707851596
drsr,50,41.69623761919004,45.97710704557581,11.2,13.178212977469563,32.1647898104765,1.0,3901.0955,0.992,0.112,24.6501039215939,36.45538187521324,150,750,747,1.0,0.996,26.311316015128387,26.837936340024378,0.12,0.008,0.12,0.992,0.0975822343851688,0.8176857142857143,0.7742308802308803,26.837936340024378,35.15138385858909,32.16478981047649,35.15138385858909,30.890483429819938,29.883902829845372,30.43671329510677,29.357899111527548,32.57676901638737,51.49313465672448,39.26109021630749,53.296925558102664,21.237416032554062,32.75086286229437,10.232167208368612,16.5258741535715,33.45841806470261,39.80762277794179,32.41973470822293,38.76473398617574,26.93683343490371,35.556177676899075
llmsr,50,40.41238622302383,42.68755460830026,12.0,12.505835715944816,32.128776840236945,0.984,3609.962,1.0,0.12,24.210334270933604,38.88867606839944,150,750,739,1.0,0.9853333333333332,26.200194448351805,27.295481773919235,0.128,0.036,0.128,1.0,0.1021417031162851,0.8298730158730159,0.7562289044289043,27.295481773919235,34.87730115485845,32.128776840236945,34.87730115485845,30.460068856402483,29.007641889334103,30.046191727500617,28.535316203589588,32.541921579821086,48.492617082511245,36.52716288216065,49.611405136699695,21.44988772935269,34.36500751018589,9.808304978862132,15.327395525484143,35.17408506665181,42.62592927057226,31.720470082605242,38.34341743083861,26.230958290813202,34.764967739498864
qlattice,50,31.949603830263023,35.69644211804619,50.0,26.078654745183343,39.235486173509486,0.972,142.1095,1.0,0.0,35.744146164794685,39.70483963017958,150,750,728,1.0,0.9706666666666668,36.37569896936385,17.814556207077946,0.048,0.0,0.048,0.98,0.0294220996394909,0.6595448773448773,0.6407777777777778,17.814556207077946,33.808766786137866,39.235486173509486,33.808766786137866,29.87701668422694,28.22513230106442,30.627544607792252,29.078093457024927,28.085940429503804,35.78374483697564,31.589960568743447,39.71014100621625,13.47288726273726,23.675572050172047,22.826237970783854,29.128096865544972,36.48824915098219,42.37613110370422,32.129567959454576,35.52683505432784,27.600812402222058,32.12871939545131
gplearn,50,28.66467194856392,40.72096337010486,12.15047619047619,9.024932583551776,34.163684475981405,1.0,3602.4790000000003,0.984,0.064,21.28890860105416,41.37958224864829,150,750,747,1.0,0.996,23.78257353112721,20.01621360304642,0.08,0.06,0.08,0.98,0.0850725361669634,0.6967800865800865,0.5272236652236653,20.01621360304642,35.40048178546522,34.163684475981405,35.40048178546522,25.999462196861522,23.691906888623862,25.84581826223193,23.523997418609213,23.531496430098795,34.722670172504635,36.64349275412403,44.91201631085776,15.541066323511368,24.74724928058697,7.523671475320082,11.009614503147624,37.26660994715197,46.31114021156573,32.3931113283519,38.94128433044363,23.046295139615843,29.65001391213465
pyoperon,50,23.280666063877444,33.55405867395381,5.377777777777778,19.67739885124065,29.086360192966502,0.84,10.1265,0.9755555555555556,0.0,18.888613318436096,32.60757215090187,150,750,617,1.0,0.8226666666666667,20.688061914828324,11.304637326924285,0.0,0.0,0.0,0.984,0.025615131824697,0.5143142857142857,0.5794683982683982,11.304637326924285,30.18371748167541,29.086360192966502,30.18371748167541,23.560038499404794,22.077378439508173,23.415068766581904,21.914462964716694,19.431713677148004,27.977027017080005,28.879281066107573,37.806973576411046,9.822397710164228,12.747873138769439,16.233630624123435,23.8794046947443,28.203172200711638,37.04585718334706,27.962535301810963,32.383962052805266,21.101132277803046,26.400498609983874
tpsr,50,17.140449061744295,34.02903278688633,0.0,11.505592042130456,32.73816844967692,0.996,1476.225,0.8877380952380952,0.0,1.855098738987704,27.6383080373028,150,750,740,1.0,0.9866666666666668,2.909987347194008,15.240383616383616,0.004,0.0,0.004,1.0,0.0354677322677322,0.7356129426129426,0.6551650793650794,15.240383616383616,37.018690218675765,32.73816844967691,37.018690218675765,21.70791914952384,20.684238839599946,21.267857925016656,20.182093319454573,15.165778339125751,19.359961530289215,30.592381254765556,37.61306346003404,14.108589010989009,16.637377139527135,9.665430216283672,13.634443091356186,24.40514522426876,31.248418944662728,34.87702477603003,39.38220428385993,19.993715348189358,23.81014538778522
