algorithm,noise_sigma,observed_runs,datasets,valid_runs,metric_complete,median_id_nmse,median_ood_nmse,expected_runs,observed_rate,valid_rate
drsr,0.01,250,50,247,247,0.009303690308866398,0.18286700576231235,250,1.0,0.988
drsr,0.05,250,50,250,250,0.03156584698215168,0.29166438763679836,250,1.0,1.0
drsr,0.1,250,50,250,250,0.036075409909492324,0.3941494848815992,250,1.0,1.0
dso,0.01,250,50,249,249,0.04298089515023171,0.24573876710368128,250,1.0,0.996
dso,0.05,250,50,246,246,0.03763600441006752,0.23272808988493032,250,1.0,0.984
dso,0.1,250,50,245,245,0.03544315181230043,0.22122258940243505,250,1.0,0.98
e2esr,0.01,250,50,202,202,0.06362410055184944,0.6360210671047093,250,1.0,0.808
e2esr,0.05,250,50,208,208,0.07074461845149148,0.9750513254964961,250,1.0,0.832
e2esr,0.1,250,50,204,204,0.11521133529847785,1.0025935551305718,250,1.0,0.816
gplearn,0.01,250,50,247,247,0.055918681994097816,0.37646612456523243,250,1.0,0.988
gplearn,0.05,250,50,250,250,0.06441717608530492,0.3705803329863094,250,1.0,1.0
gplearn,0.1,250,50,250,250,0.03661282520227113,0.32245450598183356,250,1.0,1.0
imcts,0.01,250,50,250,250,0.0007162029611103188,0.004409874465310578,250,1.0,1.0
imcts,0.05,250,50,250,250,0.000530460684115793,0.005647987262676081,250,1.0,1.0
imcts,0.1,250,50,246,246,0.0010190791964217348,0.016755048194954127,250,1.0,0.984
llmsr,0.01,250,50,246,246,0.004319654893785334,0.10960381397321393,250,1.0,0.984
llmsr,0.05,250,50,245,245,0.00490752952831564,0.17137953146173365,250,1.0,0.98
llmsr,0.1,250,50,248,248,0.009057476863442722,0.28002748985418735,250,1.0,0.992
pyoperon,0.01,250,50,204,204,0.06667339516764675,0.5399183710800517,250,1.0,0.816
pyoperon,0.05,250,50,206,206,0.07098766723798841,0.5429213799738797,250,1.0,0.824
pyoperon,0.1,250,50,207,207,0.07027502199111552,0.5774138653274143,250,1.0,0.828
pysr,0.01,250,50,247,247,3.0297232640299092e-05,0.0006677203930820758,250,1.0,0.988
pysr,0.05,250,50,249,249,0.00012529016541862112,0.006117759238687239,250,1.0,0.996
pysr,0.1,250,50,249,249,0.0003203174395577664,0.01182084759086808,250,1.0,0.996
qlattice,0.01,250,50,245,245,0.0037469016813719354,0.19485086776311647,250,1.0,0.98
qlattice,0.05,250,50,244,244,0.0049897934517654265,0.33195147637513217,250,1.0,0.976
qlattice,0.1,250,50,239,239,0.01271777772421029,0.3289199404173665,250,1.0,0.956
ragsr,0.01,250,50,239,239,72.87831368812574,674.8675777851051,250,1.0,0.956
ragsr,0.05,250,50,245,245,79.60177553288314,412.78655974077014,250,1.0,0.98
ragsr,0.1,250,50,243,243,95.27902864701319,260.8003086910585,250,1.0,0.972
tpsr,0.01,250,50,248,248,0.5799368736547319,0.9999639196654124,250,1.0,0.992
tpsr,0.05,250,50,249,249,0.6810592309692334,0.9999956315568782,250,1.0,0.996
tpsr,0.1,250,50,243,243,0.8370408580850783,1.0000115523954565,250,1.0,0.972
udsr,0.01,250,50,250,250,4.64452434821765e-05,0.019697012006667187,250,1.0,1.0
udsr,0.05,250,50,247,247,0.00024881963523400093,0.1145648998702565,250,1.0,0.988
udsr,0.1,250,50,249,249,0.0003791046567793384,0.1770243293882562,250,1.0,0.996
