algorithm,gid,dataset,seed,status,valid_output,seconds,train_nmse,valid_nmse,id_test_nmse,ood_test_nmse,metric_complete,noise_sigma
pyoperon,g0007,Korns-2,0,error,False,1.201,,,,,False,0.01
pysr,g0007,Korns-2,0,error,False,1.208,,,,,False,0.01
gplearn,g0005,Keijzer-11,0,error,False,1.223,,,,,False,0.01
ragsr,g0007,Korns-2,0,error,False,1.224,,,,,False,0.01
gplearn,g0007,Korns-2,0,error,False,1.254,,,,,False,0.01
pyoperon,g0005,Keijzer-11,0,error,False,1.268,,,,,False,0.01
gplearn,g0003,feynman-ii.27.18,0,error,False,1.283,,,,,False,0.01
pyoperon,g0003,feynman-ii.27.18,0,error,False,1.284,,,,,False,0.01
pysr,g0003,feynman-ii.27.18,0,error,False,1.287,,,,,False,0.01
ragsr,g0003,feynman-ii.27.18,0,error,False,1.303,,,,,False,0.01
pyoperon,g0033,feynman-iii.10.19,3,no_valid_output,False,2.045,,,,,False,0.05
pyoperon,g0030,feynman-iii.7.38,3,no_valid_output,False,2.058,,,,,False,0.1
llmsr,g0046,II.6.15b_3_0,2,error,False,2.083,,,,,False,0.01
pyoperon,g0030,feynman-iii.7.38,3,no_valid_output,False,2.232,,,,,False,0.05
pyoperon,g0033,feynman-iii.10.19,4,no_valid_output,False,2.241,,,,,False,0.05
pyoperon,g0045,feynman-bonus.20,3,no_valid_output,False,2.252,,,,,False,0.1
pyoperon,g0030,feynman-iii.7.38,4,no_valid_output,False,2.258,,,,,False,0.01
pyoperon,g0030,feynman-iii.7.38,4,no_valid_output,False,2.275,,,,,False,0.1
pyoperon,g0045,feynman-bonus.20,3,no_valid_output,False,2.302,,,,,False,0.05
pyoperon,g0030,feynman-iii.7.38,3,no_valid_output,False,2.341,,,,,False,0.01
pyoperon,g0045,feynman-bonus.20,3,no_valid_output,False,2.347,,,,,False,0.01
pysr,g0005,Keijzer-11,0,error,False,2.539,,,,,False,0.01
pyoperon,g0033,feynman-iii.10.19,3,no_valid_output,False,2.566,,,,,False,0.1
ragsr,g0005,Keijzer-11,0,error,False,2.671,,,,,False,0.01
pyoperon,g0033,feynman-iii.10.19,4,no_valid_output,False,2.697,,,,,False,0.01
