Rank,Algorithm,ID-Q,OOD-G,SYM-F,EFF,ROBU,STAB,HexaScore [95% CI]
1,iMCTS,58.1,64.0,41.5,46.8,38.5,42.8,"47.8 [39.5, 55.3]"
2,uDSR,63.8,59.9,36.8,41.0,41.1,46.7,"47.2 [40.5, 53.9]"
3,PySR,51.3,60.7,43.6,17.8,43.9,47.1,"41.4 [34.1, 47.9]"
4,DSO,37.0,48.0,31.3,24.2,48.3,44.8,"37.8 [30.8, 45.6]"
5,DRSR,41.7,46.0,26.8,13.2,36.5,35.2,"30.9 [26.9, 35.6]"
6,LLM-SR,40.4,42.7,27.3,12.5,38.9,34.9,"30.5 [26.2, 34.8]"
7,QLattice,31.9,35.7,17.8,26.1,39.7,33.8,"29.9 [27.6, 32.1]"
8,gplearn,28.7,40.7,20.0,9.0,41.4,35.4,"26.0 [23.0, 29.7]"
9,PyOperon,23.3,33.6,11.3,19.7,32.6,30.2,"23.6 [21.1, 26.4]"
10,TPSR,17.1,34.0,15.2,11.5,27.6,37.0,"21.7 [20.0, 23.8]"
11,E2ESR,17.6,33.8,12.4,14.5,26.2,29.0,"20.8 [17.6, 23.8]"
12,RAG-SR,6.2,27.6,15.7,3.2,11.3,24.5,"11.6 [9.3, 13.9]"
