Algorithm,#Datasets,SYM_F_formal,Exact equiv rate,CAS equiv rate,Numeric equiv rate,Parse rate,Tree similarity,Variable F1,Operator F1
pysr,50,43.61704673049727,0.34,0.136,0.34,1.0,0.2417867021683868,0.6830297924297924,0.7396412698412698
imcts,50,41.50328125463624,0.308,0.016,0.308,1.0,0.1847608570060232,0.7129728715728716,0.7906761904761904
udsr,50,36.83411102622867,0.24,0.056,0.24,1.0,0.1292002376708259,0.8521142857142857,0.7672008658008658
dso,50,31.25513144011338,0.18,0.152,0.18,1.0,0.1829075559402875,0.7958943722943722,0.693759595959596
llmsr,50,27.295481773919235,0.128,0.036,0.128,1.0,0.1021417031162851,0.8298730158730159,0.7562289044289043
drsr,50,26.837936340024378,0.12,0.008,0.12,0.992,0.0975822343851688,0.8176857142857143,0.7742308802308803
gplearn,50,20.01621360304642,0.08,0.06,0.08,0.98,0.0850725361669634,0.6967800865800865,0.5272236652236653
qlattice,50,17.814556207077946,0.048,0.0,0.048,0.98,0.0294220996394909,0.6595448773448773,0.6407777777777778
ragsr,50,15.72034587634588,0.016,0.0,0.016,1.0,0.0,0.9079460317460316,0.5792187146187147
tpsr,50,15.240383616383616,0.004,0.0,0.004,1.0,0.0354677322677322,0.7356129426129426,0.6551650793650794
e2esr,50,12.439509379509378,0.0,0.0,0.0,1.0,0.0007999999999999,0.8479898989898991,0.6812271284271284
pyoperon,50,11.304637326924285,0.0,0.0,0.0,0.984,0.025615131824697,0.5143142857142857,0.5794683982683982
