Algorithm,ROBU,Noise cell coverage,Overall noise valid rate,Noise observed runs,Noise valid runs,Mean noise valid rate,Median noisy ID NMSE,Median noisy OOD NMSE
dso,48.29812179043572,1.0,0.9866666666666668,750,740,0.9866666666666667,0.0376360044100675,0.2327280898849303
pysr,43.88164025570498,1.0,0.9933333333333332,750,745,0.9933333333333333,0.0001252901654186,0.0061177592386872
gplearn,41.37958224864829,1.0,0.996,750,747,0.996,0.0559186819940978,0.3705803329863094
udsr,41.13736031471694,1.0,0.9946666666666668,750,746,0.9946666666666667,0.000248819635234,0.1145648998702565
qlattice,39.70483963017958,1.0,0.9706666666666668,750,728,0.9706666666666667,0.0049897934517654,0.3289199404173665
llmsr,38.88867606839944,1.0,0.9853333333333332,750,739,0.9853333333333333,0.0049075295283156,0.1713795314617336
imcts,38.49118828039087,1.0,0.9946666666666668,750,746,0.9946666666666667,0.0007162029611103,0.005647987262676
drsr,36.45538187521324,1.0,0.996,750,747,0.996,0.0315658469821516,0.2916643876367983
pyoperon,32.60757215090187,1.0,0.8226666666666667,750,617,0.8226666666666667,0.0702750219911155,0.5429213799738797
tpsr,27.6383080373028,1.0,0.9866666666666668,750,740,0.9866666666666667,0.6810592309692334,0.9999956315568782
e2esr,26.2117262440901,1.0,0.8186666666666667,750,614,0.8186666666666667,0.0707446184514914,0.975051325496496
ragsr,11.343152289285372,1.0,0.9693333333333334,750,727,0.9693333333333333,79.60177553288314,412.7865597407701
