Algorithm,Noise sigma,Observed runs,Valid runs,Valid rate,Median ID NMSE,Median OOD NMSE
drsr,0.01,250,247,0.988,0.0093036903088663,0.1828670057623123
drsr,0.05,250,250,1.0,0.0315658469821516,0.2916643876367983
drsr,0.1,250,250,1.0,0.0360754099094923,0.3941494848815992
dso,0.01,250,249,0.996,0.0429808951502317,0.2457387671036812
dso,0.05,250,246,0.984,0.0376360044100675,0.2327280898849303
dso,0.1,250,245,0.98,0.0354431518123004,0.221222589402435
e2esr,0.01,250,202,0.808,0.0636241005518494,0.6360210671047093
e2esr,0.05,250,208,0.832,0.0707446184514914,0.975051325496496
e2esr,0.1,250,204,0.816,0.1152113352984778,1.0025935551305718
gplearn,0.01,250,247,0.988,0.0559186819940978,0.3764661245652324
gplearn,0.05,250,250,1.0,0.0644171760853049,0.3705803329863094
gplearn,0.1,250,250,1.0,0.0366128252022711,0.3224545059818335
imcts,0.01,250,250,1.0,0.0007162029611103,0.0044098744653105
imcts,0.05,250,250,1.0,0.0005304606841157,0.005647987262676
imcts,0.1,250,246,0.984,0.0010190791964217,0.0167550481949541
llmsr,0.01,250,246,0.984,0.0043196548937853,0.1096038139732139
llmsr,0.05,250,245,0.98,0.0049075295283156,0.1713795314617336
llmsr,0.1,250,248,0.992,0.0090574768634427,0.2800274898541873
pyoperon,0.01,250,204,0.816,0.0666733951676467,0.5399183710800517
pyoperon,0.05,250,206,0.824,0.0709876672379884,0.5429213799738797
pyoperon,0.1,250,207,0.828,0.0702750219911155,0.5774138653274143
pysr,0.01,250,247,0.988,3.029723264029909e-05,0.000667720393082
pysr,0.05,250,249,0.996,0.0001252901654186,0.0061177592386872
pysr,0.1,250,249,0.996,0.0003203174395577,0.011820847590868
qlattice,0.01,250,245,0.98,0.0037469016813719,0.1948508677631164
qlattice,0.05,250,244,0.976,0.0049897934517654,0.3319514763751321
qlattice,0.1,250,239,0.956,0.0127177777242102,0.3289199404173665
ragsr,0.01,250,239,0.956,72.87831368812574,674.8675777851051
ragsr,0.05,250,245,0.98,79.60177553288314,412.7865597407701
ragsr,0.1,250,243,0.972,95.2790286470132,260.8003086910585
tpsr,0.01,250,248,0.992,0.5799368736547319,0.9999639196654124
tpsr,0.05,250,249,0.996,0.6810592309692334,0.9999956315568782
tpsr,0.1,250,243,0.972,0.8370408580850783,1.0000115523954565
udsr,0.01,250,250,1.0,4.64452434821765e-05,0.0196970120066671
udsr,0.05,250,247,0.988,0.000248819635234,0.1145648998702565
udsr,0.1,250,249,0.996,0.0003791046567793,0.1770243293882562
