rank_ood_penalized,algorithm,datasets,runs,metric_complete_rate,valid_output_rate,mean_dataset_median_ood_test_log_nmse_penalized,median_dataset_median_ood_test_log_nmse_penalized,mean_dataset_median_id_test_log_nmse_penalized,mean_dataset_median_valid_log_nmse_penalized,mean_dataset_median_train_log_nmse_penalized,dataset_wins_by_ood_median,mean_median_seconds,median_median_seconds
1,udsr,50,250,1.0,1.0,-5.645602441110563,-4.737184604516365,-6.920029193359739,-6.942948655130615,-7.054950822243249,21,2417.2963200000004,3601.8355
2,imcts,50,250,0.968,1.0,-3.959632265969538,-7.812419075681457,-4.8421257099,-4.836759209402328,-4.621292027035886,5,2111.5436600000003,2927.832
3,pysr,50,250,0.96,1.0,-3.055014948868296,-2.6776186889617377,-3.8482338554065563,-3.8343068633445183,-3.6996116177462928,9,3602.6805000000004,3602.4
4,dso,50,250,0.972,1.0,-2.457664957150578,-0.632350749263493,-2.9844216791187397,-3.2397272283994734,-3.2802986359523683,3,2363.24448,2611.2755
5,drsr,50,250,1.0,1.0,-2.086853494796818,-0.7064734384932267,-3.395760417737017,-3.303896135888361,-3.519047627561264,7,3889.9067999999997,3901.056
6,llmsr,50,250,0.992,1.0,-1.4200064438162772,-0.8422577108108646,-2.9583614992476703,-2.8887927146372956,-3.0701939016553843,2,3609.4320800000005,3608.9975
7,gplearn,50,250,1.0,1.0,-1.2068919940424714,-0.26044595362816825,-2.0130540727989454,-2.0511525439827762,-2.123278787899463,0,3602.6326999999997,3602.4790000000003
8,qlattice,50,250,0.972,0.98,-0.7802781227216851,-1.0384753785225924,-2.2729445362368104,-2.2602104861084067,-2.395325115530167,0,197.51979999999995,142.1095
9,tpsr,50,250,0.996,1.0,0.8962508310551708,-6.591285772190076e-08,0.2003371313558007,0.18346829786887603,0.12391355453324737,1,1561.4752600000004,1476.225
10,pyoperon,50,250,0.84,0.984,1.0788036461050239,-0.07468660096752379,-0.070380435151014,-0.10509521038802667,-0.1564372965881632,1,11.392879999999998,10.1265
11,e2esr,50,250,0.8,1.0,2.891362656470359,0.13638096341591435,2.0493275565891733,1.9980902554122215,2.0012863591571444,1,878.9000799999998,522.4845
12,ragsr,50,250,0.964,1.0,3.788157956305769,2.852289879753302,3.252606842929788,3.1949161058720312,3.2023361827364125,0,3001.3668600000005,3064.315
