task_id,tool,seed,global_index,host,status,termination_reason,dataset_name,dataset_dir,result_json,raw_result_json
drsr_s0_g0001,drsr,0,1,anon-node-02,ok,budget_exhausted_with_output,,/home/anonymous/sim-datasets-data/llm-srbench/lsrtransform/II.34.2_1_0,exp-planning/04.Core50正式全量评测/generated/core50_12alg_5seed_final_results/results/drsr/seed0/drsr_s0_g0001.json,experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0001/anon-node-02/drsr/g0001_II.34.2_1_0/result.json
drsr_s0_g0002,drsr,0,2,anon-node-03,ok,budget_exhausted_with_output,,/home/anonymous/sim-datasets-data/srbench2025/firstprinciples/first_principles_hubble,exp-planning/04.Core50正式全量评测/generated/core50_12alg_5seed_final_results/results/drsr/seed0/drsr_s0_g0002.json,experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0002/anon-node-03/drsr/g0002_first_principles_hubble/result.json
drsr_s0_g0003,drsr,0,3,anon-node-05,ok,budget_exhausted_with_output,,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.27.18,exp-planning/04.Core50正式全量评测/generated/core50_12alg_5seed_final_results/results/drsr/seed0/drsr_s0_g0003.json,experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0003/anon-node-05/drsr/g0003_feynman-ii.27.18/result.json
drsr_s0_g0004,drsr,0,4,anon-node-06,ok,budget_exhausted_with_output,,/home/anonymous/sim-datasets-data/korns/Korns-4,exp-planning/04.Core50正式全量评测/generated/core50_12alg_5seed_final_results/results/drsr/seed0/drsr_s0_g0004.json,experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0004/anon-node-06/drsr/g0004_Korns-4/result.json
drsr_s0_g0005,drsr,0,5,anon-node-04,ok,budget_exhausted_with_output,,/home/anonymous/sim-datasets-data/keijzer/Keijzer-11,exp-planning/04.Core50正式全量评测/generated/core50_12alg_5seed_final_results/results/drsr/seed0/drsr_s0_g0005.json,experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0005/anon-node-04/drsr/g0005_Keijzer-11/result.json
drsr_s0_g0006,drsr,0,6,anon-node-08,ok,budget_exhausted_with_output,,/home/anonymous/sim-datasets-data/keijzer/Keijzer-2,exp-planning/04.Core50正式全量评测/generated/core50_12alg_5seed_final_results/results/drsr/seed0/drsr_s0_g0006.json,experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0006/anon-node-08/drsr/g0006_Keijzer-2/result.json
drsr_s0_g0007,drsr,0,7,anon-node-06,ok,budget_exhausted_with_output,,/home/anonymous/sim-datasets-data/korns/Korns-2,exp-planning/04.Core50正式全量评测/generated/core50_12alg_5seed_final_results/results/drsr/seed0/drsr_s0_g0007.json,experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0007/anon-node-06/drsr/g0007_Korns-2/result.json
drsr_s0_g0008,drsr,0,8,anon-node-08,ok,budget_exhausted_with_output,,/home/anonymous/sim-datasets-data/nguyen/Nguyen-12,exp-planning/04.Core50正式全量评测/generated/core50_12alg_5seed_final_results/results/drsr/seed0/drsr_s0_g0008.json,experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0008/anon-node-08/drsr/g0008_Nguyen-12/result.json
drsr_s0_g0009,drsr,0,9,anon-node-05,ok,budget_exhausted_with_output,,/home/anonymous/sim-datasets-data/nguyen/Nguyen-6,exp-planning/04.Core50正式全量评测/generated/core50_12alg_5seed_final_results/results/drsr/seed0/drsr_s0_g0009.json,experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0009/anon-node-05/drsr/g0009_Nguyen-6/result.json
drsr_s0_g0010,drsr,0,10,anon-node-03,ok,budget_exhausted_with_output,,/home/anonymous/sim-datasets-data/nguyen/Nguyen-9,exp-planning/04.Core50正式全量评测/generated/core50_12alg_5seed_final_results/results/drsr/seed0/drsr_s0_g0010.json,experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0010/anon-node-03/drsr/g0010_Nguyen-9/result.json
