tool,timeout_seconds,non_time_caps
drsr,10800,timeout_in_seconds=10800; niterations=2000000
dso,10800,timeout_in_seconds=10800; training.n_samples=200000000; training.batch_size=1000
e2esr,10800,timeout_in_seconds=10800; max_number_bags=10000000
gplearn,10800,timeout_in_seconds=10800; generations=10000000
imcts,10800,timeout_in_seconds=10800; max_expressions=1000000000; budget_chunks=10000000
llmsr,10800,timeout_in_seconds=10800; niterations=2000000
pyoperon,10800,timeout_in_seconds=10800; generations=10000000; max_evaluations=5000000000; max_time=10800
pysr,10800,timeout_in_seconds=10800; niterations=100000000
qlattice,10800,timeout_in_seconds=10800; n_epochs=10000000
ragsr,10800,timeout_in_seconds=10800; time_limit=10795; n_gen=10000000
tpsr,10800,timeout_in_seconds=10800; max_number_bags=10000000; budget_steps=100000000
udsr,10800,timeout_in_seconds=10800; training.n_samples=200000000; training.batch_size=1000
