logical_key,condition,algorithm,dataset_id,seed,task_id,host,availability_status,q_star,m_eff,eff_score,unavailable_reason,required_action,evaluation_path,bundle_path,bundle_sha256,native_eff_schema_version
drsr::BPG3::s520::clean,clean,drsr,BPG3,520,drsr_s520_clean_g0005,anon-node-08,available,0.665307664344826,0.9222195764450605,92.22195764450605,,,canonical_replay.v1,/workspace/SymbolicArenaCode/AAAI_experiments/stage5_metric_calculation_0831/source_snapshot/trajectory_freeze/clean_freeze_anon-node-08.jsonl.gz,1b2eb57e97ccb9d9792fbaa0085b248a7f05ba3114885a75707b5e132004e1cd,algorithm_native_internal_best_so_far.v1
drsr::BPG3::s521::clean,clean,drsr,BPG3,521,drsr_s521_clean_g0005,anon-node-08,available,0.7619146236964643,0.9480399095127872,94.80399095127872,,,canonical_replay.v1,/workspace/SymbolicArenaCode/AAAI_experiments/stage5_metric_calculation_0831/source_snapshot/trajectory_freeze/clean_freeze_anon-node-08.jsonl.gz,1b2eb57e97ccb9d9792fbaa0085b248a7f05ba3114885a75707b5e132004e1cd,algorithm_native_internal_best_so_far.v1
drsr::BPG3::s522::clean,clean,drsr,BPG3,522,drsr_s522_clean_g0005,anon-node-06,available,0.7925211339929995,0.7597517696548808,75.97517696548807,,,canonical_replay.v1,/workspace/SymbolicArenaCode/AAAI_experiments/stage5_metric_calculation_0831/source_snapshot/trajectory_freeze/clean_freeze_anon-node-06.jsonl.gz,f401f870cc2b95788f867c08ceb06dfa1aca1a9c275e9dc0e0a8a3370b24e410,algorithm_native_internal_best_so_far.v1
drsr::BPG5::s520::clean,clean,drsr,BPG5,520,drsr_s520_clean_g0006,anon-node-08,available,0.8772105278611656,0.9921406399746229,99.21406399746229,,,canonical_replay.v1,/workspace/SymbolicArenaCode/experiments/drsr3h_ssr50_seed520-522_noise0-001-005_turbo_20260618-162355/drsr/seed520/tasks/drsr_s520_clean_g0006/anon-node-08/drsr/g0006_BPG5/experiments/g0006_BPG5_drsr_seed520_20260618-163010/progress.json,5279723ee95040cd7963ad6782b6e7efc545196a169a9fa0af52d4e0bbf71aef,algorithm_native_internal_best_so_far.v1
drsr::BPG5::s521::clean,clean,drsr,BPG5,521,drsr_s521_clean_g0006,anon-node-08,available,0.8777142846327491,0.9577940009710889,95.77940009710889,,,canonical_replay.v1,/workspace/SymbolicArenaCode/AAAI_experiments/stage5_metric_calculation_0831/source_snapshot/trajectory_freeze/clean_freeze_anon-node-08.jsonl.gz,1b2eb57e97ccb9d9792fbaa0085b248a7f05ba3114885a75707b5e132004e1cd,algorithm_native_internal_best_so_far.v1
drsr::BPG5::s522::clean,clean,drsr,BPG5,522,drsr_s522_clean_g0006,anon-node-06,available,0.87768022097039,0.9681705078269611,96.81705078269611,,,canonical_replay.v1,/workspace/SymbolicArenaCode/AAAI_experiments/stage5_metric_calculation_0831/source_snapshot/trajectory_freeze/clean_freeze_anon-node-06.jsonl.gz,f401f870cc2b95788f867c08ceb06dfa1aca1a9c275e9dc0e0a8a3370b24e410,algorithm_native_internal_best_so_far.v1
drsr::BPG9::s520::clean,clean,drsr,BPG9,520,drsr_s520_clean_g0007,anon-node-08,available,0.49505536749494855,0.9226671384520961,92.26671384520961,,,canonical_replay.v1,/workspace/SymbolicArenaCode/experiments/drsr3h_ssr50_seed520-522_noise0-001-005_turbo_20260618-162355/drsr/seed520/tasks/drsr_s520_clean_g0007/anon-node-08/drsr/g0007_BPG9/experiments/g0007_BPG9_drsr_seed520_20260618-163010/progress.json,7ab2973f926db56e5a2346a4397c7f2bff0d055d48aebc6d7e44fc64114f9904,algorithm_native_internal_best_so_far.v1
drsr::BPG9::s521::clean,clean,drsr,BPG9,521,drsr_s521_clean_g0007,anon-node-08,available,0.5540377896479154,0.6724349689823078,67.24349689823079,,,canonical_replay.v1,/workspace/SymbolicArenaCode/AAAI_experiments/stage5_metric_calculation_0831/source_snapshot/trajectory_freeze/clean_freeze_anon-node-08.jsonl.gz,1b2eb57e97ccb9d9792fbaa0085b248a7f05ba3114885a75707b5e132004e1cd,algorithm_native_internal_best_so_far.v1
drsr::BPG9::s522::clean,clean,drsr,BPG9,522,drsr_s522_clean_g0007,anon-node-06,available,0.30755470787539346,0.8734148320489895,87.34148320489895,,,canonical_replay.v1,/workspace/SymbolicArenaCode/experiments/drsr3h_ssr50_seed520-522_noise0-001-005_turbo_20260618-162355/drsr/seed522/tasks/drsr_s522_clean_g0007/anon-node-06/drsr/g0007_BPG9/experiments/g0007_BPG9_drsr_seed522_20260619-224922/progress.json,b50613baa8b156ffec0c4d2d0274771be6db3da99c32d05da414078d11eaf8ef,algorithm_native_internal_best_so_far.v1
drsr::CRK0::s520::clean,clean,drsr,CRK0,520,drsr_s520_clean_g0008,anon-node-08,available,0.7103065747085591,0.8990531462776404,89.90531462776404,,,canonical_replay.v1,/workspace/SymbolicArenaCode/AAAI_experiments/stage5_metric_calculation_0831/source_snapshot/trajectory_freeze/clean_freeze_anon-node-08.jsonl.gz,1b2eb57e97ccb9d9792fbaa0085b248a7f05ba3114885a75707b5e132004e1cd,algorithm_native_internal_best_so_far.v1
drsr::CRK0::s521::clean,clean,drsr,CRK0,521,drsr_s521_clean_g0008,anon-node-08,available,0.6626284221790284,0.9690833199298279,96.9083319929828,,,canonical_replay.v1,/workspace/SymbolicArenaCode/AAAI_experiments/stage5_metric_calculation_0831/source_snapshot/trajectory_freeze/clean_freeze_anon-node-08.jsonl.gz,1b2eb57e97ccb9d9792fbaa0085b248a7f05ba3114885a75707b5e132004e1cd,algorithm_native_internal_best_so_far.v1
drsr::CRK0::s522::clean,clean,drsr,CRK0,522,drsr_s522_clean_g0008,anon-node-06,available,0.6714839165162703,0.8791353964040887,87.91353964040887,,,canonical_replay.v1,/workspace/SymbolicArenaCode/AAAI_experiments/stage5_metric_calculation_0831/source_snapshot/trajectory_freeze/clean_freeze_anon-node-06.jsonl.gz,f401f870cc2b95788f867c08ceb06dfa1aca1a9c275e9dc0e0a8a3370b24e410,algorithm_native_internal_best_so_far.v1
drsr::CRK10::s520::clean,clean,drsr,CRK10,520,drsr_s520_clean_g0009,anon-node-08,available,0.8299828067725582,0.9410729486975037,94.10729486975036,,,canonical_replay.v1,/workspace/SymbolicArenaCode/AAAI_experiments/stage5_metric_calculation_0831/source_snapshot/trajectory_freeze/clean_freeze_anon-node-08.jsonl.gz,1b2eb57e97ccb9d9792fbaa0085b248a7f05ba3114885a75707b5e132004e1cd,algorithm_native_internal_best_so_far.v1
drsr::CRK10::s521::clean,clean,drsr,CRK10,521,drsr_s521_clean_g0009,anon-node-08,available,0.7180002294485555,0.9446233225523591,94.46233225523592,,,canonical_replay.v1,/workspace/SymbolicArenaCode/AAAI_experiments/stage5_metric_calculation_0831/source_snapshot/trajectory_freeze/clean_freeze_anon-node-08.jsonl.gz,1b2eb57e97ccb9d9792fbaa0085b248a7f05ba3114885a75707b5e132004e1cd,algorithm_native_internal_best_so_far.v1
drsr::CRK10::s522::clean,clean,drsr,CRK10,522,drsr_s522_clean_g0009,anon-node-06,available,0.6923985719921936,0.878385176057505,87.8385176057505,,,canonical_replay.v1,/workspace/SymbolicArenaCode/AAAI_experiments/stage5_metric_calculation_0831/source_snapshot/trajectory_freeze/clean_freeze_anon-node-06.jsonl.gz,f401f870cc2b95788f867c08ceb06dfa1aca1a9c275e9dc0e0a8a3370b24e410,algorithm_native_internal_best_so_far.v1
drsr::CRK11::s520::clean,clean,drsr,CRK11,520,drsr_s520_clean_g0010,anon-node-08,available,0.7563789667563385,0.9625356422299188,96.25356422299188,,,canonical_replay.v1,/workspace/SymbolicArenaCode/AAAI_experiments/stage5_metric_calculation_0831/source_snapshot/trajectory_freeze/clean_freeze_anon-node-08.jsonl.gz,1b2eb57e97ccb9d9792fbaa0085b248a7f05ba3114885a75707b5e132004e1cd,algorithm_native_internal_best_so_far.v1
drsr::CRK11::s521::clean,clean,drsr,CRK11,521,drsr_s521_clean_g0010,anon-node-08,available,0.7446699224507087,0.962931185791494,96.2931185791494,,,canonical_replay.v1,/workspace/SymbolicArenaCode/AAAI_experiments/stage5_metric_calculation_0831/source_snapshot/trajectory_freeze/clean_freeze_anon-node-08.jsonl.gz,1b2eb57e97ccb9d9792fbaa0085b248a7f05ba3114885a75707b5e132004e1cd,algorithm_native_internal_best_so_far.v1
drsr::CRK11::s522::clean,clean,drsr,CRK11,522,drsr_s522_clean_g0010,anon-node-06,available,0.7692656507096132,0.9621844173528842,96.21844173528842,,,canonical_replay.v1,/workspace/SymbolicArenaCode/AAAI_experiments/stage5_metric_calculation_0831/source_snapshot/trajectory_freeze/clean_freeze_anon-node-06.jsonl.gz,f401f870cc2b95788f867c08ceb06dfa1aca1a9c275e9dc0e0a8a3370b24e410,algorithm_native_internal_best_so_far.v1
drsr::CRK33::s520::clean,clean,drsr,CRK33,520,drsr_s520_clean_g0011,anon-node-02,available,0.7261754058084706,0.9623896173110873,96.23896173110873,,,canonical_replay.v1,/workspace/SymbolicArenaCode/AAAI_experiments/stage5_metric_calculation_0831/source_snapshot/trajectory_freeze/clean_freeze_anon-node-02.jsonl.gz,6f3d711da91772a835a9b5dfe98fd4032e92eef80800ff56e0b5fcae35ad5dd2,algorithm_native_internal_best_so_far.v1
drsr::CRK33::s521::clean,clean,drsr,CRK33,521,drsr_s521_clean_g0011,anon-node-06,available,0.7284731912834341,0.8738537853904649,87.38537853904649,,,canonical_replay.v1,/workspace/SymbolicArenaCode/AAAI_experiments/stage5_metric_calculation_0831/source_snapshot/trajectory_freeze/clean_freeze_anon-node-06.jsonl.gz,f401f870cc2b95788f867c08ceb06dfa1aca1a9c275e9dc0e0a8a3370b24e410,algorithm_native_internal_best_so_far.v1
drsr::CRK33::s522::clean,clean,drsr,CRK33,522,drsr_s522_clean_g0011,anon-node-07,available,0.7067570247634782,0.9330583380584939,93.30583380584939,,,canonical_replay.v1,/workspace/SymbolicArenaCode/AAAI_experiments/stage5_metric_calculation_0831/source_snapshot/trajectory_freeze/clean_freeze_anon-node-07.jsonl.gz,3dbe3c2cf2c04396d7997520443b3ad1acba62a7d68a732a1733fa230d225509,algorithm_native_internal_best_so_far.v1
drsr::CRK34::s520::clean,clean,drsr,CRK34,520,drsr_s520_clean_g0012,anon-node-02,available,0.7400758160109182,0.885169212829722,88.5169212829722,,,canonical_replay.v1,/workspace/SymbolicArenaCode/AAAI_experiments/stage5_metric_calculation_0831/source_snapshot/trajectory_freeze/clean_freeze_anon-node-02.jsonl.gz,6f3d711da91772a835a9b5dfe98fd4032e92eef80800ff56e0b5fcae35ad5dd2,algorithm_native_internal_best_so_far.v1
drsr::CRK34::s521::clean,clean,drsr,CRK34,521,drsr_s521_clean_g0012,anon-node-06,available,0.7480629569443531,0.9272254507307665,92.72254507307665,,,canonical_replay.v1,/workspace/SymbolicArenaCode/AAAI_experiments/stage5_metric_calculation_0831/source_snapshot/trajectory_freeze/clean_freeze_anon-node-06.jsonl.gz,f401f870cc2b95788f867c08ceb06dfa1aca1a9c275e9dc0e0a8a3370b24e410,algorithm_native_internal_best_so_far.v1
drsr::CRK34::s522::clean,clean,drsr,CRK34,522,drsr_s522_clean_g0012,anon-node-07,available,0.7058221034062977,0.8881951382602415,88.81951382602415,,,canonical_replay.v1,/workspace/SymbolicArenaCode/AAAI_experiments/stage5_metric_calculation_0831/source_snapshot/trajectory_freeze/clean_freeze_anon-node-07.jsonl.gz,3dbe3c2cf2c04396d7997520443b3ad1acba62a7d68a732a1733fa230d225509,algorithm_native_internal_best_so_far.v1
