algorithm,algorithm_slug,condition,run_count,task_count,eff_available_run_count,eff_unavailable_run_count,stab_available_task_count,stab_unavailable_task_count,ID,OOD,SYM,MIN,EFF,STAB,assembly_complete,formal_ready,trajectory_formal_ready,trajectory_bases
drsr,drsr,clean,150,50,150,0,50,0,51.04929902374254,41.86198508792162,35.85332281090731,52.228781256551486,88.32562908796085,7.535305630474167,true,true,true,algorithm_native_internal_best_so_far.v1
dso,dso,clean,150,50,150,0,50,0,33.002128493932915,28.41618113973704,38.62795390651347,80.3007903925259,91.37281792726066,18.580051245912905,true,true,true,algorithm_native_internal_best_so_far.v1
e2esr,e2esr,clean,150,50,150,0,50,0,8.473891712004868,7.815052466483297,30.12538022573462,51.72666879105433,60.6618733015563,44.120091911647044,true,true,true,algorithm_native_internal_best_so_far.v1
fepysr,fepysr,clean,150,50,150,0,50,0,43.647711690004805,38.04917151863745,36.89197855773566,86.84529210247564,91.27059599292944,29.45339428246653,true,true,true,algorithm_native_internal_best_so_far.v1
gplearn,gplearn,clean,150,50,150,0,50,0,30.22232474075681,24.290232241608884,26.364415907046617,62.78248250259746,95.49158361755723,23.577217230298906,true,true,true,algorithm_native_internal_best_so_far.v1
iMCTS,imcts,clean,150,50,150,0,50,0,76.56229646252687,72.03505910830938,39.8569050845633,78.31638467293513,91.29393999213876,16.264799402685416,true,true,true,algorithm_native_internal_best_so_far.v1
jaxsr,jaxsr,clean,150,50,150,0,50,0,37.02659228048842,29.2826969716115,31.488246712071074,75.59906182568717,99.91851851851852,99.04551591714943,true,true,true,algorithm_native_internal_best_so_far.v1
llmsr,llmsr,clean,150,50,150,0,50,0,49.17384504712198,39.544594240002844,34.06313853135678,52.00039407252131,79.28483841478398,8.133181427768836,true,true,true,algorithm_native_internal_best_so_far.v1
pyoperon,pyoperon,clean,150,50,150,0,50,0,26.738218116092217,22.819156000822318,18.8028734132948,43.36519732329276,77.99096455383125,15.309145613061103,true,true,true,algorithm_native_internal_best_so_far.v1
pysr,pysr,clean,150,50,150,0,50,0,53.143884056012354,51.257857406162344,36.435357267919805,82.9408866715036,74.8741312777551,37.62406565459332,true,true,true,algorithm_native_internal_best_so_far.v1
QLattice,qlattice,clean,150,50,150,0,50,0,33.9192447264449,24.485569016485172,29.232632229309438,54.41786964347346,88.96397398184376,28.05625460921249,true,true,true,algorithm_native_internal_best_so_far.v1
ragsr,ragsr,clean,150,50,150,0,50,0,7.021608916892115,7.269014877359223,23.05375525313044,15.864732417122752,50.17777777777777,2.7734450965766593,true,true,true,algorithm_native_internal_best_so_far.v1
symbolfit,symbolfit,clean,150,50,150,0,50,0,46.38079561069933,35.5569524642348,29.59339146226083,43.77821781863513,87.9168187709452,8.630578417233123,true,true,true,algorithm_native_internal_best_so_far.v1
tpsr,tpsr,clean,150,50,150,0,50,0,7.911530601527967,8.288545502292168,28.21252797277838,43.53227656817838,54.78521523268471,69.84597271398953,true,true,true,algorithm_native_internal_best_so_far.v1
udsr,udsr,clean,150,50,150,0,50,0,60.35161816583071,51.770585735547975,34.722574235115914,48.94111741557287,87.1514894501519,23.112229727094277,true,true,true,algorithm_native_internal_best_so_far.v1
