algorithm,algorithm_slug,dataset_id,condition,pair_520_521,pair_520_522,pair_521_522,pair_520_521_underlying,pair_520_522_underlying,pair_521_522_underlying,pair_520_521_audit_source,pair_520_522_audit_source,pair_521_522_audit_source,pair_520_521_evaluation_key,pair_520_522_evaluation_key,pair_521_522_evaluation_key,numerical_consistency,validity,structural_consistency,m_stab,structure_plan_artifact_sha256,structure_index_artifact_sha256,assembly_complete,unresolved_structure
drsr,drsr,BPG3,clean,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,59e0233275bcce3e5393bfb67fd5a8a9f9601cb5e1936d71a05cdb9741a45cd4,f96ce68b3387c49f2d850f8cacee503876bb8305dc3cdd4a51dbcb2e4915e751,67518c00db487c47355137a1e7715ab4bbbcf5c6b1510e10f4083088ac07c70c,0.9121488810509373,1.0,0.0,0.0,632f4eb0e724160f20dc5d05e2ee21acedf4c260128381ddf087e4eeb129777c,045bed814c9d023b182e56b951540ca7d56168c6ff1fff6ded5b58589fc7853f,true,false
drsr,drsr,BPG5,clean,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,7835d4c552bf860ed9bbda587cd8bdcf24bc05bca110a1ff98d593a25f90029d,1f6f6eebfad0d694cc3c84c5c063c901163ff8391cae52cda7def65a61321269,6b10c1bb643763d729fd2e3e9c22c479a14cef6969788113b01903027284d7e3,0.9995183113216061,1.0,0.0,0.0,632f4eb0e724160f20dc5d05e2ee21acedf4c260128381ddf087e4eeb129777c,045bed814c9d023b182e56b951540ca7d56168c6ff1fff6ded5b58589fc7853f,true,false
drsr,drsr,BPG9,clean,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,b6573cafa949370809c987698120c33730533044b85e807642e2194e1b3c7ffd,6621bec63a1d3f6d7b439953599b482bb1d79d314ed5b0282e92286d896fa824,218ce6e55bb89c9c68be8f9a0a9bbbc32b40ee12adaf222d30ead09b89977a4e,0.8356779454849854,1.0,0.0,0.0,632f4eb0e724160f20dc5d05e2ee21acedf4c260128381ddf087e4eeb129777c,045bed814c9d023b182e56b951540ca7d56168c6ff1fff6ded5b58589fc7853f,true,false
drsr,drsr,CRK0,clean,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,2d63a78e7c80a1aabc28f15c7f1cf6ebe2f9882120a01d18fa2ae53a32b321a6,bfc763ef5e0fc3aa6228164f03dd4c00a293c59d25641c09af3e13ccece57381,47591e04ef2e4e7f03e57c61401f1444d7ebb4f41e13ec9e2a8d0aa3ba08b06b,0.9840326437487059,1.0,0.0,0.0,632f4eb0e724160f20dc5d05e2ee21acedf4c260128381ddf087e4eeb129777c,045bed814c9d023b182e56b951540ca7d56168c6ff1fff6ded5b58589fc7853f,true,false
drsr,drsr,CRK10,clean,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,b81df775586b00ea694ea6a23a59f665a39146b53dd3bf37242ea20d69f55c24,586ecfafe3b7a3e4a0f34d9541f9fc100b17c76e3478f4d18cbed7aab3b3510b,eb474ec3fd5a36b67af7eff3b06dc8124ca7ea5be6f2f75d5a7a8c46a572e89f,0.9038632520665311,1.0,0.0,0.0,632f4eb0e724160f20dc5d05e2ee21acedf4c260128381ddf087e4eeb129777c,045bed814c9d023b182e56b951540ca7d56168c6ff1fff6ded5b58589fc7853f,true,false
drsr,drsr,CRK11,clean,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,da3983781fe16c71546572b0844ec126e7c68e612e62d0a711ba49ef1ae1931f,8ef913604c8b81ca16af0321be540af1aacfd3a897cd7ad664aba87a0baa6462,140e3f33431bfc0f16a94287cd194e2ae4b3826cd447e39763b5a34a38ebaffd,0.9709701373424855,1.0,0.0,0.0,632f4eb0e724160f20dc5d05e2ee21acedf4c260128381ddf087e4eeb129777c,045bed814c9d023b182e56b951540ca7d56168c6ff1fff6ded5b58589fc7853f,true,false
drsr,drsr,CRK33,clean,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,a7e46e9ef3546615406450cb5edd2f421edcabfffb308d33ae43618d91d921af,d03b314c13f6f90a6554bc5acad056bddcb0cfbfee3642e5a4149ccc11475b1c,8b27516359fd57e0e0f318e985c1653a27f1f4edd3f17690e4e0539f292b0086,0.9745494627501905,1.0,0.0,0.0,632f4eb0e724160f20dc5d05e2ee21acedf4c260128381ddf087e4eeb129777c,045bed814c9d023b182e56b951540ca7d56168c6ff1fff6ded5b58589fc7853f,true,false
drsr,drsr,CRK34,clean,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,22525e6c517096c3560144b301c8763693c4ed0577f236b446ba58a9be3d0b93,48cef89cd36fd6f186aa52ae80c295ccbca6d359e373ba473a0dfac988b75c18,8990b4b29b3c9ff6e3481777fed0142c0d604e0f4d754c7092a1914d9d1cff03,0.9718394309746297,1.0,0.0,0.0,632f4eb0e724160f20dc5d05e2ee21acedf4c260128381ddf087e4eeb129777c,045bed814c9d023b182e56b951540ca7d56168c6ff1fff6ded5b58589fc7853f,true,false
drsr,drsr,I.11.19_4_0,clean,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,1eda772f53df1abdfdc1bc9b83efb5eed5041af1e9c94e99dda1b6fd5b03d88b,7b7d3fadc0bee14b1c3c9dde90b15d73c817174270e4b390db8108e27c9ac883,e72f257f6887c9cfa7d57e46d7ac5d825960dae4aea7fe045b5fd4765da9b1d9,0.9898686475647399,1.0,0.0,0.0,632f4eb0e724160f20dc5d05e2ee21acedf4c260128381ddf087e4eeb129777c,045bed814c9d023b182e56b951540ca7d56168c6ff1fff6ded5b58589fc7853f,true,false
drsr,drsr,II.11.27_1_0,clean,different_structure,non_applicable,non_applicable,different_structure,non_applicable,non_applicable,,,,5acebd4caa1780a2bef59efd1fb2fc879d0bff10f7437c0fc83f6e278ec1248a,309d0b4438b17ce89a4ef885e88e2fa07740b5038e6cf1f67dd1fe147bebc9d5,b86d8fd85f180c91a5bba78854c83ed82addcd192e54f5ee9f3924b90902961f,0.9046758897643906,0.6666666666666666,0.0,0.0,632f4eb0e724160f20dc5d05e2ee21acedf4c260128381ddf087e4eeb129777c,045bed814c9d023b182e56b951540ca7d56168c6ff1fff6ded5b58589fc7853f,true,false
drsr,drsr,II.34.2_1_0,clean,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,81dd4bc10d414360be1f06bdbbd5e22e71fbe88b67ea37fc8635ffdfc9d3932d,5fa7dcc19165c8e18f6e7b4b95f9877ca161373e182939a949867564e21283a2,2d4ba38cceb8f5b56fd252c163c956a62cc6c59b4b178ee25145e80a60febe86,1.0,1.0,0.0,0.0,632f4eb0e724160f20dc5d05e2ee21acedf4c260128381ddf087e4eeb129777c,045bed814c9d023b182e56b951540ca7d56168c6ff1fff6ded5b58589fc7853f,true,false
drsr,drsr,II.6.15b_3_0,clean,different_structure,different_structure,same_canonical_structure,different_structure,different_structure,same_canonical_structure,,,,78ae81238f2f0ba320ffa9ffd47d6872336ea3f68d4aa6686e4b578042434c36,69f87c766eeed76e688fdc884054dd9ac545f63170b4e3851e5f77399f3f8b87,e17dc7a8b7f8e5d289361a7c2fc0e8a2704b197bbb61169b4fd829de50d1dfd5,0.9980222959240937,1.0,0.3333333333333333,0.6929038848848623,632f4eb0e724160f20dc5d05e2ee21acedf4c260128381ddf087e4eeb129777c,045bed814c9d023b182e56b951540ca7d56168c6ff1fff6ded5b58589fc7853f,true,false
drsr,drsr,III.21.20_3_0,clean,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,209de9be88b9565219d1a5dcc18c23af2406a12ba0d3c52bd23c77be2cfe35d8,a73d8af0715f257600ac0fad5a105d76df3c04e39f700ec4c05c9ac093fb8e79,2268cb41de509f66042766ca03504e42522862b8a58e197b9abb98bced3ec550,0.9363838161701484,1.0,0.0,0.0,632f4eb0e724160f20dc5d05e2ee21acedf4c260128381ddf087e4eeb129777c,045bed814c9d023b182e56b951540ca7d56168c6ff1fff6ded5b58589fc7853f,true,false
drsr,drsr,Keijzer-11,clean,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,0ba9a5a0fb01c218630d08fd6b035efb33771a7d08b2d99f15bb967e3565e2cc,ac73743cff28946ea61e3dc2c04b31528f95c9d15c400bb088e2900fb56a5602,6fc106ee6b67e9744a2fb52b9530be1d8676953dfb0fa372baee1b9000279c24,0.8599561547493434,1.0,0.0,0.0,632f4eb0e724160f20dc5d05e2ee21acedf4c260128381ddf087e4eeb129777c,045bed814c9d023b182e56b951540ca7d56168c6ff1fff6ded5b58589fc7853f,true,false
drsr,drsr,Keijzer-2,clean,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,bc5d9de0e8d16e42e8157451cdb7d00c5c58291ce5bca00a21bff1939b0e214e,db862762d6c5ac9d40771fe148db70074d88239ec8f46edfe97d8a942e8ac8d6,f0f43b7b8be23ced825085a34daabaa69adc5d4408c106de57b9860df5e3fa0f,0.9554701943220085,1.0,0.0,0.0,632f4eb0e724160f20dc5d05e2ee21acedf4c260128381ddf087e4eeb129777c,045bed814c9d023b182e56b951540ca7d56168c6ff1fff6ded5b58589fc7853f,true,false
drsr,drsr,Korns-2,clean,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,b9a017821beb08f9a3dcd0383dfa3ca07ba6b03bfd1ac7c317d9d40b342a164d,33fbef2322e16ffa0a61d20e9823a582221e55f74cc3fff1e546f27dfcc9faa0,fd3f16e8a00267f3a5c8f8e3e483432e235bc5123825aa9840b4235a406c5e7b,0.9967489506742849,1.0,0.0,0.0,632f4eb0e724160f20dc5d05e2ee21acedf4c260128381ddf087e4eeb129777c,045bed814c9d023b182e56b951540ca7d56168c6ff1fff6ded5b58589fc7853f,true,false
drsr,drsr,Korns-4,clean,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,fd8ed242b9ab0a6464a798dc4b8fc64c138e0b890db441643282d2f64dd23763,54c688bfa1cc0b701b5a9d214a4dec08be46eb6b9c00d7b5a45441b61dec5d4c,112158a33897128228813e0fcdb4ce86ba8e5a6c2aca03443bb617693e985e1b,0.9981919791560341,1.0,0.0,0.0,632f4eb0e724160f20dc5d05e2ee21acedf4c260128381ddf087e4eeb129777c,045bed814c9d023b182e56b951540ca7d56168c6ff1fff6ded5b58589fc7853f,true,false
drsr,drsr,MatSci21,clean,different_structure,different_structure,different_structure,different_structure,different_structure,different_structure,,,,96ceca03b436f0cd278d9d3782039019313c7b23d1d26b4c253cff6c0a06d06d,8465f49f77ba94be3afdcc3512c45123dd923a95019cf95ebc6acf2ba7be6a1f,a575fe30f8617b5853148292a257b84eede1f9cefcabcaa4bfd59dd80cb40b55,0.999368304829642,1.0,0.0,0.0,632f4eb0e724160f20dc5d05e2ee21acedf4c260128381ddf087e4eeb129777c,045bed814c9d023b182e56b951540ca7d56168c6ff1fff6ded5b58589fc7853f,true,false
