dataset_id,original_expression,opus5_effective_expression,artifact_sha256,logical_id,evaluation_key
BPG3,0.8450821034088298 * (-1 + P / 5.115386454523557) * (1 - P / 34.43886242377677) * P + 0.8450821034088298 * (1 - np.exp(-0.09687266473516928 * P)) * P,0.8450821034088298*P*(P*(39.554248878300327 - P)/(5.115386454523557*34.43886242377677) - exp(-0.09687266473516928*P)),9a9f89a6edc99cebca7db3af1164091af83e17b1171a67d7ea65fb5be89a5100,gt_simplify::BPG3::v2,2584efc9c85893a52de80c0971b857a78e944ffb4f61f3016101ff8a61ebc310
BPG5,0.9198344660444582 * (1 - P / 84.0283518630852) * P + 0.9198344660444582 * P ** 2 / (7.531475575495239 * P + 1),0.9198344660444582*P*(1 - P/84.0283518630852 + P/(7.531475575495239*P + 1)),4d4bb43384277158e6eabbc8dea35be2693a2fe3050c79affc225a50006aed22,gt_simplify::BPG5::v2,c4d2018e268f4ab814c8d068874cfca08d1f5236de8b965e6735efca4950d845
BPG9,0.1699888096710614 * (-1 + P / 1.0472843670254641) * (1 - P / 10.210545156320043) * P + 0.1699888096710614 * (1 - P / 10.210545156320043) * P + 0.1699888096710614 * (1 - np.exp(-0.09709294493863778 * P)) * P,0.1699888096710614*P*(P*(1 - P/10.210545156320043)/1.0472843670254641 - exp(-0.09709294493863778*P) + 1),af17e0dc8f729db112699e511cf039ace5a79f66af8addff1f633692d5ed63be,gt_simplify::BPG9::v2,4eaa63561d67e3eafe15a324cf58c75486044ed4e328521e416672481b7d1f26
CRK0,-0.18997742423620262 * A ** 2 + 0.18997742423620262 * A ** 2 / (0.7497988950401423 * A ** 4 + 1),-0.18997742423620262*0.7497988950401423*A**6/(0.7497988950401423*A**4 + 1),876691ecce8c103834542c62abc0d8aff61bdb691b5d8ca9c049aede67c48766,gt_simplify::CRK0::v2,57cc97c2bc7fa376613852ced6d7cb624522b9de8b59d2bc1507842b0a218996
CRK10,-0.17495597007573369 * A ** 2 + 0.17495597007573369 * np.sin(np.log(A + 1)),0.17495597007573369*(sin(log(A + 1)) - A**2),15f215ef088331a6247569e12ee4e8fbe6efe56990ab3861f800bf5656fde938,gt_simplify::CRK10::v2,6fc2eaff7e520e1cf1dbf2aef22fef3031a240cea534260911c4653d3b3faaaa
CRK11,-0.8817392153705143 * A ** 2 + 0.8817392153705143 * np.sin(np.sqrt(A)),0.8817392153705143*(sin(sqrt(A)) - A**2),b3a08069f8c22052681c0971f39b5f7e21a8a1b07ee6966537f78ec2cf917475,gt_simplify::CRK11::v2,36ebd045d0282398b61ccc6cb3470fa5ef35b27115e17a7474f4f7866e14f5ec
CRK33,-0.11846873325639269 * np.sqrt(A) - 0.11846873325639269 * A ** 2 + 0.11846873325639269 * t * np.sin(np.log(A + 1)),0.11846873325639269*(-sqrt(A) - A**2 + t*sin(log(A + 1))),e47a450ff15430a7110b9d2ca10babecf39495affd22221cbdb696e2ef86bd1e,gt_simplify::CRK33::v2,6ec7d890bd4d67feaade6345328e759337ceba4b0d9fced8f08608778eff2494
CRK34,-0.1689114325901851 * A ** 2 + 0.1689114325901851 * A ** 0.3333333333333333,0.1689114325901851*(A**0.3333333333333333 - A**2),98e7388c1735b8373f58fb8bd4a5c748f7059f8d486b01d62507654087f7c343,gt_simplify::CRK34::v2,08a64340b44967ebcfe96a57d9a48dd03b3b2862ef032e423c0607ace9fe5de2
I.11.19_4_0,(-A + x1 * y1 - x3 * y3) / x2,(-A + x1*y1 - x3*y3)/x2,a37b7517bfbfcdaf08c7208f83b3337d76376d7b82884b8c148d7b6c58122044,gt_simplify::I.11.19_4_0::v2,41094f1024e95106ec7d74e6ae805efaac11a9fe427c4834aba380595a4d5ac2
II.11.27_1_0,3 * Pol / (n * (3 * Ef * epsilon + Pol)),3 * Pol / (n * (3 * Ef * epsilon + Pol)),d502c938adf7e097e4c5f2c685656121a0af956c3de9ee08f43797a70929c91c,gt_simplify::II.11.27_1_0::v2,2a17d2014400e054b73367c85095f39b83d92f3380478a280305b9ead6b96a84
