core50_index,dataset_name,family,subgroup,target_name,feature_count,train_samples,valid_samples,id_test_samples,ood_test_samples,dataset_path,metadata_path,metadata_sha256,train_path,train_sha256,valid_path,valid_sha256,id_test_path,id_test_sha256,ood_test_path,ood_test_sha256,formula_path,formula_sha256
1,II.34.2_1_0,llm-srbench,lsrtransform,v,3,75000,5000,20000,20000,datasets/llm-srbench/lsrtransform/II.34.2_1_0,datasets/llm-srbench/lsrtransform/II.34.2_1_0/metadata.yaml,f6e40f93bafce13675e9b7e409bb048ee3c5acceea007bb419534954fa226e13,datasets/llm-srbench/lsrtransform/II.34.2_1_0/train.csv,cd570c2a91aca5f01735fca7fc61528100c724db17bbdbb3ac41e2ce8f7a9003,datasets/llm-srbench/lsrtransform/II.34.2_1_0/valid.csv,ef0be5ad0a11d62736a9dee884e3794134ee86038bc09ce3f1cf79fc2717dc97,datasets/llm-srbench/lsrtransform/II.34.2_1_0/id_test.csv,e2d0553aaae4a35d87fd48a2e2e26701deb69b2f1a218546ded6b22c3a728dee,datasets/llm-srbench/lsrtransform/II.34.2_1_0/ood_test.csv,647a9d9dbb718364f22b19a132c6534c889627b253cbdb0079359023fe4fadb0,datasets/llm-srbench/lsrtransform/II.34.2_1_0/formula.py,050c45f728ee0576152ad7a105fde65868bb15a7d1a6fabaddb308d8eac42846
2,first_principles_hubble,srbench2025,firstprinciples,target,1,22,3,3,4,datasets/srbench2025/firstprinciples/first_principles_hubble,datasets/srbench2025/firstprinciples/first_principles_hubble/metadata.yaml,ef86cb606ee8f2c1a83a467f2b2bb1872eb92aa2560213afdc2ce07108ffcbb8,datasets/srbench2025/firstprinciples/first_principles_hubble/train.csv,6a1e02accd1eb71d05337250ca1ecc40e2d6888a17d95d2cfb891711b1514d93,datasets/srbench2025/firstprinciples/first_principles_hubble/valid.csv,6b9c45800c07b04e8e3952fdbc10dce07fbe1209844afe0809788a5811691d95,datasets/srbench2025/firstprinciples/first_principles_hubble/id_test.csv,267a00858db4fdc05f1026d7e6a13f19c7e8eb999ab7305493b51ad84f1101ca,datasets/srbench2025/firstprinciples/first_principles_hubble/ood_test.csv,2a9122b049c6f84c888c6a750d40e678852db80638dbfd11dd91baa34e4ed476,datasets/srbench2025/firstprinciples/first_principles_hubble/formula.py,1a8da8414b3dc4f8ed2e76f4d3541eeca817673ee961dd180b5fc136261c9b3a
3,feynman-ii.27.18,srsd,srsd-feynman_easy_dummy,y,3,8000,1000,1000,1000,datasets/srsd/srsd-feynman_easy_dummy/feynman-ii.27.18,datasets/srsd/srsd-feynman_easy_dummy/feynman-ii.27.18/metadata.yaml,0100f59845264df0f3131850968af4a39ae96a446d9588ced8d33d9bc296bca8,datasets/srsd/srsd-feynman_easy_dummy/feynman-ii.27.18/train.csv,16670bc259bbe53a99ab6bc8788571d909e142549c2c6f02315a77ba643dba37,datasets/srsd/srsd-feynman_easy_dummy/feynman-ii.27.18/valid.csv,6ea1f42b939a63af46b72ba0871b79b755fb6a197087ba6a2106ffbe0a576751,datasets/srsd/srsd-feynman_easy_dummy/feynman-ii.27.18/id_test.csv,47a057f542e41c9be4088de1267c29e275067763d90147643666648f63221c3e,datasets/srsd/srsd-feynman_easy_dummy/feynman-ii.27.18/ood_test.csv,4e87c8f532a6ba338b46ec6ae5659e570f25bae4dbdf86aef2fa823ce4380661,datasets/srsd/srsd-feynman_easy_dummy/feynman-ii.27.18/formula.py,0197ba13e3051ee13f39fb072246c467dd19114d1bbd3f157babce3cd6abde77
4,Korns-4,korns,Korns-4,target,5,90,10,100,1000,datasets/korns/Korns-4,datasets/korns/Korns-4/metadata.yaml,f901f8a841f0d4ff6938e580625a707bddf5b1ae9d4d709e70f548a3dd15bbb0,datasets/korns/Korns-4/train.csv,79bc47da46440cb96bd7ef94350d668bf821b4ad12185f752d3c5664fbdb504b,datasets/korns/Korns-4/valid.csv,1a2c81cf0dd04e74abac3fe5b16a47c7bff4e019119a7e88b317b13cf6d271d7,datasets/korns/Korns-4/id_test.csv,eede5964062d1f78ea77d390271cdd53ed5a095cb8c8809858df125aef37c522,datasets/korns/Korns-4/ood_test.csv,dbdc7aabc9beda4a0ce626b384a315fb40f8ed8b177c5eb80ad3a85a6ae80bd7,datasets/korns/Korns-4/formula.py,c70062283de5cab0c4bc8f2fcb1cce7e47f21038edef70a045c99f5373b55f3a
5,Keijzer-11,keijzer,Keijzer-11,target,2,18,2,361201,200,datasets/keijzer/Keijzer-11,datasets/keijzer/Keijzer-11/metadata.yaml,a079b5d5734e5a6816875b587f4f735ae8c7271a7cae2a50d3a8e3cff2220ce0,datasets/keijzer/Keijzer-11/train.csv,0b0b0b48cdd52ee6329b18e860b95efcc0ece8770932d046535bd3f91b2b31de,datasets/keijzer/Keijzer-11/valid.csv,50bb36b5dacfcde91406032dea2dd2e51c9fa3f2a6bcad8fe28cfe75afe35881,datasets/keijzer/Keijzer-11/id_test.csv,c89721bd97d07b50a546b8bf6c9c54f2864f293a4ff33533acd5e801c7ebefcb,datasets/keijzer/Keijzer-11/ood_test.csv,b286b7a4f72d664bf82f2edd710433edf2fb844a7e17eaba932131ebb709d98c,datasets/keijzer/Keijzer-11/formula.py,d4278d567682f5ee992a7f3f2d0eb98ec53dde2b577bcfaa76151b75c780b745
6,Keijzer-2,keijzer,Keijzer-2,target,1,37,4,4001,410,datasets/keijzer/Keijzer-2,datasets/keijzer/Keijzer-2/metadata.yaml,cc18e577b48bd34d14d17fc2f4c852daba67c469b0cc3549bdd5a239b02c4dc8,datasets/keijzer/Keijzer-2/train.csv,9b918e1538e304c0905bc4bb145ce5e5cc3f195aab8772ca6bd615c96cba7fda,datasets/keijzer/Keijzer-2/valid.csv,d182c0246396979ec60df82f3ca044f6b91e4c829e0c1dd040d7b1d4ae875378,datasets/keijzer/Keijzer-2/id_test.csv,faa226b24b8d24d9b929196694ecaed6723e0518de600eb2dd2efd5749ddc5e9,datasets/keijzer/Keijzer-2/ood_test.csv,a491854396513cdbc929b1a911a25b065fa269b7d66b82f91dcd3418772c2431,datasets/keijzer/Keijzer-2/formula.py,1190588a9608f754f6a08007e311178246654b7adcbf3958761ec6f66203d782
7,Korns-2,korns,Korns-2,target,5,90,10,100,1000,datasets/korns/Korns-2,datasets/korns/Korns-2/metadata.yaml,f83b9b1c7e6856d719ff5aea8a829153bfd9f2ae6fb2db420494101d1c376e46,datasets/korns/Korns-2/train.csv,656d8ffc15841d6a33bab8755a46ba3dae30164f7f74bb829f5f0d74a8021c64,datasets/korns/Korns-2/valid.csv,88779fec21fecf57bdbe6e0b71d56b4fa53c7f64d43ffb1fa4157d6f49b89a42,datasets/korns/Korns-2/id_test.csv,547fcb6aef4cfa15154c22608726fa891cf268e93ce1a8c0b37a3b7ee63b5a94,datasets/korns/Korns-2/ood_test.csv,cb5971ce8ba81f6f0c936659a2dfa7df6a6aa522fcaf5e69880a6eba2f435225,datasets/korns/Korns-2/formula.py,cf3799025ff009e9956191756dc3c7df35728707f8499154522eba3f495bbbe3
8,Nguyen-12,nguyen,Nguyen-12,target,2,16,2,2,200,datasets/nguyen/Nguyen-12,datasets/nguyen/Nguyen-12/metadata.yaml,8c5a4cdd745f311e16fe3701baa8f0b1b848c006caae7c1a2516c06e5440baf0,datasets/nguyen/Nguyen-12/train.csv,ac90c611e3fbe8cdcbf09f46e31ff6888871fa46c6dba883747520fc5deeb3e2,datasets/nguyen/Nguyen-12/valid.csv,cea7cadcd0354e86096ea3c23c4bbc2dacaf0a46d17147f3173d1478af0243a3,datasets/nguyen/Nguyen-12/id_test.csv,3aa6ef375e26d76117de5b516506bb5a8e0c7e6bc826586a6e61c94e87fb44ea,datasets/nguyen/Nguyen-12/ood_test.csv,c90a08efcec273e85cf25290cd72052b2488ef76f983a13fad3111e0f8cb0a7a,datasets/nguyen/Nguyen-12/formula.py,1bdc953171dde421d3abd315b18ffb40a2204c6cb77870f1c4e983dc08fbff12
9,Nguyen-6,nguyen,Nguyen-6,target,1,16,2,2,200,datasets/nguyen/Nguyen-6,datasets/nguyen/Nguyen-6/metadata.yaml,72131da7f2185237217e88c3816414c64ed3c9805678ac0d5495882ab223adaf,datasets/nguyen/Nguyen-6/train.csv,52f61f2dd2822f1c2b6881dab68a3ab1b6c8e0ed635a241a4413d4a262d4ce7f,datasets/nguyen/Nguyen-6/valid.csv,c6d74027be51fc6a4655fed7a04271d5d2630c7a85d6884aca39e5d5947a575e,datasets/nguyen/Nguyen-6/id_test.csv,28d0666442a1c185c61fcec24ea636a8f04c24c162e6a65100503f23d03bc0c8,datasets/nguyen/Nguyen-6/ood_test.csv,9a15df1922dff37405818208d174ec7453f5a7393c00d7acdfe3a7cefad4b101,datasets/nguyen/Nguyen-6/formula.py,22235e1b1ff549e15bb7ad0d374c5a81451e3049dc810eb2930d85f20700dc43
10,Nguyen-9,nguyen,Nguyen-9,target,2,16,2,2,200,datasets/nguyen/Nguyen-9,datasets/nguyen/Nguyen-9/metadata.yaml,71ffadf96b3e27648ee3d81a6612743956a772750d11c1bf47fb608e25c57725,datasets/nguyen/Nguyen-9/train.csv,7ee3bf4028ae2486017c0eaa7c5a2cd08409cf02cd102547978359d673806426,datasets/nguyen/Nguyen-9/valid.csv,fa50a0fc59af373cf6618025eff34ce92311afba65d7982ee8387cd026be6dd8,datasets/nguyen/Nguyen-9/id_test.csv,6e55e67128cb068c6987d37558738a472bcea7379bef318c9e7f4303dd5c47a1,datasets/nguyen/Nguyen-9/ood_test.csv,ef8162fb1a236ab6a4bf84daa9e19bb5fc7fef193c8656449f2542536416c6a5,datasets/nguyen/Nguyen-9/formula.py,a9d487a6e9e7f75a130c352a469f57aafafdcb6091bfa7a90a1f284204f7f2bd
